"path","bytes","sha256"
".Rbuildignore",254,"125c2d8bf467a43c00360a5e9cb9e8d9528bff5423d9df88a1d23224606d5aeb"
".gitignore",336,"0e285ed7f86dc2b682dd26f9e25600dbe21b314203ec9bf1c3ffb815391547a2"
"ARCHITECTURE.md",8211,"1ed664e76723f8037ba786fb98e7199abd3366594ddac78b9f570be766a871d6"
"BUNDLE_CHANGES_SINCE_v1.2.2-rev1.md",1481,"62d67a49a76a3eda9c7efa38f16b45d7da1e85fd207ec1818b990f7c932ec974"
"CITATION.cff",852,"47b21992ffce10048dfe7fc73aacfcbbea4d3eaab32306b9e5f3dae6f9454da3"
"DESCRIPTION",4444,"45a63ebdcedf1bdda3642fe141dde308d35a2e2271c6224d572346142d7f755a"
"LICENSE",42,"ff90a6eb453b82d0b0b923ce8435970f83fac97ecfe076667658e089d461e16a"
"NAMESPACE",11580,"806f9d65e36ba21d0f2f731906391c0d491546e7110a636c6142f31387d5a941"
"PUBLIC_RELEASE_CHECKLIST.md",2568,"5659296960efc68e85f950465f4da625361d984dc70ff11e0699a976a6889780"
"R/00_utils.R",23998,"6aba0708f612f16cf9310dcdb7d13ea2771c05f06c9ed88ee8122570a698dc1f"
"R/00a_parameter_schema.R",16515,"e9195c03199cf45ba49a9b94562a24f266c0c25be414d080c81b78a315304e0a"
"R/01_default_params.R",218,"ee46df40ec6a9c4621db0a4927448d610501003c08a6491566f08837ba0b0fdb"
"R/02_qc_interval_guards.R",23767,"cf25277c340285b740d740dbfcf74a2351500eb22b9ea10cf5eaa5de2bc235e3"
"R/03_data_io.R",16508,"c7fe0e15924056f4b6908b5c847e771228d9b40cb845ce57fa52ec3e12236463"
"R/04_param_suggestion.R",3328,"91ae292168701b1fa5f2e3f8b9ec3d705322e55bbdecbbe08db4bdcc3ef15d70"
"R/05_isi_context_features.R",42987,"a78f452aa8c5576e2fd332bf3d0df75e6002590ac94d251d5e66f7e10309063e"
"R/06_events_intervals.R",18821,"805051e69e20d2bf602bb72b5f83e1d6af5cfda42a0099b8038dc75424007c6d"
"R/07_manual_param_estimation.R",39170,"10c9a2b1fce1b75a91ef08d7e47c2fe0b3d640a321093c3d5010c36339790bd4"
"R/08_detector_helpers.R",23200,"07f139c292a1643273df6aad5f9e6490f1dc126909ee141379346cd3d73d81c6"
"R/09_burst_seed_bridge.R",9364,"6bc9f2a0b86315e2cc171b3aa5f43d63d44681d82a2fa1b167089adbd6ae1ef1"
"R/10_structure_layer.R",25192,"76c220a522bda003ce23a263eafd438e7ea9d4ab45af1dffc837151b47f1acbb"
"R/11_near_miss.R",80078,"a66c369313c400be932382c3aada4d37811b1ecf5da5ba9a86cf358b5f77c589"
"R/13_dataset_api_evaluation.R",4797,"d21e746dea73f6658417903829f0bd3cd6f02f5df37e4858b3711645d3b0441e"
"R/14_audit_presets.R",19809,"839d83d444f022b249c74d736aca8ea23596b24f30bd6f9977444aa8cd5d2d54"
"R/15_governance.R",15058,"3a83d1987b442c41dcc46b54b2979aa07e0ef6142c2aea118a1dd922058745d8"
"R/16_semantic_consistency.R",72308,"578692ec843884524277096feca6a2bae1ff4033283c2dcd48bba3831b16b4db"
"R/17_critical_overrides.R",64216,"4cdf91122c5399fb9659df27262145ec0520b73463120a8d165d06982f17e3b9"
"R/18_ui.R",236099,"ed553eee5790c100211030051f03e75ab52954170d99dd8cb71150820136280d"
"R/19_server.R",418147,"87ba992ba4d8b92e6d9165683bee79927e90a8082ff50df3ded61524d7c4dee4"
"R/20_final_classification.R",8463,"09cfdc0d722f77fa87908dae89e2653669e3eb37d4cb90eb4e2413be738422eb"
"R/21_candidate_features.R",908,"880f5a03d8c88fd99bde45beed3c2d12d764d9132f961b5c2b0f2127a35638e7"
"R/22_schema_ui.R",17657,"634587ffea1df309a9d14dae5aefae3084642dfbd33276bdd0d30377baee45be"
