"train","start","end","regime"
"spike train 1",0,4.8,"Other/background"
"spike train 1",4.8,7,"Burst"
"spike train 1",7,12,"Other/background"
"spike train 1",12,16.4,"Tonic"
"spike train 1",16.4,26,"Other/background"
"spike train 2",1.2,3.1,"Other/background"
"spike train 2",3.1,8,"Broad high-frequency spiking"
"spike train 2",8,9.1,"Other/background"
"spike train 2",9.1,14,"Broad high-frequency spiking"
"spike train 2",14,26,"Other/background"
"spike train 3",0,0.5,"Burst"
"spike train 3",0.5,3,"Other/background"
"spike train 3",3,4.2,"Burst"
"spike train 3",4.2,7.5,"Other/background"
"spike train 3",7.5,26,"Other/background"
"spike train 4",0,7.2,"Broad high-frequency spiking"
"spike train 4",7.2,8.8,"Canonical pause"
"spike train 4",8.8,16.2,"Broad high-frequency spiking"
"spike train 4",16.2,17.7,"Canonical pause"
"spike train 4",17.7,26,"Broad high-frequency spiking"
