"train","time"
"spike train 1",0
"spike train 1",0.4
"spike train 1",0.5
"spike train 1",0.95
"spike train 1",1.12
"spike train 1",1.32
"spike train 1",1.87
"spike train 1",2.52
"spike train 1",2.7
"spike train 1",3.65
"spike train 1",3.98
"spike train 1",4.18
"spike train 1",4.8
"spike train 1",4.885
"spike train 1",4.97
"spike train 1",5.055
"spike train 1",5.14
"spike train 1",5.225
"spike train 1",5.31
"spike train 1",5.395
"spike train 1",5.48
"spike train 1",5.565
"spike train 1",5.65
"spike train 1",5.735
"spike train 1",5.82
"spike train 1",5.905
"spike train 1",5.99
"spike train 1",6.075
"spike train 1",6.16
"spike train 1",6.245
"spike train 1",6.33
"spike train 1",6.415
"spike train 1",6.5
"spike train 1",6.585
"spike train 1",6.67
"spike train 1",6.755
"spike train 1",6.84
"spike train 1",6.925
"spike train 1",7.3
"spike train 1",7.52
"spike train 1",7.87
"spike train 1",8.15
"spike train 1",8.32
"spike train 1",8.62
"spike train 1",9.17
"spike train 1",9.32
"spike train 1",9.48
"spike train 1",9.6
"spike train 1",9.84
"spike train 1",10.25
"spike train 1",10.58
"spike train 1",12
"spike train 1",12.48
"spike train 1",12.96
"spike train 1",13.44
"spike train 1",13.92
"spike train 1",14.4
"spike train 1",14.88
"spike train 1",15.36
"spike train 1",15.84
"spike train 1",16.32
"spike train 1",16.6
"spike train 1",16.77
"spike train 1",16.97
"spike train 1",17.57
"spike train 1",17.82
"spike train 1",18.04
"spike train 1",18.42
"spike train 1",18.97
"spike train 1",19.14
"spike train 1",19.34
"spike train 1",19.7
"spike train 1",20.19
"spike train 1",20.44
"spike train 1",21.6
"spike train 1",21.655
"spike train 1",21.715
"spike train 1",21.765
"spike train 1",21.83
"spike train 1",21.9
"spike train 1",22.48
"spike train 1",22.7
"spike train 1",23.2
"spike train 1",23.51
"spike train 1",23.73
"spike train 1",24.21
"spike train 2",1.2
"spike train 2",1.37
"spike train 2",1.69
"spike train 2",1.92
"spike train 2",2.1
"spike train 2",2.52
"spike train 2",2.68
"spike train 2",2.88
"spike train 2",3.02
"spike train 2",3.1
"spike train 2",3.4
"spike train 2",3.7
"spike train 2",4
"spike train 2",4.3
"spike train 2",4.6
"spike train 2",4.9
"spike train 2",5.2
"spike train 2",5.5
"spike train 2",5.8
"spike train 2",6.1
"spike train 2",6.4
"spike train 2",6.7
"spike train 2",7
"spike train 2",7.3
"spike train 2",7.6
"spike train 2",7.9
"spike train 2",9.1
"spike train 2",9.37
"spike train 2",9.64
"spike train 2",9.91
"spike train 2",10.18
"spike train 2",10.45
"spike train 2",10.72
"spike train 2",10.99
"spike train 2",11.26
"spike train 2",11.53
"spike train 2",11.8
"spike train 2",12.07
"spike train 2",12.34
"spike train 2",12.61
"spike train 2",12.88
"spike train 2",13.15
"spike train 2",13.42
"spike train 2",13.69
"spike train 2",13.96
"spike train 2",15
"spike train 2",15.15
"spike train 2",15.4
"spike train 2",15.54
"spike train 2",16.02
"spike train 2",16.22
"spike train 2",16.4
"spike train 2",16.73
"spike train 2",16.92
"spike train 2",17.19
"spike train 2",17.35
"spike train 2",17.85
"spike train 2",18.1
"spike train 2",18.24
"spike train 2",18.44
"spike train 2",18.73
"spike train 2",18.98
"spike train 2",20.2
"spike train 2",20.26
"spike train 2",20.32
"spike train 2",20.39
"spike train 2",20.47
"spike train 2",21.02
"spike train 2",21.27
"spike train 2",21.45
"spike train 2",21.57
"spike train 2",22.01
"spike train 2",22.23
"spike train 2",22.4
"spike train 2",22.73
"spike train 2",22.87
"spike train 2",23.07
"spike train 3",0
"spike train 3",0.065
"spike train 3",0.13
"spike train 3",0.195
"spike train 3",0.26
"spike train 3",0.325
"spike train 3",0.39
"spike train 3",0.455
"spike train 3",1.8
"spike train 3",2.5
"spike train 3",2.68
"spike train 3",3.23
"spike train 3",3.83
"spike train 3",3
"spike train 3",3.075
"spike train 3",3.15
"spike train 3",3.225
"spike train 3",3.3
"spike train 3",3.375
"spike train 3",3.45
"spike train 3",3.525
"spike train 3",3.6
"spike train 3",3.675
"spike train 3",3.75
"spike train 3",3.825
"spike train 3",3.9
"spike train 3",3.975
"spike train 3",4.05
"spike train 3",4.125
"spike train 3",4.2
"spike train 3",4.35
"spike train 3",4.67
"spike train 3",4.99
"spike train 3",5.31
"spike train 3",5.63
"spike train 3",5.95
"spike train 3",7.5
"spike train 3",7.575
"spike train 3",7.65
"spike train 3",7.725
"spike train 3",7.8
"spike train 3",7.875
"spike train 3",7.95
"spike train 3",8.025
"spike train 3",8.1
"spike train 3",8.175
"spike train 3",8.25
"spike train 3",8.325
"spike train 3",8.4
"spike train 3",8.475
"spike train 3",8.55
"spike train 3",8.625
"spike train 3",8.7
"spike train 3",8.775
"spike train 3",9.6
"spike train 3",10.18
"spike train 3",10.26
"spike train 3",10.33
"spike train 3",10.42
"spike train 3",11.02
"spike train 3",11.19
"spike train 3",11.39
"spike train 3",11.95
"spike train 3",13.7
"spike train 3",14.05
"spike train 3",14.4
"spike train 3",14.75
"spike train 3",15.1
"spike train 3",17
"spike train 3",17.39
"spike train 3",17.78
"spike train 3",18.17
"spike train 3",18.56
"spike train 3",18.95
"spike train 3",19.34
"spike train 3",19.73
"spike train 3",20.12
"spike train 3",20.51
"spike train 3",21
"spike train 3",21.075
"spike train 3",21.15
"spike train 3",21.225
"spike train 3",21.3
"spike train 3",21.375
"spike train 3",21.45
"spike train 3",21.525
"spike train 3",21.6
"spike train 3",21.675
"spike train 3",21.75
"spike train 3",21.825
"spike train 3",21.9
"spike train 3",21.975
"spike train 3",22.05
"spike train 3",22.4
"spike train 3",22.75
"spike train 3",22.97
"spike train 3",23.38
"spike train 3",23.58
"spike train 3",23.96
"spike train 3",24.12
"spike train 3",24.37
"spike train 3",24.77
"spike train 4",0
"spike train 4",0.18
"spike train 4",0.36
"spike train 4",0.54
"spike train 4",0.72
"spike train 4",0.9
"spike train 4",1.08
"spike train 4",1.26
"spike train 4",1.44
"spike train 4",1.62
"spike train 4",1.8
"spike train 4",1.98
"spike train 4",2.16
"spike train 4",2.34
"spike train 4",2.52
"spike train 4",2.7
"spike train 4",2.88
"spike train 4",3.06
"spike train 4",3.24
"spike train 4",3.42
"spike train 4",3.6
"spike train 4",3.78
"spike train 4",3.96
"spike train 4",4.14
"spike train 4",4.32
"spike train 4",4.5
"spike train 4",4.68
"spike train 4",4.86
"spike train 4",5.04
"spike train 4",5.22
"spike train 4",5.4
"spike train 4",5.58
"spike train 4",5.76
"spike train 4",5.94
"spike train 4",6.12
"spike train 4",6.3
"spike train 4",6.48
"spike train 4",6.66
"spike train 4",6.84
"spike train 4",7.02
"spike train 4",7.2
"spike train 4",8.8
"spike train 4",8.97
"spike train 4",9.14
"spike train 4",9.31
"spike train 4",9.48
"spike train 4",9.65
"spike train 4",9.82
"spike train 4",9.99
"spike train 4",10.16
"spike train 4",10.33
"spike train 4",10.5
"spike train 4",10.67
"spike train 4",10.84
"spike train 4",11.01
"spike train 4",11.18
"spike train 4",11.35
"spike train 4",11.52
"spike train 4",11.69
"spike train 4",11.86
"spike train 4",12.03
"spike train 4",12.2
"spike train 4",12.37
"spike train 4",12.54
"spike train 4",12.71
"spike train 4",12.88
"spike train 4",13.05
"spike train 4",13.22
"spike train 4",13.39
"spike train 4",13.56
"spike train 4",13.73
"spike train 4",13.9
"spike train 4",14.07
"spike train 4",14.24
"spike train 4",14.41
"spike train 4",14.58
"spike train 4",14.75
"spike train 4",14.92
"spike train 4",15.09
"spike train 4",15.26
"spike train 4",15.43
"spike train 4",15.6
"spike train 4",15.77
"spike train 4",15.94
"spike train 4",16.11
"spike train 4",17.7
"spike train 4",17.86
"spike train 4",18.02
"spike train 4",18.18
"spike train 4",18.34
"spike train 4",18.5
"spike train 4",18.66
"spike train 4",18.82
"spike train 4",18.98
"spike train 4",19.14
"spike train 4",19.3
"spike train 4",19.46
"spike train 4",19.62
"spike train 4",19.78
"spike train 4",19.94
"spike train 4",20.1
"spike train 4",20.26
"spike train 4",20.42
"spike train 4",20.58
"spike train 4",20.74
"spike train 4",20.9
"spike train 4",21.06
"spike train 4",21.22
"spike train 4",21.38
"spike train 4",21.54
"spike train 4",21.7
"spike train 4",21.86
"spike train 4",22.02
"spike train 4",22.18
"spike train 4",22.34
"spike train 4",22.5
"spike train 4",22.66
"spike train 4",22.82
"spike train 4",22.98
"spike train 4",23.14
"spike train 4",23.3
"spike train 4",23.46
"spike train 4",23.62
"spike train 4",23.78
"spike train 4",23.94
"spike train 4",24.1
"spike train 4",24.26
"spike train 4",24.42
"spike train 4",24.58
"spike train 4",24.74
"spike train 4",24.9
"spike train 4",25.06
"spike train 4",25.22
"spike train 4",25.38
"spike train 4",25.54
"spike train 4",25.7
"spike train 4",25.86
