"context","method","truth_event_n","predicted_event_n","event_count_ratio","mean_matched_iou","fragmentation_rate","merge_rate"
"GPe","LogISI/newBD",399,191,0.478696741854637,0.874137048506524,0,0.256544502617801
"GPe","Mean-ISI",399,1253,3.14035087719298,0.787159120552611,0.0100250626566416,0.019952114924182
"GPe","STPD",399,570,1.42857142857143,0.808863291496345,0,0.0807017543859649
"GPi","LogISI/newBD",1127,613,0.543921916592724,0.868508957452655,0.00177462289263532,0.146818923327896
"GPi","Mean-ISI",1127,1137,1.00887311446318,0.793824419240958,0.0266193433895297,0.0228671943711522
"GPi","STPD",1127,760,0.67435669920142,0.784855772385191,0.00532386867790594,0.135526315789474
"STN","LogISI/newBD",1845,1508,0.817344173441734,0.746249316282387,0.0233062330623306,0.200928381962865
"STN","Mean-ISI",1845,1622,0.879132791327913,0.880710786325119,0.0249322493224932,0.0271270036991369
"STN","STPD",1845,1790,0.970189701897019,0.971122666934012,0.00921409214092141,0.00782122905027933
"Synthetic 10×","LogISI/newBD",75,19,0.253333333333333,0.714726631393298,0,0
"Synthetic 10×","Mean-ISI",75,102,1.36,0.508914510004875,0,0.147058823529412
"Synthetic 10×","STPD",75,166,2.21333333333333,0.805253968253968,0.133333333333333,0
"Synthetic 1×","LogISI/newBD",75,78,1.04,0.379913176341278,0,0.243589743589744
"Synthetic 1×","Mean-ISI",75,102,1.36,0.508914510004875,0,0.147058823529412
"Synthetic 1×","STPD",75,166,2.21333333333333,0.810344272844273,0.133333333333333,0
"Synthetic 4×","LogISI/newBD",75,95,1.26666666666667,0.808563138250639,0,0.0315789473684211
"Synthetic 4×","Mean-ISI",75,102,1.36,0.508914510004875,0,0.147058823529412
"Synthetic 4×","STPD",75,166,2.21333333333333,0.810344272844273,0.133333333333333,0
