"sheet","train_id","spike_n","isi_n","start_seconds","end_seconds","source_workbook_sha256","output_csv_sha256"
"LT1D-1.77_Fon_nw_minus_7_08_min","LT1D-1.77_Fon_nw_minus_7_08_minus_1_1",523,522,0.0569,9.985839,"42d246192b9051b82fc979e696619d804051503a21ca65183fd59abaa781d30e","c88afd748ecd43151a79a69c8532743bec55c26d310c196235557b5d13bc318e"
"LT1D-1.77_Fon_nw_minus_7_08 (2)","LT1D-1.77_Fon_nw_minus_7_08_minus_1_2",354,353,0.047205,9.99689,"42d246192b9051b82fc979e696619d804051503a21ca65183fd59abaa781d30e","c88afd748ecd43151a79a69c8532743bec55c26d310c196235557b5d13bc318e"
"LT1D00.83_fon1_1_nw_minus_7_08_","LT1D00.83_fon1_1_nw_minus_7_08_minus_1_1",754,753,0.000945,19.961818,"42d246192b9051b82fc979e696619d804051503a21ca65183fd59abaa781d30e","c88afd748ecd43151a79a69c8532743bec55c26d310c196235557b5d13bc318e"
"LT1D00.83_fon1_2_nw_minus_7_08_","LT1D00.83_fon1_2_nw_minus_7_08_minus_1_2",1134,1133,30.036069,47.28918,"42d246192b9051b82fc979e696619d804051503a21ca65183fd59abaa781d30e","c88afd748ecd43151a79a69c8532743bec55c26d310c196235557b5d13bc318e"
"LT1D01.96_fon_nw_minus_7_08_min","LT1D01.96_fon_nw_minus_7_08_minus_1_1",386,385,7.091929,20.35515,"42d246192b9051b82fc979e696619d804051503a21ca65183fd59abaa781d30e","c88afd748ecd43151a79a69c8532743bec55c26d310c196235557b5d13bc318e"
"LT1D01.96_fon_nw_minus_7_08 (2)","LT1D01.96_fon_nw_minus_7_08_minus_1_2",440,439,7.069415,20.363777,"42d246192b9051b82fc979e696619d804051503a21ca65183fd59abaa781d30e","c88afd748ecd43151a79a69c8532743bec55c26d310c196235557b5d13bc318e"
"LT1D03.44_fon1_1_nw_minus_7_09_","LT1D03.44_fon1_1_nw_minus_7_09_minus_1_1",922,921,3.144765,23.48303,"42d246192b9051b82fc979e696619d804051503a21ca65183fd59abaa781d30e","c88afd748ecd43151a79a69c8532743bec55c26d310c196235557b5d13bc318e"
"LT1D03.44_fon_nw_minus_7_09_min","LT1D03.44_fon_nw_minus_7_09_minus_1_2",805,804,0.003656,23.425061,"42d246192b9051b82fc979e696619d804051503a21ca65183fd59abaa781d30e","c88afd748ecd43151a79a69c8532743bec55c26d310c196235557b5d13bc318e"
"LT1D04.16_fon1_1_nw_minus_7_08_","LT1D04.16_fon1_1_nw_minus_7_08_minus_1_1",731,730,5.010277,20.953077,"42d246192b9051b82fc979e696619d804051503a21ca65183fd59abaa781d30e","c88afd748ecd43151a79a69c8532743bec55c26d310c196235557b5d13bc318e"
"LT1D04.16_fon1_3_nw_minus_7_08_","LT1D04.16_fon1_3_nw_minus_7_08_minus_1_3",726,725,0.000123,20.962814,"42d246192b9051b82fc979e696619d804051503a21ca65183fd59abaa781d30e","c88afd748ecd43151a79a69c8532743bec55c26d310c196235557b5d13bc318e"
