"Template_ID","Run_ID","Component_Type","Component_Slot","RNG_Seed","RNG_Stream_Registry","Local_ISI_SHA256","N_ISIs","Duration_u"
"TPL_001","TPL_001_RUN_001","tonic","generic_stress_1",459801268,"point_process=459801268","f1db50f8cca366570dda46c86aad5fb3171f9383cb2c6fa4408971aead5a2a92",14,11.8933117726839
"TPL_001","TPL_001_RUN_002","pause","canonical_1",1840854186,"point_process=1840854186","875ec3df6ad8c957a7db2511fdf9caec206a5ee72b04fe767f460c1379e8e7a5",1,4.83778475006111
"TPL_001","TPL_001_RUN_003","background","background_01",45771419,"point_process=45771419","f459c1ddd5080f8642153d19990b54b39b7056e6a55024f57c1f50584b039d83",1,0.911379780895854
"TPL_001","TPL_001_RUN_004","burst","BQ_001",1502043162,"burst=13826521;hfs=343944577;hfs_shape=127257495;hfs_total=1338293292;nested_burst=871734943;nested_duration=950539081;nested_position=1578314333;point_process=1502043162","2130981f3880f48f635db5d24e6989a4be54333e9eef83b843ea36d4e1e782f0",3,0.414675061093326
"TPL_001","TPL_001_RUN_005","contextual_separator","separator_1",460194801,"point_process=460194801","0663975a8fe5de01c8296cd32c45454947e7dd92c68bb34da514fb39fb5b23c3",1,0.562355706887834
"TPL_001","TPL_001_RUN_006","burst","BQ_002",478922285,"burst=374895855;hfs=1497785234;hfs_shape=253341315;hfs_total=648545561;nested_burst=104640256;nested_duration=297148968;nested_position=25436353;point_process=478922285","0105709a217885013c290b5dcd4c995a9b74caaa27fa40eee80fa5fc450aea1b",4,0.455324951154239
"TPL_001","TPL_001_RUN_007","tonic","stn_like_empirical_2",1993145702,"point_process=1993145702","91aa0cefb2540ddaf4a1af5d0b418603416a64ada428c2a5ef8666f605b88f9e",16,6.83328288939545
"TPL_001","TPL_001_RUN_008","pause","complex_multi_gap_2",541532883,"point_process=541532883","39406b1342c320da16737dbc67d6e7e963922d0fb8b1a4f646260e317431f2fb",3,6.43437881357968
"TPL_001","TPL_001_RUN_009","burst","BQ_003",1001180669,"burst=1283189825;hfs=706866497;hfs_shape=1069313536;hfs_total=1948730136;nested_burst=633658229;nested_duration=1631281519;nested_position=192703575;point_process=1001180669","bc9cb884a7d6f75839c3d4bf2a79c979bedefc060eba8e9d936609f113927b89",5,0.467792827865156
"TPL_001","TPL_001_RUN_010","hfs","irregular_1",458217029,"point_process=458217029","6223ee299b34fc5841af1724eaa449ab07c1e54814686227c2a535b052c428df",23,4.21154568812246
"TPL_001","TPL_001_RUN_011","background","background_02",1934144641,"point_process=1934144641","93af14505f03ae884e08a5b7341fd8efbc60fb23542cada4342722fd99920cf3",2,2.51674292421044
"TPL_001","TPL_001_RUN_012","hfs_with_nested_burst","BQ_061",1970350167,"hfs_with_nested_burst=679724708;hfs=1897142262;hfs_shape=392630192;hfs_total=1722008556;nested_burst=652414163;nested_duration=1970539128;nested_position=473958239;point_process=1970350167","0437316e138baf511b3584325a9cf5dae88c01a6ebe156b7b037b961ad6dd7f5",34,6.07720216178088
"TPL_001","TPL_001_RUN_013","pause","canonical_3",449544970,"point_process=449544970","d8f5098321354f41c7bb2f6a972d18fb6e6313264a9a686f295925330c09c572",1,3.39346905378625
"TPL_001","TPL_001_RUN_014","hfs_with_nested_burst","BQ_062",742056740,"hfs_with_nested_burst=1166408932;hfs=1925907122;hfs_shape=1522174600;hfs_total=1342711254;nested_burst=1530127862;nested_duration=1825442245;nested_position=728168817;point_process=742056740","8674d0ef5c1ad68845867383d18eb222b7195c43f0045744e56b71d506d643b2",28,6.4122725775013
"TPL_002","TPL_002_RUN_001","hfs","regular_1",917130060,"point_process=917130060","880067df45c083b72a515e903d5f8d515e0c6486c8313b69f4527256ac78a789",28,5.29445742582929
"TPL_002","TPL_002_RUN_002","burst","BQ_004",1977022486,"burst=1452335188;hfs=1050072087;hfs_shape=1829000487;hfs_total=1521700386;nested_burst=1265971529;nested_duration=1537454322;nested_position=210232864;point_process=1977022486","7deafc4711288a60f1c9451cf45636a1795c0bb85b9d0bc1f3a5520604b1107a",6,0.671058033067952
"TPL_002","TPL_002_RUN_003","background","background_01",2038055862,"point_process=2038055862","2b5ed2e4ec368e9f6651072f5a9359b1e64a770df889e1ff4bb7a701a1e87b1a",1,0.555552412311658
"TPL_002","TPL_002_RUN_004","hfs_with_nested_burst","BQ_064",714272307,"hfs_with_nested_burst=1542390632;hfs=1826243712;hfs_shape=42090879;hfs_total=1391965712;nested_burst=309052133;nested_duration=1284036659;nested_position=1147608685;point_process=714272307","ae8ab6d8c5828cfd547426c17102bea50f2aaa6f8d466db5b6ace5c7fee2453b",33,7.54960869281593
"TPL_002","TPL_002_RUN_005","background","background_02",1497526875,"point_process=1497526875","0ea3ada6c905f47206d55759acb1882d255f5cfcf9ddf7c6f9b903320129e258",2,0.719020897362332
"TPL_002","TPL_002_RUN_006","hfs_with_nested_burst","BQ_063",621256141,"hfs_with_nested_burst=1666971397;hfs=1905090391;hfs_shape=524316490;hfs_total=1445736790;nested_burst=1457088572;nested_duration=1983612774;nested_position=2003546032;point_process=621256141","38a036f1a9221bd6db88a00134de7d59ec577855679a4db8ab0f5462f8714dfb",30,6.14828901542962
"TPL_002","TPL_002_RUN_007","tonic","stn_like_empirical_1",343051092,"point_process=343051092","7ae56f68441d321c3cf1749d265f33e6c863edf0b754e5b56de27d975855749c",11,4.61131288598659
"TPL_002","TPL_002_RUN_008","pause","canonical_1",361853952,"point_process=361853952","8f19db25dca7d02e7e9bcb470427ceb63c38acd67639e9d4bb95c76525634419",1,3.40474004847929
"TPL_002","TPL_002_RUN_009","background","background_03",1125835620,"point_process=1125835620","f03fb545799928136d6a0645fed4ed4b078f4a4da0a29bccc8f5cc417222df8a",3,0.850663219177214
"TPL_002","TPL_002_RUN_010","pause","canonical_2",1504495111,"point_process=1504495111","cde68bd796d95b0d3c0ff88ff16d61dbcfb0cd5d5a4ab377dbd92dc2631b5572",1,3.32479707319289
"TPL_002","TPL_002_RUN_011","burst","BQ_005",1428072886,"burst=1651305067;hfs=1370790560;hfs_shape=250444069;hfs_total=1198868374;nested_burst=664068535;nested_duration=1127957139;nested_position=2033124243;point_process=1428072886","125e5599ac1ee6d2d6eb9c62ce2d284edd33b8a4507fcffa4321240598b36f1c",7,0.813792658355071
"TPL_002","TPL_002_RUN_012","contextual_separator","separator_1",920149652,"point_process=920149652","bcdb315279d55c0de0bc43d6bdc2e03aadeb825ad8d4ae5d945e345a4dba6af0",1,0.624837331846356
