"Burst_Quota_ID","Template_ID","Split","Burst_Slot","Context","Strength","HFS_Regime","Target_Spikes","Is_Four_Spike_Boundary"
"BQ_001","TPL_001","development","standalone_1","standalone","weak","not_applicable",4,TRUE
"BQ_002","TPL_001","development","standalone_2","standalone","moderate","not_applicable",5,FALSE
"BQ_003","TPL_001","development","standalone_3","standalone","strong","not_applicable",6,FALSE
"BQ_004","TPL_002","development","standalone_1","standalone","weak","not_applicable",7,FALSE
"BQ_005","TPL_002","development","standalone_2","standalone","moderate","not_applicable",8,FALSE
"BQ_006","TPL_002","development","standalone_3","standalone","strong","not_applicable",9,FALSE
"BQ_007","TPL_003","development","standalone_1","standalone","weak","not_applicable",5,FALSE
"BQ_008","TPL_003","development","standalone_2","standalone","moderate","not_applicable",6,FALSE
"BQ_009","TPL_003","development","standalone_3","standalone","strong","not_applicable",7,FALSE
"BQ_010","TPL_004","development","standalone_1","standalone","weak","not_applicable",8,FALSE
"BQ_011","TPL_004","development","standalone_2","standalone","moderate","not_applicable",9,FALSE
"BQ_012","TPL_004","development","standalone_3","standalone","strong","not_applicable",4,TRUE
"BQ_013","TPL_005","development","standalone_1","standalone","weak","not_applicable",5,FALSE
"BQ_014","TPL_005","development","standalone_2","standalone","moderate","not_applicable",6,FALSE
"BQ_015","TPL_005","development","standalone_3","standalone","strong","not_applicable",7,FALSE
"BQ_016","TPL_006","holdout","standalone_1","standalone","weak","not_applicable",8,FALSE
"BQ_017","TPL_006","holdout","standalone_2","standalone","moderate","not_applicable",4,TRUE
"BQ_018","TPL_006","holdout","standalone_3","standalone","strong","not_applicable",9,FALSE
"BQ_019","TPL_007","holdout","standalone_1","standalone","weak","not_applicable",5,FALSE
"BQ_020","TPL_007","holdout","standalone_2","standalone","moderate","not_applicable",6,FALSE
"BQ_021","TPL_007","holdout","standalone_3","standalone","strong","not_applicable",7,FALSE
"BQ_022","TPL_008","holdout","standalone_1","standalone","weak","not_applicable",8,FALSE
"BQ_023","TPL_008","holdout","standalone_2","standalone","moderate","not_applicable",9,FALSE
"BQ_024","TPL_008","holdout","standalone_3","standalone","strong","not_applicable",5,FALSE
"BQ_025","TPL_009","holdout","standalone_1","standalone","weak","not_applicable",6,FALSE
"BQ_026","TPL_009","holdout","standalone_2","standalone","moderate","not_applicable",7,FALSE
"BQ_027","TPL_009","holdout","standalone_3","standalone","strong","not_applicable",8,FALSE
"BQ_028","TPL_010","holdout","standalone_1","standalone","weak","not_applicable",4,TRUE
"BQ_029","TPL_010","holdout","standalone_2","standalone","moderate","not_applicable",9,FALSE
"BQ_030","TPL_010","holdout","standalone_3","standalone","strong","not_applicable",5,FALSE
"BQ_031","TPL_011","holdout","standalone_1","standalone","weak","not_applicable",6,FALSE
"BQ_032","TPL_011","holdout","standalone_2","standalone","moderate","not_applicable",7,FALSE
"BQ_033","TPL_011","holdout","standalone_3","standalone","strong","not_applicable",8,FALSE
"BQ_034","TPL_012","holdout","standalone_1","standalone","weak","not_applicable",9,FALSE
"BQ_035","TPL_012","holdout","standalone_2","standalone","moderate","not_applicable",5,FALSE
"BQ_036","TPL_012","holdout","standalone_3","standalone","strong","not_applicable",6,FALSE
"BQ_037","TPL_013","holdout","standalone_1","standalone","weak","not_applicable",7,FALSE
"BQ_038","TPL_013","holdout","standalone_2","standalone","moderate","not_applicable",8,FALSE
"BQ_039","TPL_013","holdout","standalone_3","standalone","strong","not_applicable",9,FALSE
"BQ_040","TPL_014","holdout","standalone_1","standalone","weak","not_applicable",5,FALSE
"BQ_041","TPL_014","holdout","standalone_2","standalone","moderate","not_applicable",6,FALSE
"BQ_042","TPL_014","holdout","standalone_3","standalone","strong","not_applicable",4,TRUE
"BQ_043","TPL_015","holdout","standalone_1","standalone","weak","not_applicable",7,FALSE
"BQ_044","TPL_015","holdout","standalone_2","standalone","moderate","not_applicable",8,FALSE
"BQ_045","TPL_015","holdout","standalone_3","standalone","strong","not_applicable",9,FALSE
"BQ_046","TPL_016","holdout","standalone_1","standalone","weak","not_applicable",5,FALSE
"BQ_047","TPL_016","holdout","standalone_2","standalone","moderate","not_applicable",6,FALSE
"BQ_048","TPL_016","holdout","standalone_3","standalone","strong","not_applicable",7,FALSE
"BQ_049","TPL_017","holdout","standalone_1","standalone","weak","not_applicable",8,FALSE
"BQ_050","TPL_017","holdout","standalone_2","standalone","moderate","not_applicable",9,FALSE
"BQ_051","TPL_017","holdout","standalone_3","standalone","strong","not_applicable",5,FALSE
"BQ_052","TPL_018","holdout","standalone_1","standalone","weak","not_applicable",6,FALSE
"BQ_053","TPL_018","holdout","standalone_2","standalone","moderate","not_applicable",4,TRUE
"BQ_054","TPL_018","holdout","standalone_3","standalone","strong","not_applicable",7,FALSE
"BQ_055","TPL_019","holdout","standalone_1","standalone","weak","not_applicable",8,FALSE
"BQ_056","TPL_019","holdout","standalone_2","standalone","moderate","not_applicable",9,FALSE
"BQ_057","TPL_019","holdout","standalone_3","standalone","strong","not_applicable",5,FALSE
"BQ_058","TPL_020","holdout","standalone_1","standalone","weak","not_applicable",6,FALSE
"BQ_059","TPL_020","holdout","standalone_2","standalone","moderate","not_applicable",7,FALSE
"BQ_060","TPL_020","holdout","standalone_3","standalone","strong","not_applicable",8,FALSE
"BQ_061","TPL_001","development","hfs_1","hfs","weak","regular",9,FALSE
"BQ_062","TPL_001","development","hfs_2","hfs","moderate","intermediate",5,FALSE
"BQ_063","TPL_002","development","hfs_1","hfs","weak","intermediate",4,TRUE
"BQ_064","TPL_002","development","hfs_2","hfs","strong","irregular",6,FALSE
"BQ_065","TPL_003","development","hfs_1","hfs","moderate","irregular",4,TRUE
"BQ_066","TPL_003","development","hfs_2","hfs","strong","regular",7,FALSE
"BQ_067","TPL_004","development","hfs_1","hfs","moderate","regular",8,FALSE
"BQ_068","TPL_004","development","hfs_2","hfs","weak","irregular",9,FALSE
"BQ_069","TPL_005","development","hfs_1","hfs","strong","intermediate",4,TRUE
"BQ_070","TPL_005","development","hfs_2","hfs","moderate","regular",5,FALSE
"BQ_071","TPL_006","holdout","hfs_1","hfs","weak","irregular",6,FALSE
"BQ_072","TPL_006","holdout","hfs_2","hfs","strong","regular",7,FALSE
"BQ_073","TPL_007","holdout","hfs_1","hfs","weak","intermediate",8,FALSE
"BQ_074","TPL_007","holdout","hfs_2","hfs","moderate","irregular",9,FALSE
"BQ_075","TPL_008","holdout","hfs_1","hfs","strong","intermediate",5,FALSE
"BQ_076","TPL_008","holdout","hfs_2","hfs","moderate","irregular",4,TRUE
"BQ_077","TPL_009","holdout","hfs_1","hfs","weak","regular",6,FALSE
"BQ_078","TPL_009","holdout","hfs_2","hfs","strong","irregular",7,FALSE
"BQ_079","TPL_010","holdout","hfs_1","hfs","moderate","intermediate",8,FALSE
"BQ_080","TPL_010","holdout","hfs_2","hfs","weak","irregular",9,FALSE
"BQ_081","TPL_011","holdout","hfs_1","hfs","moderate","intermediate",5,FALSE
"BQ_082","TPL_011","holdout","hfs_2","hfs","weak","regular",6,FALSE
"BQ_083","TPL_012","holdout","hfs_1","hfs","moderate","intermediate",7,FALSE
"BQ_084","TPL_012","holdout","hfs_2","hfs","strong","irregular",4,TRUE
"BQ_085","TPL_013","holdout","hfs_1","hfs","moderate","regular",8,FALSE
"BQ_086","TPL_013","holdout","hfs_2","hfs","strong","irregular",9,FALSE
"BQ_087","TPL_014","holdout","hfs_1","hfs","strong","regular",5,FALSE
"BQ_088","TPL_014","holdout","hfs_2","hfs","weak","intermediate",6,FALSE
"BQ_089","TPL_015","holdout","hfs_1","hfs","moderate","irregular",7,FALSE
"BQ_090","TPL_015","holdout","hfs_2","hfs","weak","regular",8,FALSE
"BQ_091","TPL_016","holdout","hfs_1","hfs","weak","regular",4,TRUE
"BQ_092","TPL_016","holdout","hfs_2","hfs","strong","intermediate",9,FALSE
"BQ_093","TPL_017","holdout","hfs_1","hfs","strong","irregular",5,FALSE
"BQ_094","TPL_017","holdout","hfs_2","hfs","moderate","intermediate",6,FALSE
"BQ_095","TPL_018","holdout","hfs_1","hfs","moderate","regular",7,FALSE
"BQ_096","TPL_018","holdout","hfs_2","hfs","strong","intermediate",8,FALSE
"BQ_097","TPL_019","holdout","hfs_1","hfs","weak","intermediate",9,FALSE
"BQ_098","TPL_019","holdout","hfs_2","hfs","strong","regular",5,FALSE
"BQ_099","TPL_020","holdout","hfs_1","hfs","weak","irregular",6,FALSE
"BQ_100","TPL_020","holdout","hfs_2","hfs","moderate","regular",7,FALSE
