"Parameter","Value"
"dataset_id","clean_synthetic_mechanism_benchmark_v2_2_0"
"dataset_version","2.2.0"
"n_templates","20"
"development_templates","TPL_001 | TPL_002 | TPL_003 | TPL_004 | TPL_005"
"holdout_templates","TPL_006 | TPL_007 | TPL_008 | TPL_009 | TPL_010 | TPL_011 | TPL_012 | TPL_013 | TPL_014 | TPL_015 | TPL_016 | TPL_017 | TPL_018 | TPL_019 | TPL_020"
"template_seed_base","2026082700"
"sample_blinding_seed","2026082791"
"phenotype_null_seed","2026082777"
"quota_seed","2026082711"
"calibration_selection_seed","2026082780"
"rng_contract.namespace","clean_benchmark_component_rng_v1"
"rng_contract.hash_algorithm","xxhash32"
"rng_contract.key_fields","Template_ID | Component | Component_Slot | Replicate"
"rng_contract.streams","schedule | background | burst | pause | tonic | hfs | nested_burst | point_process"
"rng_contract.version_is_not_in_seed_key","TRUE"
"rng_contract.local_component_hash_algorithm","sha256"
"anchor_B_s","0.1"
"scale_factors","1 | 4 | 10"
"workbook_blind_batches.Batch_A","4"
"workbook_blind_batches.Batch_B","10"
"workbook_blind_batches.Batch_C","1"
"stimulation_enabled","FALSE"
"observation_noise_enabled","FALSE"
"drift_enabled","FALSE"
"renewal_family","shifted_gamma"
"shared_refractory_B","0.02"
"frozen_per_template_quota.Standalone_Burst","3"
"frozen_per_template_quota.Burst_in_HFS","2"
"frozen_per_template_quota.Broad_HFS_total","3"
"frozen_per_template_quota.Tonic_generic","1"
"frozen_per_template_quota.Tonic_STN_like","1"
"frozen_per_template_quota.Canonical_Pause","2"
"frozen_per_template_quota.Contextual_Separator_secondary","1"
"complex_pause_templates","TPL_001 | TPL_003 | TPL_006 | TPL_008 | TPL_010 | TPL_012 | TPL_014 | TPL_016 | TPL_018 | TPL_020"
"four_spike_assignments","c(""TPL_001"", ""TPL_002"", ""TPL_003"", ""TPL_004"", ""TPL_005"", ""TPL_006"", ""TPL_008"", ""TPL_010"", ""TPL_012"", ""TPL_014"", ""TPL_016"", ""TPL_018"") | c(""standalone"", ""hfs"", ""hfs"", ""standalone"", ""hfs"", ""standalone"", ""hfs"", ""standalone"", ""hfs"", ""standalone"", ""hfs"", ""standalone"") | c(""weak"", ""weak"", ""moderate"", ""strong"", ""strong"", ""moderate"", ""moderate"", ""weak"", ""strong"", ""strong"", ""weak"", ""moderate"")"
"background.mean_isi_B","0.55 | 0.8"
"background.gamma_shape","2 | 5.5"
"background.boundary_spikes","2 | 4"
"background.between_macro_insertion_probability","0.55"
"tonic.intended_stratum_by_template","eligible | eligible | eligible | eligible | eligible | eligible | eligible | eligible | eligible | eligible | eligible | eligible | ambiguous | ambiguous | ambiguous | ambiguous | ambiguous | no_evidence | no_evidence | no_evidence"
"tonic.phenotype_score_thresholds","0.45 | 0.65"
"tonic.phenotype_score_weights","0.4 | 0.2 | 0.2 | 0.2"
"tonic.flank_isis_each_side","4"
"tonic.regimes.eligible.boundary_spikes","12 | 18"
"tonic.regimes.eligible.generic_stress.mean_isi_B","0.75 | 1.1"
"tonic.regimes.eligible.generic_stress.gamma_shape","12 | 30"
"tonic.regimes.eligible.generic_stress.cv_qc_max","0.4"
"tonic.regimes.eligible.generic_stress.cv2_qc_max","0.5"
"tonic.regimes.eligible.generic_stress.lv_qc_max","0.35"
"tonic.regimes.eligible.stn_like_empirical.mean_isi_B","0.35 | 0.55"
"tonic.regimes.eligible.stn_like_empirical.gamma_shape","20 | 80"
"tonic.regimes.eligible.stn_like_empirical.cv_qc_max","0.3"
"tonic.regimes.eligible.stn_like_empirical.cv2_qc_max","0.4"
"tonic.regimes.eligible.stn_like_empirical.lv_qc_max","0.2"
"tonic.regimes.ambiguous.boundary_spikes","9 | 13"
"tonic.regimes.ambiguous.generic_stress.mean_isi_B","0.55 | 0.85"
"tonic.regimes.ambiguous.generic_stress.gamma_shape","4 | 10"
"tonic.regimes.ambiguous.generic_stress.cv_qc_max","0.65"
"tonic.regimes.ambiguous.generic_stress.cv2_qc_max","0.75"
"tonic.regimes.ambiguous.generic_stress.lv_qc_max","0.65"
"tonic.regimes.ambiguous.stn_like_empirical.mean_isi_B","0.24 | 0.38"
"tonic.regimes.ambiguous.stn_like_empirical.gamma_shape","8 | 25"
"tonic.regimes.ambiguous.stn_like_empirical.cv_qc_max","0.5"
"tonic.regimes.ambiguous.stn_like_empirical.cv2_qc_max","0.6"
"tonic.regimes.ambiguous.stn_like_empirical.lv_qc_max","0.45"
"tonic.regimes.no_evidence.boundary_spikes","8 | 12"
"tonic.regimes.no_evidence.generic_stress.mean_isi_B","0.55 | 0.8"
"tonic.regimes.no_evidence.generic_stress.gamma_shape","2.5 | 6"
"tonic.regimes.no_evidence.generic_stress.cv_qc_max","0.85"
"tonic.regimes.no_evidence.generic_stress.cv2_qc_max","0.95"
"tonic.regimes.no_evidence.generic_stress.lv_qc_max","0.85"
"tonic.regimes.no_evidence.stn_like_empirical.mean_isi_B","0.18 | 0.32"
"tonic.regimes.no_evidence.stn_like_empirical.gamma_shape","6 | 15"
"tonic.regimes.no_evidence.stn_like_empirical.cv_qc_max","0.7"
"tonic.regimes.no_evidence.stn_like_empirical.cv2_qc_max","0.8"
"tonic.regimes.no_evidence.stn_like_empirical.lv_qc_max","0.65"
"tonic.generic_stress.mean_isi_B","0.72 | 1.18"
"tonic.generic_stress.gamma_shape","4 | 12"
"tonic.generic_stress.cv_qc_max","0.55"
"tonic.generic_stress.cv2_qc_max","0.7"
"tonic.generic_stress.lv_qc_max","0.55"
"tonic.stn_like_empirical.mean_isi_B","0.2 | 0.55"
"tonic.stn_like_empirical.gamma_shape","20 | 80"
"tonic.stn_like_empirical.cv_qc_max","0.3"
"tonic.stn_like_empirical.cv2_qc_max","0.4"
"tonic.stn_like_empirical.lv_qc_max","0.2"
"tonic.stn_like_empirical.source","frozen_summary_of_manually_labeled_PD_STN_tonic_ISIs"
"tonic.stn_like_empirical.source_isi_n","77"
"tonic.stn_like_empirical.source_contiguous_run_n","25"
"tonic.stn_like_empirical.source_median_isi_s","0.031962"
"tonic.stn_like_empirical.source_q05_isi_s","0.0160964"
"tonic.stn_like_empirical.source_q95_isi_s","0.06902"
"tonic.stn_like_empirical.source_median_run_cv","0.087455"
"tonic.stn_like_empirical.source_median_run_lv","0.009498"
"tonic.stn_like_empirical.source_sha256","a70de1ae859b70de39a544b426990b73159c480ea4aa9e3467dfa8ba1d3aa5d5"
"broad_hfs.mean_isi_B","0.18 | 0.32"
