"Phenotype_Evidence_ID","Template_ID","Candidate_Origin","Mechanism_Event_ID","State_Envelope_ID","Start_Interval_Index","End_Interval_Index","Start_u","End_u","N_ISIs","N_Spikes","Duration_u","Internal_Median_ISI_u","Flank_Median_ISI_u","Median_Contrast","Mean_Rate_Ratio","Internal_CV","Compactness","Evidence_Score","Phenotype_Label","Ambiguity_Reason","Mechanism_Estimand_Role","Phenotype_Estimand_Eligibility"
"PHENO_0001","TPL_001","injected_rate_pulse","TPL_001_EVENT_002","none",17,19,17.6424763036408,18.0571513647342,3,4,0.414675061093326,0.131587450153997,0.653642087993042,4.9673588722031,7.47101216358834,0.107256597120917,0.219383856962051,3.26831591021827,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0002","TPL_001","injected_rate_pulse","TPL_001_EVENT_003","none",21,24,18.619507071622,19.0748320227762,4,5,0.455324951154239,0.111671126941369,0.418522386092937,3.74781196855544,3.03043427533481,0.442079613093928,0.30820152668712,2.87531291158691,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0003","TPL_001","injected_rate_pulse","TPL_001_EVENT_005","none",44,48,32.3424937257514,32.8102865536165,5,6,0.467792827865156,0.0701355047830745,0.269856830587301,3.84764936706385,9.77812044163385,0.511433714150953,0.412204013918681,3.53191099003382,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0004","TPL_001","injected_rate_pulse","TPL_001_EVENT_006","none",87,94,42.249477652562,42.7665042080916,8,9,0.517026555529654,0.0541202588350247,0.231646678053946,4.28022117854382,3.05090907435517,0.388030645338806,0.299384978368081,4.3526031282531,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0005","TPL_001","injected_rate_pulse","TPL_001_EVENT_008","none",116,119,50.7372738245077,50.9479075112092,4,5,0.210633686701435,0.0548772429891546,0.268462909471363,4.89206262647741,4.99763848883112,0.244357549590843,0.224524676070674,3.55303365881386,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0006","TPL_002","injected_rate_pulse","TPL_002_EVENT_001","none",29,34,5.29445742582929,5.96551545889724,6,7,0.671058033067952,0.10397807408996,0.220787065929685,2.12340022511538,2.38295570141563,0.484553252354529,0.577318046939228,2.01314161853197,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0007","TPL_002","injected_rate_pulse","TPL_002_EVENT_002","none",54,58,10.7410217365759,10.9459106462672,5,6,0.204888909691267,0.0401960692288199,0.214100708417149,5.3264090873752,6.73806117329438,0.261987380763399,0.235710002412416,4.19096445153771,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0008","TPL_002","injected_rate_pulse","TPL_002_EVENT_003","none",88,90,18.4050742583374,18.5616636354884,3,4,0.156589377150942,0.0560478612849091,0.180171149672625,3.21459455440696,3.57091202482583,0.256118381529374,0.330975067337791,2.31511129416181,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0009","TPL_002","injected_rate_pulse","TPL_002_EVENT_006","none",117,123,33.1294997036528,33.9432923620078,7,8,0.813792658355071,0.120475481888613,0.245250930906185,2.03569163668451,5.41323269089972,0.195608179983591,0.542364013127105,2.283345100255,"no_burst_evidence","none","injected_burst","eligible"
"PHENO_0010","TPL_002","injected_rate_pulse","TPL_002_EVENT_007","none",125,132,34.5681296938542,35.2758776137182,8,9,0.707747919863991,0.0852517524352742,0.457424035521469,5.36556753913956,6.19697580412895,0.327007239202124,0.22809463979992,5.17507829355268,"clear_burst_like","none","injected_burst","eligible"
"PHENO_0011","TPL_003","injected_rate_pulse","TPL_003_EVENT_001","none",16,18,3.56149356534955,3.72754494925588,3,4,0.166051383906334,0.0565001069448408,0.277642714822772,4.91402104944377,5.397452906259,0.191377518879271,0.219385706377688,3.15992923789093,"no_burst_evidence","none","injected_burst","eligible"
