"Phenotype_Evidence_ID","Template_ID","Candidate_Origin","Mechanism_Event_ID","State_Envelope_ID","Start_Interval_Index","End_Interval_Index","Start_u","End_u","N_ISIs","N_Spikes","Duration_u","Internal_Median_ISI_u","Flank_Median_ISI_u","Median_Contrast","Mean_Rate_Ratio","Internal_CV","Compactness","Evidence_Score","Phenotype_Label","Ambiguity_Reason","Mechanism_Estimand_Role","Phenotype_Estimand_Eligibility","Sample_ID","Scale_Factor","B_s","Split","Start_s","End_s","Duration_s","Internal_Median_ISI_s","Flank_Median_ISI_s"
"PHENO_0001","TPL_001","injected_rate_pulse","TPL_001_EVENT_002","none",17,19,17.6424763036408,18.0571513647342,3,4,0.414675061093326,0.131587450153997,0.653642087993042,4.9673588722031,7.47101216358834,0.107256597120917,0.219383856962051,3.26831591021827,"no_burst_evidence","none","injected_burst","eligible","S0015",1,0.1,"development",1.76424763036408,1.80571513647342,0.0414675061093326,0.0131587450153997,0.0653642087993042
"PHENO_0002","TPL_001","injected_rate_pulse","TPL_001_EVENT_003","none",21,24,18.619507071622,19.0748320227762,4,5,0.455324951154239,0.111671126941369,0.418522386092937,3.74781196855544,3.03043427533481,0.442079613093928,0.30820152668712,2.87531291158691,"no_burst_evidence","none","injected_burst","eligible","S0015",1,0.1,"development",1.8619507071622,1.90748320227762,0.0455324951154239,0.0111671126941369,0.0418522386092937
"PHENO_0003","TPL_001","injected_rate_pulse","TPL_001_EVENT_005","none",44,48,32.3424937257514,32.8102865536165,5,6,0.467792827865156,0.0701355047830745,0.269856830587301,3.84764936706385,9.77812044163385,0.511433714150953,0.412204013918681,3.53191099003382,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity","S0015",1,0.1,"development",3.23424937257514,3.28102865536165,0.0467792827865156,0.00701355047830745,0.0269856830587301
"PHENO_0004","TPL_001","injected_rate_pulse","TPL_001_EVENT_006","none",87,94,42.249477652562,42.7665042080916,8,9,0.517026555529654,0.0541202588350247,0.231646678053946,4.28022117854382,3.05090907435517,0.388030645338806,0.299384978368081,4.3526031282531,"clear_burst_like","none","injected_burst","eligible","S0015",1,0.1,"development",4.2249477652562,4.27665042080916,0.0517026555529654,0.00541202588350247,0.0231646678053946
"PHENO_0005","TPL_001","injected_rate_pulse","TPL_001_EVENT_008","none",116,119,50.7372738245077,50.9479075112092,4,5,0.210633686701435,0.0548772429891546,0.268462909471363,4.89206262647741,4.99763848883112,0.244357549590843,0.224524676070674,3.55303365881386,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity","S0015",1,0.1,"development",5.07372738245077,5.09479075112092,0.0210633686701435,0.00548772429891546,0.0268462909471363
"PHENO_0101","TPL_001","null_model_burst_like_excursion","none","TPL_001_STATE_003",66,68,36.128398568561,36.3550198490797,3,4,0.226621280518748,0.0693308619996812,0.178418952525168,2.57344200517784,3.06035695960017,0.666895717875362,0.55505822282277,1.8501544797729,"no_burst_evidence","none","mechanism_negative_null_excursion_audit","eligible","S0015",1,0.1,"development",3.6128398568561,3.63550198490797,0.0226621280518749,0.00693308619996812,0.0178418952525168
"PHENO_0001","TPL_001","injected_rate_pulse","TPL_001_EVENT_002","none",17,19,17.6424763036408,18.0571513647342,3,4,0.414675061093326,0.131587450153997,0.653642087993042,4.9673588722031,7.47101216358834,0.107256597120917,0.219383856962051,3.26831591021827,"no_burst_evidence","none","injected_burst","eligible","S0056",4,0.4,"development",7.05699052145633,7.22286054589366,0.16587002443733,0.0526349800615989,0.261456835197217
"PHENO_0002","TPL_001","injected_rate_pulse","TPL_001_EVENT_003","none",21,24,18.619507071622,19.0748320227762,4,5,0.455324951154239,0.111671126941369,0.418522386092937,3.74781196855544,3.03043427533481,0.442079613093928,0.30820152668712,2.87531291158691,"no_burst_evidence","none","injected_burst","eligible","S0056",4,0.4,"development",7.44780282864879,7.62993280911049,0.182129980461696,0.0446684507765476,0.167408954437175
"PHENO_0003","TPL_001","injected_rate_pulse","TPL_001_EVENT_005","none",44,48,32.3424937257514,32.8102865536165,5,6,0.467792827865156,0.0701355047830745,0.269856830587301,3.84764936706385,9.77812044163385,0.511433714150953,0.412204013918681,3.53191099003382,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity","S0056",4,0.4,"development",12.9369974903005,13.1241146214466,0.187117131146063,0.0280542019132298,0.10794273223492
"PHENO_0004","TPL_001","injected_rate_pulse","TPL_001_EVENT_006","none",87,94,42.249477652562,42.7665042080916,8,9,0.517026555529654,0.0541202588350247,0.231646678053946,4.28022117854382,3.05090907435517,0.388030645338806,0.299384978368081,4.3526031282531,"clear_burst_like","none","injected_burst","eligible","S0056",4,0.4,"development",16.8997910610248,17.1066016832367,0.206810622211862,0.0216481035340099,0.0926586712215784
"PHENO_0005","TPL_001","injected_rate_pulse","TPL_001_EVENT_008","none",116,119,50.7372738245077,50.9479075112092,4,5,0.210633686701435,0.0548772429891546,0.268462909471363,4.89206262647741,4.99763848883112,0.244357549590843,0.224524676070674,3.55303365881386,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity","S0056",4,0.4,"development",20.2949095298031,20.3791630044837,0.0842534746805739,0.0219508971956619,0.107385163788545
"PHENO_0101","TPL_001","null_model_burst_like_excursion","none","TPL_001_STATE_003",66,68,36.128398568561,36.3550198490797,3,4,0.226621280518748,0.0693308619996812,0.178418952525168,2.57344200517784,3.06035695960017,0.666895717875362,0.55505822282277,1.8501544797729,"no_burst_evidence","none","mechanism_negative_null_excursion_audit","eligible","S0056",4,0.4,"development",14.4513594274244,14.5420079396319,0.0906485122074994,0.0277323447998725,0.0713675810100671
"PHENO_0001","TPL_001","injected_rate_pulse","TPL_001_EVENT_002","none",17,19,17.6424763036408,18.0571513647342,3,4,0.414675061093326,0.131587450153997,0.653642087993042,4.9673588722031,7.47101216358834,0.107256597120917,0.219383856962051,3.26831591021827,"no_burst_evidence","none","injected_burst","eligible","S0007",10,1,"development",17.6424763036408,18.0571513647342,0.414675061093326,0.131587450153997,0.653642087993042
"PHENO_0002","TPL_001","injected_rate_pulse","TPL_001_EVENT_003","none",21,24,18.619507071622,19.0748320227762,4,5,0.455324951154239,0.111671126941369,0.418522386092937,3.74781196855544,3.03043427533481,0.442079613093928,0.30820152668712,2.87531291158691,"no_burst_evidence","none","injected_burst","eligible","S0007",10,1,"development",18.619507071622,19.0748320227762,0.455324951154239,0.111671126941369,0.418522386092937
"PHENO_0003","TPL_001","injected_rate_pulse","TPL_001_EVENT_005","none",44,48,32.3424937257514,32.8102865536165,5,6,0.467792827865156,0.0701355047830745,0.269856830587301,3.84764936706385,9.77812044163385,0.511433714150953,0.412204013918681,3.53191099003382,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity","S0007",10,1,"development",32.3424937257514,32.8102865536165,0.467792827865156,0.0701355047830745,0.269856830587301
"PHENO_0004","TPL_001","injected_rate_pulse","TPL_001_EVENT_006","none",87,94,42.249477652562,42.7665042080916,8,9,0.517026555529654,0.0541202588350247,0.231646678053946,4.28022117854382,3.05090907435517,0.388030645338806,0.299384978368081,4.3526031282531,"clear_burst_like","none","injected_burst","eligible","S0007",10,1,"development",42.249477652562,42.7665042080916,0.517026555529654,0.0541202588350247,0.231646678053946
"PHENO_0005","TPL_001","injected_rate_pulse","TPL_001_EVENT_008","none",116,119,50.7372738245077,50.9479075112092,4,5,0.210633686701435,0.0548772429891546,0.268462909471363,4.89206262647741,4.99763848883112,0.244357549590843,0.224524676070674,3.55303365881386,"ambiguous_burst_like","score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity","S0007",10,1,"development",50.7372738245077,50.9479075112092,0.210633686701435,0.0548772429891546,0.268462909471363
"PHENO_0101","TPL_001","null_model_burst_like_excursion","none","TPL_001_STATE_003",66,68,36.128398568561,36.3550198490797,3,4,0.226621280518748,0.0693308619996812,0.178418952525168,2.57344200517784,3.06035695960017,0.666895717875362,0.55505822282277,1.8501544797729,"no_burst_evidence","none","mechanism_negative_null_excursion_audit","eligible","S0007",10,1,"development",36.128398568561,36.3550198490797,0.226621280518748,0.0693308619996812,0.178418952525168
"PHENO_0006","TPL_002","injected_rate_pulse","TPL_002_EVENT_001","none",29,34,5.29445742582929,5.96551545889724,6,7,0.671058033067952,0.10397807408996,0.220787065929685,2.12340022511538,2.38295570141563,0.484553252354529,0.577318046939228,2.01314161853197,"no_burst_evidence","none","injected_burst","eligible","S0030",1,0.1,"development",0.529445742582929,0.596551545889724,0.0671058033067952,0.010397807408996,0.0220787065929685
"PHENO_0007","TPL_002","injected_rate_pulse","TPL_002_EVENT_002","none",54,58,10.7410217365759,10.9459106462672,5,6,0.204888909691267,0.0401960692288199,0.214100708417149,5.3264090873752,6.73806117329438,0.261987380763399,0.235710002412416,4.19096445153771,"clear_burst_like","none","injected_burst","eligible","S0030",1,0.1,"development",1.07410217365759,1.09459106462672,0.0204888909691267,0.00401960692288199,0.0214100708417149
"PHENO_0008","TPL_002","injected_rate_pulse","TPL_002_EVENT_003","none",88,90,18.4050742583374,18.5616636354884,3,4,0.156589377150942,0.0560478612849091,0.180171149672625,3.21459455440696,3.57091202482583,0.256118381529374,0.330975067337791,2.31511129416181,"no_burst_evidence","none","injected_burst","eligible","S0030",1,0.1,"development",1.84050742583374,1.85616636354884,0.0156589377150942,0.00560478612849091,0.0180171149672625
"PHENO_0009","TPL_002","injected_rate_pulse","TPL_002_EVENT_006","none",117,123,33.1294997036528,33.9432923620078,7,8,0.813792658355071,0.120475481888613,0.245250930906185,2.03569163668451,5.41323269089972,0.195608179983591,0.542364013127105,2.283345100255,"no_burst_evidence","none","injected_burst","eligible","S0030",1,0.1,"development",3.31294997036528,3.39432923620078,0.0813792658355071,0.0120475481888613,0.0245250930906185
"PHENO_0010","TPL_002","injected_rate_pulse","TPL_002_EVENT_007","none",125,132,34.5681296938542,35.2758776137182,8,9,0.707747919863991,0.0852517524352742,0.457424035521469,5.36556753913956,6.19697580412895,0.327007239202124,0.22809463979992,5.17507829355268,"clear_burst_like","none","injected_burst","eligible","S0030",1,0.1,"development",3.45681296938542,3.52758776137182,0.0707747919863991,0.00852517524352742,0.0457424035521469
"PHENO_0102","TPL_002","null_model_burst_like_excursion","none","TPL_002_STATE_001",3,5,0.406689033117169,0.849503301136549,3,4,0.44281426801938,0.115468678733395,0.208949698511219,1.80957902007056,1.46240287378573,0.470998222382425,0.820411409602289,1.07518974405947,"no_burst_evidence","none","mechanism_negative_null_excursion_audit","eligible","S0030",1,0.1,"development",0.0406689033117169,0.0849503301136549,0.044281426801938,0.0115468678733395,0.0208949698511219
"PHENO_0006","TPL_002","injected_rate_pulse","TPL_002_EVENT_001","none",29,34,5.29445742582929,5.96551545889724,6,7,0.671058033067952,0.10397807408996,0.220787065929685,2.12340022511538,2.38295570141563,0.484553252354529,0.577318046939228,2.01314161853197,"no_burst_evidence","none","injected_burst","eligible","S0006",4,0.4,"development",2.11778297033172,2.3862061835589,0.268423213227181,0.0415912296359841,0.088314826371874
"PHENO_0007","TPL_002","injected_rate_pulse","TPL_002_EVENT_002","none",54,58,10.7410217365759,10.9459106462672,5,6,0.204888909691267,0.0401960692288199,0.214100708417149,5.3264090873752,6.73806117329438,0.261987380763399,0.235710002412416,4.19096445153771,"clear_burst_like","none","injected_burst","eligible","S0006",4,0.4,"development",4.29640869463036,4.37836425850687,0.0819555638765067,0.016078427691528,0.0856402833668597
"PHENO_0008","TPL_002","injected_rate_pulse","TPL_002_EVENT_003","none",88,90,18.4050742583374,18.5616636354884,3,4,0.156589377150942,0.0560478612849091,0.180171149672625,3.21459455440696,3.57091202482583,0.256118381529374,0.330975067337791,2.31511129416181,"no_burst_evidence","none","injected_burst","eligible","S0006",4,0.4,"development",7.36202970333497,7.42466545419534,0.0626357508603768,0.0224191445139637,0.0720684598690502
"PHENO_0009","TPL_002","injected_rate_pulse","TPL_002_EVENT_006","none",117,123,33.1294997036528,33.9432923620078,7,8,0.813792658355071,0.120475481888613,0.245250930906185,2.03569163668451,5.41323269089972,0.195608179983591,0.542364013127105,2.283345100255,"no_burst_evidence","none","injected_burst","eligible","S0006",4,0.4,"development",13.2517998814611,13.5773169448031,0.325517063342029,0.0481901927554453,0.0981003723624742
"PHENO_0010","TPL_002","injected_rate_pulse","TPL_002_EVENT_007","none",125,132,34.5681296938542,35.2758776137182,8,9,0.707747919863991,0.0852517524352742,0.457424035521469,5.36556753913956,6.19697580412895,0.327007239202124,0.22809463979992,5.17507829355268,"clear_burst_like","none","injected_burst","eligible","S0006",4,0.4,"development",13.8272518775417,14.1103510454873,0.283099167945596,0.0341007009741097,0.182969614208588
"PHENO_0102","TPL_002","null_model_burst_like_excursion","none","TPL_002_STATE_001",3,5,0.406689033117169,0.849503301136549,3,4,0.44281426801938,0.115468678733395,0.208949698511219,1.80957902007056,1.46240287378573,0.470998222382425,0.820411409602289,1.07518974405947,"no_burst_evidence","none","mechanism_negative_null_excursion_audit","eligible","S0006",4,0.4,"development",0.162675613246868,0.33980132045462,0.177125707207752,0.0461874714933579,0.0835798794044876
"PHENO_0006","TPL_002","injected_rate_pulse","TPL_002_EVENT_001","none",29,34,5.29445742582929,5.96551545889724,6,7,0.671058033067952,0.10397807408996,0.220787065929685,2.12340022511538,2.38295570141563,0.484553252354529,0.577318046939228,2.01314161853197,"no_burst_evidence","none","injected_burst","eligible","S0044",10,1,"development",5.29445742582929,5.96551545889724,0.671058033067952,0.10397807408996,0.220787065929685
"PHENO_0007","TPL_002","injected_rate_pulse","TPL_002_EVENT_002","none",54,58,10.7410217365759,10.9459106462672,5,6,0.204888909691267,0.0401960692288199,0.214100708417149,5.3264090873752,6.73806117329438,0.261987380763399,0.235710002412416,4.19096445153771,"clear_burst_like","none","injected_burst","eligible","S0044",10,1,"development",10.7410217365759,10.9459106462672,0.204888909691267,0.0401960692288199,0.214100708417149
"PHENO_0008","TPL_002","injected_rate_pulse","TPL_002_EVENT_003","none",88,90,18.4050742583374,18.5616636354884,3,4,0.156589377150942,0.0560478612849091,0.180171149672625,3.21459455440696,3.57091202482583,0.256118381529374,0.330975067337791,2.31511129416181,"no_burst_evidence","none","injected_burst","eligible","S0044",10,1,"development",18.4050742583374,18.5616636354884,0.156589377150942,0.0560478612849091,0.180171149672625
"PHENO_0009","TPL_002","injected_rate_pulse","TPL_002_EVENT_006","none",117,123,33.1294997036528,33.9432923620078,7,8,0.813792658355071,0.120475481888613,0.245250930906185,2.03569163668451,5.41323269089972,0.195608179983591,0.542364013127105,2.283345100255,"no_burst_evidence","none","injected_burst","eligible","S0044",10,1,"development",33.1294997036528,33.9432923620078,0.813792658355071,0.120475481888613,0.245250930906185
"PHENO_0010","TPL_002","injected_rate_pulse","TPL_002_EVENT_007","none",125,132,34.5681296938542,35.2758776137182,8,9,0.707747919863991,0.0852517524352742,0.457424035521469,5.36556753913956,6.19697580412895,0.327007239202124,0.22809463979992,5.17507829355268,"clear_burst_like","none","injected_burst","eligible","S0044",10,1,"development",34.5681296938542,35.2758776137182,0.707747919863991,0.0852517524352742,0.457424035521469
"PHENO_0102","TPL_002","null_model_burst_like_excursion","none","TPL_002_STATE_001",3,5,0.406689033117169,0.849503301136549,3,4,0.44281426801938,0.115468678733395,0.208949698511219,1.80957902007056,1.46240287378573,0.470998222382425,0.820411409602289,1.07518974405947,"no_burst_evidence","none","mechanism_negative_null_excursion_audit","eligible","S0044",10,1,"development",0.406689033117169,0.849503301136549,0.44281426801938,0.115468678733395,0.208949698511219
