"Template_ID","State_Envelope_ID","Run_ID","State_Label","Tonic_Subtype","Start_u","End_u","Duration_u","N_Boundary_Spikes","N_ISIs","Renewal_Family","Regularity_Regime","Mean_ISI_Parameter_u","Gamma_Shape","Refractory_u","Observed_Mean_ISI_u","CV","CV2","LV","Contains_Injected_Burst","Burst_Strength_Stratum","Tonic_Intended_Stratum","Composite_HFS_Regime_ID","Boundary_Observability","Start_Boundary_Observability","End_Boundary_Observability","Start_Boundary_Contrast","End_Boundary_Contrast","Start_Hard_Cut_Reason","End_Hard_Cut_Reason","Tonic_Phenotype_Evidence_Score","Tonic_Phenotype","Eligibility_Reason","Sample_ID","Scale_Factor","B_s","Split","Start_s","End_s","Duration_s","Mean_ISI_Parameter_s","Refractory_s","Observed_Mean_ISI_s"
"TPL_001","TPL_001_STATE_001","TPL_001_RUN_001","Tonic","generic_stress",0,11.8933117726839,11.8933117726839,15,14,"shifted_gamma","generic_stress",0.838208558922634,17.3829596880823,0.02,0.849522269477419,0.189176629587034,0.217835991177462,0.0503352156711561,FALSE,"none","eligible","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.710593942501275,"eligible","pre_frozen_timestamp_evidence_contract_met","S0015",1,0.1,"development",0,1.18933117726839,1.18933117726839,0.0838208558922634,0.002,0.0849522269477419
"TPL_001","TPL_001_STATE_002","TPL_001_RUN_007","Tonic","stn_like_empirical",19.0748320227762,25.9081149121717,6.83328288939545,17,16,"shifted_gamma","stn_like_empirical",0.425872288411483,73.9279026072472,0.02,0.427080180587216,0.0954584296329728,0.12469889569981,0.0159962800855511,FALSE,"none","eligible","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.94615937215323,"eligible","pre_frozen_timestamp_evidence_contract_met","S0015",1,0.1,"development",1.90748320227762,2.59081149121717,0.683328288939545,0.0425872288411483,0.002,0.0427080180587216
"TPL_001","TPL_001_STATE_003","TPL_001_RUN_010","Broad_HFS","none",32.8102865536165,37.021832241739,4.21154568812246,24,23,"shifted_gamma","irregular",0.199131448133849,1.39302199515514,0.02,0.183110682092281,0.724425125918456,0.955871014383057,0.824376992739366,FALSE,"none","not_applicable","none","no_evidence_at_one_or_more_boundaries","no_evidence","clear",0.533322834405025,1.7881580626235,"none","none",,"not_applicable","not_applicable","S0015",1,0.1,"development",3.28102865536165,3.7021832241739,0.421154568812246,0.0199131448133849,0.002,0.0183110682092281
"TPL_001","TPL_001_STATE_004","TPL_001_RUN_012","Broad_HFS","none",39.5385751659494,45.6157773277303,6.07720216178088,35,34,"shifted_gamma","regular",0.21103762134444,7.44428947241977,0.02,0.178741240052379,0.490272008697929,0.313256184345717,0.14421010578455,TRUE,"weak","not_applicable","TPL_001_REGIME_01","clear_or_hard_cut","clear","hard_cut_canonical_pause",1.902509982679,0.975247761102163,"none","canonical_pause",,"not_applicable","not_applicable","S0015",1,0.1,"development",3.95385751659494,4.56157773277303,0.607720216178088,0.021103762134444,0.002,0.0178741240052379
"TPL_001","TPL_001_STATE_005","TPL_001_RUN_014","Broad_HFS","none",49.0092463815165,55.4215189590178,6.4122725775013,29,28,"shifted_gamma","intermediate",0.258682600390166,3.89285871800967,0.02,0.229009734910761,0.549340970749773,0.485265930219755,0.266641183538235,TRUE,"moderate","not_applicable","TPL_001_REGIME_01","ambiguous_or_edge","hard_cut_canonical_pause","recording_edge_unobservable",1.39236520247156,,"canonical_pause","none",,"not_applicable","not_applicable","S0015",1,0.1,"development",4.90092463815165,5.54215189590178,0.641227257750131,0.0258682600390166,0.002,0.0229009734910761
"TPL_001","TPL_001_STATE_001","TPL_001_RUN_001","Tonic","generic_stress",0,11.8933117726839,11.8933117726839,15,14,"shifted_gamma","generic_stress",0.838208558922634,17.3829596880823,0.02,0.849522269477419,0.189176629587034,0.217835991177462,0.0503352156711561,FALSE,"none","eligible","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.710593942501275,"eligible","pre_frozen_timestamp_evidence_contract_met","S0056",4,0.4,"development",0,4.75732470907355,4.75732470907355,0.335283423569053,0.008,0.339808907790968
"TPL_001","TPL_001_STATE_002","TPL_001_RUN_007","Tonic","stn_like_empirical",19.0748320227762,25.9081149121717,6.83328288939545,17,16,"shifted_gamma","stn_like_empirical",0.425872288411483,73.9279026072472,0.02,0.427080180587216,0.0954584296329728,0.12469889569981,0.0159962800855511,FALSE,"none","eligible","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.94615937215323,"eligible","pre_frozen_timestamp_evidence_contract_met","S0056",4,0.4,"development",7.62993280911049,10.3632459648687,2.73331315575818,0.170348915364593,0.008,0.170832072234886
"TPL_001","TPL_001_STATE_003","TPL_001_RUN_010","Broad_HFS","none",32.8102865536165,37.021832241739,4.21154568812246,24,23,"shifted_gamma","irregular",0.199131448133849,1.39302199515514,0.02,0.183110682092281,0.724425125918456,0.955871014383057,0.824376992739366,FALSE,"none","not_applicable","none","no_evidence_at_one_or_more_boundaries","no_evidence","clear",0.533322834405025,1.7881580626235,"none","none",,"not_applicable","not_applicable","S0056",4,0.4,"development",13.1241146214466,14.8087328966956,1.68461827524898,0.0796525792535395,0.008,0.0732442728369123
"TPL_001","TPL_001_STATE_004","TPL_001_RUN_012","Broad_HFS","none",39.5385751659494,45.6157773277303,6.07720216178088,35,34,"shifted_gamma","regular",0.21103762134444,7.44428947241977,0.02,0.178741240052379,0.490272008697929,0.313256184345717,0.14421010578455,TRUE,"weak","not_applicable","TPL_001_REGIME_01","clear_or_hard_cut","clear","hard_cut_canonical_pause",1.902509982679,0.975247761102163,"none","canonical_pause",,"not_applicable","not_applicable","S0056",4,0.4,"development",15.8154300663798,18.2463109310921,2.43088086471235,0.0844150485377759,0.008,0.0714964960209515
"TPL_001","TPL_001_STATE_005","TPL_001_RUN_014","Broad_HFS","none",49.0092463815165,55.4215189590178,6.4122725775013,29,28,"shifted_gamma","intermediate",0.258682600390166,3.89285871800967,0.02,0.229009734910761,0.549340970749773,0.485265930219755,0.266641183538235,TRUE,"moderate","not_applicable","TPL_001_REGIME_01","ambiguous_or_edge","hard_cut_canonical_pause","recording_edge_unobservable",1.39236520247156,,"canonical_pause","none",,"not_applicable","not_applicable","S0056",4,0.4,"development",19.6036985526066,22.1686075836071,2.56490903100052,0.103473040156066,0.008,0.0916038939643044
