"Template_ID","Event_ID","Run_ID","State_Envelope_ID","Event_Label","Pause_Subtype","Event_Context","Latent_Pulse_ID","Latent_Start_u","Latent_End_u","Latent_Duration_u","Realized_Start_u","Realized_End_u","Realized_Duration_u","Realized_Left_Spike_Index","Realized_Right_Spike_Index","N_Realized_Spikes","N_Realized_ISIs","Rate_Multiplier","Pulse_Strength_Stratum","Frozen_Target_Spikes","Burst_Quota_ID","Is_Four_Spike_Boundary","Composite_HFS_Regime_ID","Boundary_Definition","Phenotype_Evidence_ID","Phenotype_Label","Phenotype_Evidence_Score","Phenotype_Evaluation_Eligibility","Sample_ID","Scale_Factor","B_s","Split","Latent_Start_s","Latent_End_s","Latent_Duration_s","Realized_Start_s","Realized_End_s","Realized_Duration_s"
"TPL_001","TPL_001_EVENT_001","TPL_001_RUN_002","none","Pause","canonical","canonical","none",,,,11.8933117726839,16.731096522745,4.83778475006111,15,16,2,1,,"none",,"none",FALSE,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0015",1,0.1,"development",,,,1.18933117726839,1.6731096522745,0.483778475006111
"TPL_001","TPL_001_EVENT_002","TPL_001_RUN_004","none","Burst","none","standalone_burst","TPL_001_PULSE_001",17.5290901892233,18.1322660146006,0.603175825377225,17.6424763036408,18.0571513647342,0.414675061093327,17,20,4,3,5.35743358568288,"weak",4,"BQ_001",TRUE,"none","first_to_last_pulse_exposed_spike","PHENO_0001","no_burst_evidence",3.26831591021827,"eligible","S0015",1,0.1,"development",1.75290901892234,1.81322660146006,0.0603175825377225,1.76424763036408,1.80571513647342,0.0414675061093327
"TPL_001","TPL_001_EVENT_003","TPL_001_RUN_006","none","Burst","none","standalone_burst","TPL_001_PULSE_002",18.5904656544338,19.1103297313841,0.519864076950302,18.619507071622,19.0748320227762,0.455324951154239,21,25,5,4,6.0342286353698,"moderate",5,"BQ_002",FALSE,"none","first_to_last_pulse_exposed_spike","PHENO_0002","no_burst_evidence",2.87531291158691,"eligible","S0015",1,0.1,"development",1.85904656544338,1.91103297313841,0.0519864076950302,1.8619507071622,1.90748320227762,0.0455324951154239
"TPL_001","TPL_001_EVENT_004","TPL_001_RUN_008","none","Pause","complex_multi_gap","complex_multi_gap","none",,,,25.9081149121717,32.3424937257514,6.43437881357968,41,44,4,3,,"none",,"none",FALSE,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0015",1,0.1,"development",,,,2.59081149121717,3.23424937257514,0.643437881357968
"TPL_001","TPL_001_EVENT_005","TPL_001_RUN_009","none","Burst","none","standalone_burst","TPL_001_PULSE_003",32.3414327435927,32.8139420215378,0.472509277945107,32.3424937257514,32.8102865536165,0.467792827865154,44,49,6,5,10.2702716542408,"strong",6,"BQ_003",FALSE,"none","first_to_last_pulse_exposed_spike","PHENO_0003","ambiguous_burst_like",3.53191099003382,"exclude_primary_include_sensitivity","S0015",1,0.1,"development",3.23414327435927,3.28139420215378,0.0472509277945107,3.23424937257514,3.28102865536165,0.0467792827865154
"TPL_001","TPL_001_EVENT_006","TPL_001_RUN_012","TPL_001_STATE_004","Burst","none","burst_in_hfs","TPL_001_PULSE_004",42.2092920712976,42.8010127079747,0.591720636677074,42.249477652562,42.7665042080916,0.517026555529654,87,95,9,8,4.55838606273755,"weak",9,"BQ_061",FALSE,"none","first_to_last_pulse_exposed_spike","PHENO_0004","clear_burst_like",4.3526031282531,"eligible","S0015",1,0.1,"development",4.22092920712976,4.28010127079747,0.0591720636677074,4.2249477652562,4.27665042080916,0.0517026555529654
"TPL_001","TPL_001_EVENT_007","TPL_001_RUN_013","none","Pause","canonical","canonical","none",,,,45.6157773277303,49.0092463815165,3.39346905378625,108,109,2,1,,"none",,"none",FALSE,"TPL_001_REGIME_01","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0015",1,0.1,"development",,,,4.56157773277303,4.90092463815165,0.339346905378625
"TPL_001","TPL_001_EVENT_008","TPL_001_RUN_014","TPL_001_STATE_005","Burst","none","burst_in_hfs","TPL_001_PULSE_005",50.6787325683884,51.0065537040109,0.327821135622521,50.7372738245077,50.9479075112092,0.210633686701435,116,120,5,4,5.95542324427515,"moderate",5,"BQ_062",FALSE,"none","first_to_last_pulse_exposed_spike","PHENO_0005","ambiguous_burst_like",3.55303365881386,"exclude_primary_include_sensitivity","S0015",1,0.1,"development",5.06787325683884,5.10065537040109,0.0327821135622521,5.07372738245077,5.09479075112092,0.0210633686701435
"TPL_001","TPL_001_EVENT_001","TPL_001_RUN_002","none","Pause","canonical","canonical","none",,,,11.8933117726839,16.731096522745,4.83778475006111,15,16,2,1,,"none",,"none",FALSE,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0056",4,0.4,"development",,,,4.75732470907355,6.69243860909799,1.93511390002444
"TPL_001","TPL_001_EVENT_002","TPL_001_RUN_004","none","Burst","none","standalone_burst","TPL_001_PULSE_001",17.5290901892233,18.1322660146006,0.603175825377225,17.6424763036408,18.0571513647342,0.414675061093327,17,20,4,3,5.35743358568288,"weak",4,"BQ_001",TRUE,"none","first_to_last_pulse_exposed_spike","PHENO_0001","no_burst_evidence",3.26831591021827,"eligible","S0056",4,0.4,"development",7.01163607568934,7.25290640584023,0.24127033015089,7.05699052145633,7.22286054589366,0.165870024437331
"TPL_001","TPL_001_EVENT_003","TPL_001_RUN_006","none","Burst","none","standalone_burst","TPL_001_PULSE_002",18.5904656544338,19.1103297313841,0.519864076950302,18.619507071622,19.0748320227762,0.455324951154239,21,25,5,4,6.0342286353698,"moderate",5,"BQ_002",FALSE,"none","first_to_last_pulse_exposed_spike","PHENO_0002","no_burst_evidence",2.87531291158691,"eligible","S0056",4,0.4,"development",7.4361862617735,7.64413189255362,0.207945630780121,7.44780282864879,7.62993280911049,0.182129980461696
"TPL_001","TPL_001_EVENT_004","TPL_001_RUN_008","none","Pause","complex_multi_gap","complex_multi_gap","none",,,,25.9081149121717,32.3424937257514,6.43437881357968,41,44,4,3,,"none",,"none",FALSE,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0056",4,0.4,"development",,,,10.3632459648687,12.9369974903005,2.57375152543187
"TPL_001","TPL_001_EVENT_005","TPL_001_RUN_009","none","Burst","none","standalone_burst","TPL_001_PULSE_003",32.3414327435927,32.8139420215378,0.472509277945107,32.3424937257514,32.8102865536165,0.467792827865154,44,49,6,5,10.2702716542408,"strong",6,"BQ_003",FALSE,"none","first_to_last_pulse_exposed_spike","PHENO_0003","ambiguous_burst_like",3.53191099003382,"exclude_primary_include_sensitivity","S0056",4,0.4,"development",12.9365730974371,13.1255768086151,0.189003711178043,12.9369974903005,13.1241146214466,0.187117131146061
"TPL_001","TPL_001_EVENT_006","TPL_001_RUN_012","TPL_001_STATE_004","Burst","none","burst_in_hfs","TPL_001_PULSE_004",42.2092920712976,42.8010127079747,0.591720636677074,42.249477652562,42.7665042080916,0.517026555529654,87,95,9,8,4.55838606273755,"weak",9,"BQ_061",FALSE,"none","first_to_last_pulse_exposed_spike","PHENO_0004","clear_burst_like",4.3526031282531,"eligible","S0056",4,0.4,"development",16.8837168285191,17.1204050831899,0.23668825467083,16.8997910610248,17.1066016832367,0.206810622211862
"TPL_001","TPL_001_EVENT_007","TPL_001_RUN_013","none","Pause","canonical","canonical","none",,,,45.6157773277303,49.0092463815165,3.39346905378625,108,109,2,1,,"none",,"none",FALSE,"TPL_001_REGIME_01","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0056",4,0.4,"development",,,,18.2463109310921,19.6036985526066,1.3573876215145
"TPL_001","TPL_001_EVENT_008","TPL_001_RUN_014","TPL_001_STATE_005","Burst","none","burst_in_hfs","TPL_001_PULSE_005",50.6787325683884,51.0065537040109,0.327821135622521,50.7372738245077,50.9479075112092,0.210633686701435,116,120,5,4,5.95542324427515,"moderate",5,"BQ_062",FALSE,"none","first_to_last_pulse_exposed_spike","PHENO_0005","ambiguous_burst_like",3.55303365881386,"exclude_primary_include_sensitivity","S0056",4,0.4,"development",20.2714930273554,20.4026214816044,0.131128454249009,20.2949095298031,20.3791630044837,0.084253474680574
"TPL_001","TPL_001_EVENT_001","TPL_001_RUN_002","none","Pause","canonical","canonical","none",,,,11.8933117726839,16.731096522745,4.83778475006111,15,16,2,1,,"none",,"none",FALSE,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0007",10,1,"development",,,,11.8933117726839,16.731096522745,4.83778475006111
