"Sample_ID","Template_ID","Scale_Factor","B_s","Workbook_Batch","Split","Template_Duration_u","Recording_Duration_s"
"S0015","TPL_001",1,0.1,"Batch_C","development",55.4215189590178,5.54215189590178
"S0056","TPL_001",4,0.4,"Batch_A","development",55.4215189590178,22.1686075836071
"S0007","TPL_001",10,1,"Batch_B","development",55.4215189590178,55.4215189590178
"S0030","TPL_002",1,0.1,"Batch_C","development",52.1441900267807,5.21441900267807
"S0006","TPL_002",4,0.4,"Batch_A","development",52.1441900267807,20.8576760107123
"S0044","TPL_002",10,1,"Batch_B","development",52.1441900267807,52.1441900267807
"S0058","TPL_003",1,0.1,"Batch_C","development",49.3540147198661,4.93540147198661
"S0049","TPL_003",4,0.4,"Batch_A","development",49.3540147198661,19.7416058879464
"S0040","TPL_003",10,1,"Batch_B","development",49.3540147198661,49.3540147198661
"S0011","TPL_004",1,0.1,"Batch_C","development",48.2227308084958,4.82227308084958
"S0014","TPL_004",4,0.4,"Batch_A","development",48.2227308084958,19.2890923233983
"S0055","TPL_004",10,1,"Batch_B","development",48.2227308084958,48.2227308084958
"S0028","TPL_005",1,0.1,"Batch_C","development",52.2608676450793,5.22608676450793
"S0052","TPL_005",4,0.4,"Batch_A","development",52.2608676450793,20.9043470580317
"S0009","TPL_005",10,1,"Batch_B","development",52.2608676450793,52.2608676450793
"S0045","TPL_006",1,0.1,"Batch_C","holdout",57.7310688490181,5.77310688490181
"S0035","TPL_006",4,0.4,"Batch_A","holdout",57.7310688490181,23.0924275396072
"S0004","TPL_006",10,1,"Batch_B","holdout",57.7310688490181,57.7310688490181
"S0059","TPL_007",1,0.1,"Batch_C","holdout",52.4580185519729,5.24580185519729
"S0041","TPL_007",4,0.4,"Batch_A","holdout",52.4580185519729,20.9832074207892
"S0043","TPL_007",10,1,"Batch_B","holdout",52.4580185519729,52.4580185519729
"S0026","TPL_008",1,0.1,"Batch_C","holdout",54.7855123012692,5.47855123012692
"S0001","TPL_008",4,0.4,"Batch_A","holdout",54.7855123012692,21.9142049205077
"S0054","TPL_008",10,1,"Batch_B","holdout",54.7855123012692,54.7855123012692
"S0048","TPL_009",1,0.1,"Batch_C","holdout",49.3673572026096,4.93673572026096
"S0039","TPL_009",4,0.4,"Batch_A","holdout",49.3673572026096,19.7469428810438
"S0008","TPL_009",10,1,"Batch_B","holdout",49.3673572026096,49.3673572026096
"S0036","TPL_010",1,0.1,"Batch_C","holdout",62.5336348162244,6.25336348162245
"S0027","TPL_010",4,0.4,"Batch_A","holdout",62.5336348162244,25.0134539264898
"S0002","TPL_010",10,1,"Batch_B","holdout",62.5336348162244,62.5336348162244
"S0050","TPL_011",1,0.1,"Batch_C","holdout",51.5771671090267,5.15771671090267
"S0034","TPL_011",4,0.4,"Batch_A","holdout",51.5771671090267,20.6308668436107
"S0046","TPL_011",10,1,"Batch_B","holdout",51.5771671090267,51.5771671090267
"S0016","TPL_012",1,0.1,"Batch_C","holdout",53.9041162313044,5.39041162313044
"S0031","TPL_012",4,0.4,"Batch_A","holdout",53.9041162313044,21.5616464925218
"S0057","TPL_012",10,1,"Batch_B","holdout",53.9041162313044,53.9041162313044
"S0012","TPL_013",1,0.1,"Batch_C","holdout",48.7699013975907,4.87699013975907
"S0022","TPL_013",4,0.4,"Batch_A","holdout",48.7699013975907,19.5079605590363
"S0053","TPL_013",10,1,"Batch_B","holdout",48.7699013975907,48.7699013975907
"S0033","TPL_014",1,0.1,"Batch_C","holdout",49.0982490230745,4.90982490230745
"S0051","TPL_014",4,0.4,"Batch_A","holdout",49.0982490230745,19.6392996092298
"S0019","TPL_014",10,1,"Batch_B","holdout",49.0982490230745,49.0982490230745
"S0013","TPL_015",1,0.1,"Batch_C","holdout",43.6001458850028,4.36001458850028
"S0038","TPL_015",4,0.4,"Batch_A","holdout",43.6001458850028,17.4400583540011
"S0018","TPL_015",10,1,"Batch_B","holdout",43.6001458850028,43.6001458850028
"S0010","TPL_016",1,0.1,"Batch_C","holdout",50.4055542297097,5.04055542297098
"S0024","TPL_016",4,0.4,"Batch_A","holdout",50.4055542297097,20.1622216918839
"S0060","TPL_016",10,1,"Batch_B","holdout",50.4055542297097,50.4055542297097
"S0005","TPL_017",1,0.1,"Batch_C","holdout",38.8445189004995,3.88445189004995
"S0042","TPL_017",4,0.4,"Batch_A","holdout",38.8445189004995,15.5378075601998
"S0029","TPL_017",10,1,"Batch_B","holdout",38.8445189004995,38.8445189004995
"S0023","TPL_018",1,0.1,"Batch_C","holdout",42.6530544570615,4.26530544570615
"S0017","TPL_018",4,0.4,"Batch_A","holdout",42.6530544570615,17.0612217828246
"S0032","TPL_018",10,1,"Batch_B","holdout",42.6530544570615,42.6530544570615
"S0047","TPL_019",1,0.1,"Batch_C","holdout",49.823676394752,4.9823676394752
"S0037","TPL_019",4,0.4,"Batch_A","holdout",49.823676394752,19.9294705579008
"S0025","TPL_019",10,1,"Batch_B","holdout",49.823676394752,49.823676394752
"S0021","TPL_020",1,0.1,"Batch_C","holdout",40.4204263956155,4.04204263956155
"S0020","TPL_020",4,0.4,"Batch_A","holdout",40.4204263956155,16.1681705582462
"S0003","TPL_020",10,1,"Batch_B","holdout",40.4204263956155,40.4204263956155
