File,SHA256,Purpose
generate_benchmark_spike_trains.R,e5a3319b6c5c08506dd5a38379c98a343a656b69f2fca7fe8fe131345c92828e,source_and_verification
R/00_parameters.R,e56b456671b5a58a790d267f6e5bcb0228386736b382349cf6cd6f7928871d2b,source_and_verification
R/10_point_process.R,bc0f3e37a9c3bffe74029dd07b34a83d754d9df54bb145950bad7e61eb107006,source_and_verification
R/20_template_generation.R,6296e4916a900ecc09d57fe23ab2d8388a00027dfded4c105af976a34657a5cc,source_and_verification
R/30_phenotype_audit.R,a74896078c8cf040f350de5217e192c6dd756566ca1df057af4b5dd256028929,source_and_verification
R/40_exports_and_figures.R,8ad1c3b707620d4233450613801e215d77b40705d44983c864f4f6273a24c364,source_and_verification
tests/verify_v2_3.R,a99f65d5e2bee937f595e84a1e4870ded6e390704b09027f0c3a1b33ab89f489,source_and_verification
run_reproduction.sh,a7b40f4b1157754b1e8d3e067a109bda19dfcf94c2bdd558411f18a4b00cfc73,source_and_verification
README.md,eaad4285f3d8e4089ce212052610947a45aa5b0cbc13824de89be74784ec5093,documentation
DESIGN_SPECIFICATION.md,861032e97e9d32468d24331affda1eb5caf73dae693de63d1887fb0164cfda2b,documentation
METHODS_FOR_MANUSCRIPT.md,1f8a695c6aa9e9f78661e13e62baf1098b2eb16da17284a83de26e68e0b940a7,documentation
DATA_DICTIONARY.md,e0542bdff3ef1bf2c4e1abd198c55fd061557932a5a97a33680ce47455201c2e,documentation
SCORING_PROTOCOL.md,77ab33dc36e91219260c627a3b2779a553bad30fd0b255a2f120ef20d349a252,documentation
AUDIT_RESPONSE_AND_REMEDIATION.md,96f8eacf6e8b2634ac74bd93cc32040626220004e2c1cc123b41882ebf1e6627,documentation
CHANGELOG.md,ac289810eb0b66131dcf3244a67fc6d01018910bbfbe25d25e0d3feb783e0ee2,documentation
V2_3_RELEASE_SUMMARY.md,e85bcdc6dba7a84bfbc8371911d2dce7e2952beba8c52ddc294d74b00ffb9173,documentation
