"Calibration_Row","Calibration_Mode","Episode_ID","Sample_ID","Template_ID","Scale_Factor","B_s","Start_s","End_s","Duration_s"
1,"Burst","TPL_001_EVENT_003","S0015","TPL_001",1,0.1,3.14356865764681,3.20471790575168,0.0611492481048682
2,"Burst","TPL_001_EVENT_004","S0015","TPL_001",1,0.1,3.26704756078963,3.33696291170062,0.069915350910992
3,"Burst","TPL_001_EVENT_008","S0015","TPL_001",1,0.1,6.7160719408907,6.78917296950478,0.0731010286140773
4,"Burst","TPL_002_EVENT_001","S0030","TPL_002",1,0.1,1.34857451056625,1.41767972691845,0.0691052163522004
5,"Burst","TPL_002_EVENT_002","S0030","TPL_002",1,0.1,1.98597725891105,2.03048842182746,0.0445111629164099
6,"Burst","TPL_002_EVENT_003","S0030","TPL_002",1,0.1,2.98793359893199,3.02298814668297,0.0350545477509794
7,"Burst","TPL_002_EVENT_004","S0030","TPL_002",1,0.1,5.12165886370228,5.19804948037409,0.0763906166718037
8,"Burst","TPL_003_EVENT_001","S0058","TPL_003",1,0.1,0.332782595521548,0.348641015853187,0.0158584203316394
9,"Burst","TPL_004_EVENT_001","S0011","TPL_004",1,0.1,1.03329083234382,1.08175352791057,0.0484626955667505
10,"Burst","TPL_005_EVENT_003","S0028","TPL_005",1,0.1,2.97588044585466,2.99977675671335,0.023896310858688
11,"Pause","TPL_001_EVENT_001","S0015","TPL_001",1,0.1,1.28257610398382,1.59670527160205,0.31412916761823
12,"Pause","TPL_001_EVENT_002","S0015","TPL_001",1,0.1,2.3418889242705,2.86735463044755,0.525465706177056
13,"Pause","TPL_001_EVENT_007","S0015","TPL_001",1,0.1,5.90914650309211,6.2628301259953,0.353683622903191
14,"Pause","TPL_002_EVENT_006","S0030","TPL_002",1,0.1,5.60505425838668,6.02724390516903,0.422189646782353
15,"Pause","TPL_002_EVENT_007","S0030","TPL_002",1,0.1,6.69755699529193,7.01331185742627,0.315754862134345
16,"Pause","TPL_003_EVENT_002","S0058","TPL_003",1,0.1,0.694657580329266,1.11081357124557,0.416155990916304
17,"Pause","TPL_003_EVENT_006","S0058","TPL_003",1,0.1,3.65507865861703,3.94159699994318,0.286518341326155
18,"Pause","TPL_003_EVENT_008","S0058","TPL_003",1,0.1,6.18381688220783,6.72476680411383,0.540949921905994
19,"Pause","TPL_004_EVENT_006","S0011","TPL_004",1,0.1,4.66489883476452,5.0740819259086,0.409183091144077
20,"Pause","TPL_004_EVENT_007","S0011","TPL_004",1,0.1,6.20180498014404,6.60965873439531,0.407853754251264
21,"Tonic","TPL_001_STATE_001","S0015","TPL_001",1,0.1,0,1.28257610398382,1.28257610398382
22,"Tonic","TPL_001_STATE_002","S0015","TPL_001",1,0.1,1.65218306627834,2.3418889242705,0.689705857992156
23,"Tonic","TPL_002_STATE_004","S0030","TPL_002",1,0.1,4.14266013678866,4.73130818012021,0.58864804333155
