"Burst_Quota_ID","Template_ID","Split","Burst_Slot","Context","Strength","HFS_Regime","HFS_Rate_Overlap_Stratum","Target_Spikes","Is_Four_Spike_Boundary"
"BQ_001","TPL_001","development","standalone_1","standalone","weak","not_applicable","not_applicable",4,TRUE
"BQ_002","TPL_001","development","standalone_2","standalone","moderate","not_applicable","not_applicable",6,FALSE
"BQ_003","TPL_001","development","standalone_3","standalone","strong","not_applicable","not_applicable",7,FALSE
"BQ_004","TPL_002","development","standalone_1","standalone","weak","not_applicable","not_applicable",5,FALSE
"BQ_005","TPL_002","development","standalone_2","standalone","moderate","not_applicable","not_applicable",7,FALSE
"BQ_006","TPL_002","development","standalone_3","standalone","strong","not_applicable","not_applicable",8,FALSE
"BQ_007","TPL_003","development","standalone_1","standalone","weak","not_applicable","not_applicable",6,FALSE
"BQ_008","TPL_003","development","standalone_2","standalone","moderate","not_applicable","not_applicable",8,FALSE
"BQ_009","TPL_003","development","standalone_3","standalone","strong","not_applicable","not_applicable",9,FALSE
"BQ_010","TPL_004","development","standalone_1","standalone","weak","not_applicable","not_applicable",7,FALSE
"BQ_011","TPL_004","development","standalone_2","standalone","moderate","not_applicable","not_applicable",9,FALSE
"BQ_012","TPL_004","development","standalone_3","standalone","strong","not_applicable","not_applicable",4,TRUE
"BQ_013","TPL_005","development","standalone_1","standalone","weak","not_applicable","not_applicable",8,FALSE
"BQ_014","TPL_005","development","standalone_2","standalone","moderate","not_applicable","not_applicable",5,FALSE
"BQ_015","TPL_005","development","standalone_3","standalone","strong","not_applicable","not_applicable",5,FALSE
"BQ_016","TPL_006","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",9,FALSE
"BQ_017","TPL_006","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",4,TRUE
"BQ_018","TPL_006","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",6,FALSE
"BQ_019","TPL_007","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",5,FALSE
"BQ_020","TPL_007","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",6,FALSE
"BQ_021","TPL_007","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",7,FALSE
"BQ_022","TPL_008","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",6,FALSE
"BQ_023","TPL_008","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",7,FALSE
"BQ_024","TPL_008","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",8,FALSE
"BQ_025","TPL_009","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",7,FALSE
"BQ_026","TPL_009","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",8,FALSE
"BQ_027","TPL_009","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",9,FALSE
"BQ_028","TPL_010","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",4,TRUE
"BQ_029","TPL_010","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",9,FALSE
"BQ_030","TPL_010","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",5,FALSE
"BQ_031","TPL_011","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",8,FALSE
"BQ_032","TPL_011","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",5,FALSE
"BQ_033","TPL_011","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",6,FALSE
"BQ_034","TPL_012","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",9,FALSE
"BQ_035","TPL_012","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",6,FALSE
"BQ_036","TPL_012","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",7,FALSE
"BQ_037","TPL_013","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",5,FALSE
"BQ_038","TPL_013","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",7,FALSE
"BQ_039","TPL_013","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",8,FALSE
"BQ_040","TPL_014","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",6,FALSE
"BQ_041","TPL_014","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",8,FALSE
"BQ_042","TPL_014","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",4,TRUE
"BQ_043","TPL_015","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",7,FALSE
"BQ_044","TPL_015","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",9,FALSE
"BQ_045","TPL_015","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",9,FALSE
"BQ_046","TPL_016","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",8,FALSE
"BQ_047","TPL_016","holdout","standalone_2","standalone","moderate","not_applicable","not_applicable",5,FALSE
"BQ_048","TPL_016","holdout","standalone_3","standalone","strong","not_applicable","not_applicable",5,FALSE
"BQ_049","TPL_017","holdout","standalone_1","standalone","weak","not_applicable","not_applicable",9,FALSE
