"Template_ID","Component","Subtype","Regularity_Regime","Rate_Overlap_Stratum","Contains_Injected_Burst","Split"
"TPL_001","Tonic","generic_stress","generic_stress","core",FALSE,"development"
"TPL_002","Tonic","generic_stress","generic_stress","boundary",FALSE,"development"
"TPL_003","Tonic","generic_stress","generic_stress","deep",FALSE,"development"
"TPL_004","Tonic","generic_stress","generic_stress","core",FALSE,"development"
"TPL_005","Tonic","generic_stress","generic_stress","boundary",FALSE,"development"
"TPL_006","Tonic","generic_stress","generic_stress","deep",FALSE,"holdout"
"TPL_007","Tonic","generic_stress","generic_stress","core",FALSE,"holdout"
"TPL_008","Tonic","generic_stress","generic_stress","boundary",FALSE,"holdout"
"TPL_009","Tonic","generic_stress","generic_stress","deep",FALSE,"holdout"
"TPL_010","Tonic","generic_stress","generic_stress","core",FALSE,"holdout"
"TPL_011","Tonic","generic_stress","generic_stress","boundary",FALSE,"holdout"
"TPL_012","Tonic","generic_stress","generic_stress","deep",FALSE,"holdout"
"TPL_013","Tonic","generic_stress","generic_stress","core",FALSE,"holdout"
"TPL_014","Tonic","generic_stress","generic_stress","boundary",FALSE,"holdout"
"TPL_015","Tonic","generic_stress","generic_stress","deep",FALSE,"holdout"
"TPL_016","Tonic","generic_stress","generic_stress","core",FALSE,"holdout"
"TPL_017","Tonic","generic_stress","generic_stress","boundary",FALSE,"holdout"
"TPL_018","Tonic","generic_stress","generic_stress","deep",FALSE,"holdout"
"TPL_019","Tonic","generic_stress","generic_stress","core",FALSE,"holdout"
"TPL_020","Tonic","generic_stress","generic_stress","boundary",FALSE,"holdout"
"TPL_001","Tonic","stn_like_empirical","stn_like_empirical","boundary",FALSE,"development"
"TPL_002","Tonic","stn_like_empirical","stn_like_empirical","deep",FALSE,"development"
"TPL_003","Tonic","stn_like_empirical","stn_like_empirical","core",FALSE,"development"
"TPL_004","Tonic","stn_like_empirical","stn_like_empirical","boundary",FALSE,"development"
"TPL_005","Tonic","stn_like_empirical","stn_like_empirical","deep",FALSE,"development"
"TPL_006","Tonic","stn_like_empirical","stn_like_empirical","core",FALSE,"holdout"
"TPL_007","Tonic","stn_like_empirical","stn_like_empirical","boundary",FALSE,"holdout"
"TPL_008","Tonic","stn_like_empirical","stn_like_empirical","deep",FALSE,"holdout"
"TPL_009","Tonic","stn_like_empirical","stn_like_empirical","core",FALSE,"holdout"
"TPL_010","Tonic","stn_like_empirical","stn_like_empirical","boundary",FALSE,"holdout"
"TPL_011","Tonic","stn_like_empirical","stn_like_empirical","deep",FALSE,"holdout"
"TPL_012","Tonic","stn_like_empirical","stn_like_empirical","core",FALSE,"holdout"
"TPL_013","Tonic","stn_like_empirical","stn_like_empirical","boundary",FALSE,"holdout"
"TPL_014","Tonic","stn_like_empirical","stn_like_empirical","deep",FALSE,"holdout"
"TPL_015","Tonic","stn_like_empirical","stn_like_empirical","core",FALSE,"holdout"
"TPL_016","Tonic","stn_like_empirical","stn_like_empirical","boundary",FALSE,"holdout"
"TPL_017","Tonic","stn_like_empirical","stn_like_empirical","deep",FALSE,"holdout"
"TPL_018","Tonic","stn_like_empirical","stn_like_empirical","core",FALSE,"holdout"
"TPL_019","Tonic","stn_like_empirical","stn_like_empirical","boundary",FALSE,"holdout"
"TPL_020","Tonic","stn_like_empirical","stn_like_empirical","deep",FALSE,"holdout"
"TPL_001","Broad_HFS","not_applicable","irregular","deep",FALSE,"development"
"TPL_001","Broad_HFS","not_applicable","regular","core",TRUE,"development"
"TPL_001","Broad_HFS","not_applicable","intermediate","boundary",TRUE,"development"
"TPL_002","Broad_HFS","not_applicable","regular","boundary",FALSE,"development"
"TPL_002","Broad_HFS","not_applicable","irregular","core",TRUE,"development"
"TPL_002","Broad_HFS","not_applicable","intermediate","deep",TRUE,"development"
"TPL_003","Broad_HFS","not_applicable","irregular","boundary",TRUE,"development"
"TPL_003","Broad_HFS","not_applicable","regular","deep",TRUE,"development"
"TPL_003","Broad_HFS","not_applicable","intermediate","core",FALSE,"development"
"TPL_004","Broad_HFS","not_applicable","intermediate","boundary",FALSE,"development"
"TPL_004","Broad_HFS","not_applicable","irregular","deep",TRUE,"development"
