"Template_ID","Split","Standalone_Burst","Burst_in_HFS","Burst_Total","Four_Spike_Burst","Canonical_Pause","Complex_Pause","Contextual_Separator_secondary","Borderline_Gap_secondary","Tonic_generic","Tonic_STN_like","Broad_HFS","Composite_HFS_Regime","Forced_Same_State_Boundary_Separators","Direct_Target_Boundaries","Macro_Order","Template_Duration_u","N_Spikes"
"TPL_001","development",3,2,5,1,2,1,1,1,1,1,3,1,0,10,"tonic_canonical_pause_macro > tonic_complex_pause_macro > contextual_macro > direct_burst_hfs_macro > borderline_gap_only > composite_hfs_pause_hfs_macro",73.7933070268073,152
"TPL_002","development",3,2,5,1,2,0,1,1,1,1,3,0,1,6,"direct_burst_hfs_macro > hfs_overlay_hfs_2 > hfs_overlay_hfs_1 > tonic_only > borderline_gap_only > contextual_macro > canonical_pause_only > tonic_canonical_pause_macro",70.1331185742627,174
"TPL_003","development",3,2,5,1,2,1,1,1,1,1,3,1,0,8,"composite_hfs_pause_hfs_macro > contextual_macro > tonic_canonical_pause_macro > direct_burst_hfs_macro > tonic_complex_pause_macro > borderline_gap_only",69.057993639592,164
"TPL_004","development",3,2,5,1,2,0,1,1,1,1,3,0,0,8,"direct_burst_hfs_macro > hfs_overlay_hfs_2 > borderline_gap_only > hfs_overlay_hfs_1 > contextual_macro > tonic_canonical_pause_macro > tonic_only > canonical_pause_only",66.0965873439531,155
"TPL_005","development",3,2,5,1,2,0,1,1,1,1,3,0,0,7,"borderline_gap_only > hfs_overlay_hfs_2 > canonical_pause_only > tonic_only > hfs_overlay_hfs_1 > tonic_canonical_pause_macro > direct_burst_hfs_macro > contextual_macro",65.5726987798982,159
"TPL_006","holdout",3,2,5,1,2,1,1,1,1,1,3,1,0,10,"tonic_complex_pause_macro > tonic_canonical_pause_macro > borderline_gap_only > direct_burst_hfs_macro > contextual_macro > composite_hfs_pause_hfs_macro",71.885149173853,174
"TPL_007","holdout",3,2,5,0,2,0,1,1,1,1,3,0,0,6,"tonic_only > hfs_overlay_hfs_1 > direct_burst_hfs_macro > tonic_canonical_pause_macro > canonical_pause_only > borderline_gap_only > contextual_macro > hfs_overlay_hfs_2",64.2233646952107,153
"TPL_008","holdout",3,2,5,1,2,1,1,1,1,1,3,1,0,10,"tonic_canonical_pause_macro > borderline_gap_only > contextual_macro > composite_hfs_pause_hfs_macro > tonic_complex_pause_macro > direct_burst_hfs_macro",70.4801727463278,171
"TPL_009","holdout",3,2,5,0,2,0,1,1,1,1,3,0,0,8,"borderline_gap_only > hfs_overlay_hfs_2 > tonic_canonical_pause_macro > direct_burst_hfs_macro > contextual_macro > canonical_pause_only > tonic_only > hfs_overlay_hfs_1",63.9867592784231,172
"TPL_010","holdout",3,2,5,1,2,1,1,1,1,1,3,1,0,9,"tonic_canonical_pause_macro > contextual_macro > tonic_complex_pause_macro > direct_burst_hfs_macro > borderline_gap_only > composite_hfs_pause_hfs_macro",75.8046840275083,160
"TPL_011","holdout",3,2,5,0,2,0,1,1,1,1,3,0,1,6,"canonical_pause_only > hfs_overlay_hfs_1 > hfs_overlay_hfs_2 > tonic_only > borderline_gap_only > direct_burst_hfs_macro > tonic_canonical_pause_macro > contextual_macro",63.0132920223269,166
"TPL_012","holdout",3,2,5,1,2,1,1,1,1,1,3,1,0,9,"tonic_complex_pause_macro > tonic_canonical_pause_macro > direct_burst_hfs_macro > contextual_macro > composite_hfs_pause_hfs_macro > borderline_gap_only",69.9645246639525,166
"TPL_013","holdout",3,2,5,0,2,0,1,1,1,1,3,0,0,6,"contextual_macro > canonical_pause_only > tonic_canonical_pause_macro > hfs_overlay_hfs_2 > direct_burst_hfs_macro > tonic_only > borderline_gap_only > hfs_overlay_hfs_1",68.4008193390988,154
"TPL_014","holdout",3,2,5,1,2,1,1,1,1,1,3,1,0,9,"composite_hfs_pause_hfs_macro > borderline_gap_only > tonic_canonical_pause_macro > tonic_complex_pause_macro > direct_burst_hfs_macro > contextual_macro",69.088119859062,161
"TPL_015","holdout",3,2,5,0,2,0,1,1,1,1,3,0,1,6,"hfs_overlay_hfs_1 > direct_burst_hfs_macro > hfs_overlay_hfs_2 > tonic_only > borderline_gap_only > tonic_canonical_pause_macro > canonical_pause_only > contextual_macro",61.3526010763711,168
"TPL_016","holdout",3,2,5,1,2,1,1,1,1,1,3,1,0,11,"contextual_macro > direct_burst_hfs_macro > tonic_complex_pause_macro > borderline_gap_only > tonic_canonical_pause_macro > composite_hfs_pause_hfs_macro",64.8699245232805,140
"TPL_017","holdout",3,2,5,0,2,0,1,1,1,1,3,0,1,5,"tonic_only > contextual_macro > canonical_pause_only > borderline_gap_only > hfs_overlay_hfs_1 > tonic_canonical_pause_macro > direct_burst_hfs_macro > hfs_overlay_hfs_2",64.1052499106005,170
"TPL_018","holdout",3,2,5,1,2,1,1,1,1,1,3,1,0,10,"direct_burst_hfs_macro > tonic_canonical_pause_macro > contextual_macro > tonic_complex_pause_macro > composite_hfs_pause_hfs_macro > borderline_gap_only",62.9956244897971,147
"TPL_019","holdout",3,2,5,0,2,0,1,1,1,1,3,0,0,6,"direct_burst_hfs_macro > borderline_gap_only > hfs_overlay_hfs_1 > tonic_canonical_pause_macro > canonical_pause_only > tonic_only > hfs_overlay_hfs_2 > contextual_macro",64.1950867917652,152
"TPL_020","holdout",3,2,5,0,2,1,1,1,1,1,3,1,0,8,"contextual_macro > borderline_gap_only > tonic_complex_pause_macro > direct_burst_hfs_macro > tonic_canonical_pause_macro > composite_hfs_pause_hfs_macro",64.4031889213139,152
