"Split","Context","Strength","N_Realized_Spikes","Phenotype","Freq"
"development","burst_in_hfs","moderate","4","ambiguous_burst_like",0
"holdout","burst_in_hfs","moderate","4","ambiguous_burst_like",0
"development","standalone_burst","moderate","4","ambiguous_burst_like",0
"holdout","standalone_burst","moderate","4","ambiguous_burst_like",0
"development","burst_in_hfs","strong","4","ambiguous_burst_like",0
"holdout","burst_in_hfs","strong","4","ambiguous_burst_like",0
"development","standalone_burst","strong","4","ambiguous_burst_like",0
"holdout","standalone_burst","strong","4","ambiguous_burst_like",0
"development","burst_in_hfs","weak","4","ambiguous_burst_like",0
"holdout","burst_in_hfs","weak","4","ambiguous_burst_like",1
"development","standalone_burst","weak","4","ambiguous_burst_like",0
"holdout","standalone_burst","weak","4","ambiguous_burst_like",0
"development","burst_in_hfs","moderate","5","ambiguous_burst_like",0
"holdout","burst_in_hfs","moderate","5","ambiguous_burst_like",0
"development","standalone_burst","moderate","5","ambiguous_burst_like",0
"holdout","standalone_burst","moderate","5","ambiguous_burst_like",1
"development","burst_in_hfs","strong","5","ambiguous_burst_like",0
"holdout","burst_in_hfs","strong","5","ambiguous_burst_like",0
"development","standalone_burst","strong","5","ambiguous_burst_like",0
"holdout","standalone_burst","strong","5","ambiguous_burst_like",0
"development","burst_in_hfs","weak","5","ambiguous_burst_like",0
"holdout","burst_in_hfs","weak","5","ambiguous_burst_like",1
"development","standalone_burst","weak","5","ambiguous_burst_like",0
"holdout","standalone_burst","weak","5","ambiguous_burst_like",0
"development","burst_in_hfs","moderate","6","ambiguous_burst_like",0
"holdout","burst_in_hfs","moderate","6","ambiguous_burst_like",0
"development","standalone_burst","moderate","6","ambiguous_burst_like",0
"holdout","standalone_burst","moderate","6","ambiguous_burst_like",1
"development","burst_in_hfs","strong","6","ambiguous_burst_like",0
"holdout","burst_in_hfs","strong","6","ambiguous_burst_like",0
"development","standalone_burst","strong","6","ambiguous_burst_like",0
"holdout","standalone_burst","strong","6","ambiguous_burst_like",0
"development","burst_in_hfs","weak","6","ambiguous_burst_like",0
"holdout","burst_in_hfs","weak","6","ambiguous_burst_like",0
"development","standalone_burst","weak","6","ambiguous_burst_like",0
"holdout","standalone_burst","weak","6","ambiguous_burst_like",0
"development","burst_in_hfs","moderate","7","ambiguous_burst_like",0
"holdout","burst_in_hfs","moderate","7","ambiguous_burst_like",0
"development","standalone_burst","moderate","7","ambiguous_burst_like",0
"holdout","standalone_burst","moderate","7","ambiguous_burst_like",0
"development","burst_in_hfs","strong","7","ambiguous_burst_like",0
"holdout","burst_in_hfs","strong","7","ambiguous_burst_like",0
"development","standalone_burst","strong","7","ambiguous_burst_like",0
"holdout","standalone_burst","strong","7","ambiguous_burst_like",0
"development","burst_in_hfs","weak","7","ambiguous_burst_like",0
"holdout","burst_in_hfs","weak","7","ambiguous_burst_like",0
"development","standalone_burst","weak","7","ambiguous_burst_like",0
"holdout","standalone_burst","weak","7","ambiguous_burst_like",0
"development","burst_in_hfs","moderate","8","ambiguous_burst_like",0
"holdout","burst_in_hfs","moderate","8","ambiguous_burst_like",1
"development","standalone_burst","moderate","8","ambiguous_burst_like",0
"holdout","standalone_burst","moderate","8","ambiguous_burst_like",0
"development","burst_in_hfs","strong","8","ambiguous_burst_like",0
"holdout","burst_in_hfs","strong","8","ambiguous_burst_like",0
"development","standalone_burst","strong","8","ambiguous_burst_like",0
"holdout","standalone_burst","strong","8","ambiguous_burst_like",0
"development","burst_in_hfs","weak","8","ambiguous_burst_like",0
"holdout","burst_in_hfs","weak","8","ambiguous_burst_like",0
"development","standalone_burst","weak","8","ambiguous_burst_like",0
"holdout","standalone_burst","weak","8","ambiguous_burst_like",0
"development","burst_in_hfs","moderate","9","ambiguous_burst_like",0
"holdout","burst_in_hfs","moderate","9","ambiguous_burst_like",0
"development","standalone_burst","moderate","9","ambiguous_burst_like",0
"holdout","standalone_burst","moderate","9","ambiguous_burst_like",0
"development","burst_in_hfs","strong","9","ambiguous_burst_like",0
"holdout","burst_in_hfs","strong","9","ambiguous_burst_like",0
"development","standalone_burst","strong","9","ambiguous_burst_like",0
"holdout","standalone_burst","strong","9","ambiguous_burst_like",0
"development","burst_in_hfs","weak","9","ambiguous_burst_like",0
"holdout","burst_in_hfs","weak","9","ambiguous_burst_like",0
"development","standalone_burst","weak","9","ambiguous_burst_like",0
"holdout","standalone_burst","weak","9","ambiguous_burst_like",0
"development","burst_in_hfs","moderate","4","clear_burst_like",1
"holdout","burst_in_hfs","moderate","4","clear_burst_like",1
"development","standalone_burst","moderate","4","clear_burst_like",0
"holdout","standalone_burst","moderate","4","clear_burst_like",2
"development","burst_in_hfs","strong","4","clear_burst_like",1
"holdout","burst_in_hfs","strong","4","clear_burst_like",1
"development","standalone_burst","strong","4","clear_burst_like",1
"holdout","standalone_burst","strong","4","clear_burst_like",1
"development","burst_in_hfs","weak","4","clear_burst_like",1
"holdout","burst_in_hfs","weak","4","clear_burst_like",0
"development","standalone_burst","weak","4","clear_burst_like",1
"holdout","standalone_burst","weak","4","clear_burst_like",1
"development","burst_in_hfs","moderate","5","clear_burst_like",1
"holdout","burst_in_hfs","moderate","5","clear_burst_like",1
"development","standalone_burst","moderate","5","clear_burst_like",1
"holdout","standalone_burst","moderate","5","clear_burst_like",1
"development","burst_in_hfs","strong","5","clear_burst_like",1
"holdout","burst_in_hfs","strong","5","clear_burst_like",1
"development","standalone_burst","strong","5","clear_burst_like",1
"holdout","standalone_burst","strong","5","clear_burst_like",2
"development","burst_in_hfs","weak","5","clear_burst_like",0
"holdout","burst_in_hfs","weak","5","clear_burst_like",1
"development","standalone_burst","weak","5","clear_burst_like",1
"holdout","standalone_burst","weak","5","clear_burst_like",3
"development","burst_in_hfs","moderate","6","clear_burst_like",0
"holdout","burst_in_hfs","moderate","6","clear_burst_like",1
"development","standalone_burst","moderate","6","clear_burst_like",1
"holdout","standalone_burst","moderate","6","clear_burst_like",2
"development","burst_in_hfs","strong","6","clear_burst_like",0
"holdout","burst_in_hfs","strong","6","clear_burst_like",2
"development","standalone_burst","strong","6","clear_burst_like",0
"holdout","standalone_burst","strong","6","clear_burst_like",3
"development","burst_in_hfs","weak","6","clear_burst_like",0
"holdout","burst_in_hfs","weak","6","clear_burst_like",2
"development","standalone_burst","weak","6","clear_burst_like",1
"holdout","standalone_burst","weak","6","clear_burst_like",3
"development","burst_in_hfs","moderate","7","clear_burst_like",0
"holdout","burst_in_hfs","moderate","7","clear_burst_like",2
"development","standalone_burst","moderate","7","clear_burst_like",1
"holdout","standalone_burst","moderate","7","clear_burst_like",3
"development","burst_in_hfs","strong","7","clear_burst_like",0
"holdout","burst_in_hfs","strong","7","clear_burst_like",2
"development","standalone_burst","strong","7","clear_burst_like",1
"holdout","standalone_burst","strong","7","clear_burst_like",3
"development","burst_in_hfs","weak","7","clear_burst_like",1
"holdout","burst_in_hfs","weak","7","clear_burst_like",2
"development","standalone_burst","weak","7","clear_burst_like",1
"holdout","standalone_burst","weak","7","clear_burst_like",3
"development","burst_in_hfs","moderate","8","clear_burst_like",1
"holdout","burst_in_hfs","moderate","8","clear_burst_like",1
"development","standalone_burst","moderate","8","clear_burst_like",1
"holdout","standalone_burst","moderate","8","clear_burst_like",3
"development","burst_in_hfs","strong","8","clear_burst_like",0
"holdout","burst_in_hfs","strong","8","clear_burst_like",2
"development","standalone_burst","strong","8","clear_burst_like",1
"holdout","standalone_burst","strong","8","clear_burst_like",3
"development","burst_in_hfs","weak","8","clear_burst_like",1
"holdout","burst_in_hfs","weak","8","clear_burst_like",1
"development","standalone_burst","weak","8","clear_burst_like",1
"holdout","standalone_burst","weak","8","clear_burst_like",2
"development","burst_in_hfs","moderate","9","clear_burst_like",1
"holdout","burst_in_hfs","moderate","9","clear_burst_like",2
"development","standalone_burst","moderate","9","clear_burst_like",1
"holdout","standalone_burst","moderate","9","clear_burst_like",2
"development","burst_in_hfs","strong","9","clear_burst_like",1
"holdout","burst_in_hfs","strong","9","clear_burst_like",2
"development","standalone_burst","strong","9","clear_burst_like",1
"holdout","standalone_burst","strong","9","clear_burst_like",3
"development","burst_in_hfs","weak","9","clear_burst_like",0
"holdout","burst_in_hfs","weak","9","clear_burst_like",2
"development","standalone_burst","weak","9","clear_burst_like",0
"holdout","standalone_burst","weak","9","clear_burst_like",3
"development","burst_in_hfs","moderate","4","no_burst_evidence",0
"holdout","burst_in_hfs","moderate","4","no_burst_evidence",0
"development","standalone_burst","moderate","4","no_burst_evidence",0
"holdout","standalone_burst","moderate","4","no_burst_evidence",0
"development","burst_in_hfs","strong","4","no_burst_evidence",0
"holdout","burst_in_hfs","strong","4","no_burst_evidence",0
"development","standalone_burst","strong","4","no_burst_evidence",0
"holdout","standalone_burst","strong","4","no_burst_evidence",0
"development","burst_in_hfs","weak","4","no_burst_evidence",0
"holdout","burst_in_hfs","weak","4","no_burst_evidence",0
"development","standalone_burst","weak","4","no_burst_evidence",0
"holdout","standalone_burst","weak","4","no_burst_evidence",0
"development","burst_in_hfs","moderate","5","no_burst_evidence",0
"holdout","burst_in_hfs","moderate","5","no_burst_evidence",0
"development","standalone_burst","moderate","5","no_burst_evidence",0
"holdout","standalone_burst","moderate","5","no_burst_evidence",0
"development","burst_in_hfs","strong","5","no_burst_evidence",0
"holdout","burst_in_hfs","strong","5","no_burst_evidence",0
"development","standalone_burst","strong","5","no_burst_evidence",0
"holdout","standalone_burst","strong","5","no_burst_evidence",0
"development","burst_in_hfs","weak","5","no_burst_evidence",0
"holdout","burst_in_hfs","weak","5","no_burst_evidence",0
"development","standalone_burst","weak","5","no_burst_evidence",0
"holdout","standalone_burst","weak","5","no_burst_evidence",0
"development","burst_in_hfs","moderate","6","no_burst_evidence",0
"holdout","burst_in_hfs","moderate","6","no_burst_evidence",1
"development","standalone_burst","moderate","6","no_burst_evidence",0
"holdout","standalone_burst","moderate","6","no_burst_evidence",0
"development","burst_in_hfs","strong","6","no_burst_evidence",0
"holdout","burst_in_hfs","strong","6","no_burst_evidence",0
"development","standalone_burst","strong","6","no_burst_evidence",0
"holdout","standalone_burst","strong","6","no_burst_evidence",0
"development","burst_in_hfs","weak","6","no_burst_evidence",0
"holdout","burst_in_hfs","weak","6","no_burst_evidence",0
"development","standalone_burst","weak","6","no_burst_evidence",0
"holdout","standalone_burst","weak","6","no_burst_evidence",0
