"Split","Context","Strength","HFS_Regularity","Phenotype","Freq","Audit_Domain"
"development","burst_in_hfs","moderate","intermediate","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","moderate","intermediate","ambiguous_burst_like",1,"Burst"
"development","standalone_burst","moderate","intermediate","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","moderate","intermediate","ambiguous_burst_like",0,"Burst"
"development","burst_in_hfs","strong","intermediate","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","strong","intermediate","ambiguous_burst_like",0,"Burst"
"development","standalone_burst","strong","intermediate","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","strong","intermediate","ambiguous_burst_like",0,"Burst"
"development","burst_in_hfs","weak","intermediate","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","weak","intermediate","ambiguous_burst_like",1,"Burst"
"development","standalone_burst","weak","intermediate","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","weak","intermediate","ambiguous_burst_like",0,"Burst"
"development","burst_in_hfs","moderate","irregular","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","moderate","irregular","ambiguous_burst_like",0,"Burst"
"development","standalone_burst","moderate","irregular","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","moderate","irregular","ambiguous_burst_like",0,"Burst"
"development","burst_in_hfs","strong","irregular","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","strong","irregular","ambiguous_burst_like",0,"Burst"
"development","standalone_burst","strong","irregular","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","strong","irregular","ambiguous_burst_like",0,"Burst"
"development","burst_in_hfs","weak","irregular","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","weak","irregular","ambiguous_burst_like",0,"Burst"
"development","standalone_burst","weak","irregular","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","weak","irregular","ambiguous_burst_like",0,"Burst"
"development","burst_in_hfs","moderate","not_applicable","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","moderate","not_applicable","ambiguous_burst_like",0,"Burst"
"development","standalone_burst","moderate","not_applicable","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","moderate","not_applicable","ambiguous_burst_like",2,"Burst"
"development","burst_in_hfs","strong","not_applicable","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","strong","not_applicable","ambiguous_burst_like",0,"Burst"
"development","standalone_burst","strong","not_applicable","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","strong","not_applicable","ambiguous_burst_like",0,"Burst"
"development","burst_in_hfs","weak","not_applicable","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","weak","not_applicable","ambiguous_burst_like",0,"Burst"
"development","standalone_burst","weak","not_applicable","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","weak","not_applicable","ambiguous_burst_like",0,"Burst"
"development","burst_in_hfs","moderate","regular","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","moderate","regular","ambiguous_burst_like",0,"Burst"
"development","standalone_burst","moderate","regular","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","moderate","regular","ambiguous_burst_like",0,"Burst"
"development","burst_in_hfs","strong","regular","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","strong","regular","ambiguous_burst_like",0,"Burst"
"development","standalone_burst","strong","regular","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","strong","regular","ambiguous_burst_like",0,"Burst"
"development","burst_in_hfs","weak","regular","ambiguous_burst_like",0,"Burst"
"holdout","burst_in_hfs","weak","regular","ambiguous_burst_like",1,"Burst"
"development","standalone_burst","weak","regular","ambiguous_burst_like",0,"Burst"
"holdout","standalone_burst","weak","regular","ambiguous_burst_like",0,"Burst"
"development","burst_in_hfs","moderate","intermediate","clear_burst_like",1,"Burst"
"holdout","burst_in_hfs","moderate","intermediate","clear_burst_like",3,"Burst"
"development","standalone_burst","moderate","intermediate","clear_burst_like",0,"Burst"
"holdout","standalone_burst","moderate","intermediate","clear_burst_like",0,"Burst"
"development","burst_in_hfs","strong","intermediate","clear_burst_like",1,"Burst"
"holdout","burst_in_hfs","strong","intermediate","clear_burst_like",3,"Burst"
"development","standalone_burst","strong","intermediate","clear_burst_like",0,"Burst"
"holdout","standalone_burst","strong","intermediate","clear_burst_like",0,"Burst"
"development","burst_in_hfs","weak","intermediate","clear_burst_like",1,"Burst"
"holdout","burst_in_hfs","weak","intermediate","clear_burst_like",2,"Burst"
"development","standalone_burst","weak","intermediate","clear_burst_like",0,"Burst"
"holdout","standalone_burst","weak","intermediate","clear_burst_like",0,"Burst"
"development","burst_in_hfs","moderate","irregular","clear_burst_like",1,"Burst"
"holdout","burst_in_hfs","moderate","irregular","clear_burst_like",2,"Burst"
"development","standalone_burst","moderate","irregular","clear_burst_like",0,"Burst"
"holdout","standalone_burst","moderate","irregular","clear_burst_like",0,"Burst"
"development","burst_in_hfs","strong","irregular","clear_burst_like",1,"Burst"
"holdout","burst_in_hfs","strong","irregular","clear_burst_like",4,"Burst"
"development","standalone_burst","strong","irregular","clear_burst_like",0,"Burst"
"holdout","standalone_burst","strong","irregular","clear_burst_like",0,"Burst"
"development","burst_in_hfs","weak","irregular","clear_burst_like",1,"Burst"
"holdout","burst_in_hfs","weak","irregular","clear_burst_like",3,"Burst"
"development","standalone_burst","weak","irregular","clear_burst_like",0,"Burst"
"holdout","standalone_burst","weak","irregular","clear_burst_like",0,"Burst"
