"Template_ID","State_Envelope_ID","Regularity_Regime","HFS_Rate_Overlap_Stratum","Contains_Injected_Burst","Start_Boundary_Observability","End_Boundary_Observability","Start_Boundary_Contrast","End_Boundary_Contrast","Start_Hard_Cut_Reason","End_Hard_Cut_Reason","Composite_HFS_Regime_ID"
"TPL_001","TPL_001_STATE_003","irregular","deep",FALSE,"clear","clear",1.87388900193586,6.60895804943355,"none","none","none"
"TPL_001","TPL_001_STATE_004","regular","core",TRUE,"clear","hard_cut_canonical_pause",3.15883331124797,2.25608034469271,"none","canonical_pause","TPL_001_REGIME_01"
"TPL_001","TPL_001_STATE_005","intermediate","boundary",TRUE,"hard_cut_canonical_pause","recording_edge_unobservable",0.443246625658717,,"canonical_pause","none","TPL_001_REGIME_01"
"TPL_002","TPL_002_STATE_001","regular","boundary",FALSE,"recording_edge_unobservable","ambiguous",,1.27012245694448,"none","none","none"
"TPL_002","TPL_002_STATE_002","irregular","core",TRUE,"clear","clear",3.38949038302501,1.80559859776041,"none","none","none"
"TPL_002","TPL_002_STATE_003","intermediate","deep",TRUE,"no_evidence","ambiguous",1.1195227109906,1.30329698976227,"none","none","none"
"TPL_003","TPL_003_STATE_001","irregular","boundary",TRUE,"recording_edge_unobservable","hard_cut_canonical_pause",,2.92642216839263,"none","canonical_pause","TPL_003_REGIME_01"
"TPL_003","TPL_003_STATE_002","regular","deep",TRUE,"hard_cut_canonical_pause","ambiguous",1.79480456873251,1.49651738250109,"canonical_pause","none","TPL_003_REGIME_01"
"TPL_003","TPL_003_STATE_004","intermediate","core",FALSE,"clear","clear",1.71818537054895,2.12725889026559,"none","none","none"
"TPL_004","TPL_004_STATE_001","intermediate","boundary",FALSE,"recording_edge_unobservable","clear",,2.68753264584797,"none","none","none"
"TPL_004","TPL_004_STATE_002","irregular","deep",TRUE,"clear","clear",4.53877035041677,4.20162859887926,"none","none","none"
"TPL_004","TPL_004_STATE_003","regular","core",TRUE,"clear","clear",3.01052836414854,4.21919420934073,"none","none","none"
"TPL_005","TPL_005_STATE_001","regular","boundary",TRUE,"clear","no_evidence",3.27808692360326,1.14224015527558,"none","none","none"
"TPL_005","TPL_005_STATE_003","intermediate","deep",TRUE,"no_evidence","ambiguous",0.967668415850699,1.4797358364913,"none","none","none"
"TPL_005","TPL_005_STATE_005","irregular","core",FALSE,"clear","ambiguous",2.8866679737077,1.47393968557633,"none","none","none"
"TPL_006","TPL_006_STATE_003","intermediate","core",FALSE,"clear","clear",5.36178607647922,5.02795576149881,"none","none","none"
"TPL_006","TPL_006_STATE_004","irregular","boundary",TRUE,"clear","hard_cut_canonical_pause",3.5087684319786,2.41805800696065,"none","canonical_pause","TPL_006_REGIME_01"
"TPL_006","TPL_006_STATE_005","regular","deep",TRUE,"hard_cut_canonical_pause","recording_edge_unobservable",1.2479712055874,,"canonical_pause","none","TPL_006_REGIME_01"
"TPL_007","TPL_007_STATE_002","intermediate","boundary",TRUE,"clear","clear",1.70148732672041,1.911710347063,"none","none","none"
"TPL_007","TPL_007_STATE_003","regular","core",FALSE,"clear","clear",1.88399039924604,3.49413273864234,"none","none","none"
"TPL_007","TPL_007_STATE_005","irregular","deep",TRUE,"clear","recording_edge_unobservable",2.05288785834237,,"none","none","none"
"TPL_008","TPL_008_STATE_002","intermediate","deep",TRUE,"ambiguous","hard_cut_canonical_pause",1.17607434939438,1.8637988850125,"none","canonical_pause","TPL_008_REGIME_01"
"TPL_008","TPL_008_STATE_003","irregular","core",TRUE,"hard_cut_canonical_pause","clear",2.47440955413018,11.2367947589256,"canonical_pause","none","TPL_008_REGIME_01"
"TPL_008","TPL_008_STATE_005","regular","boundary",FALSE,"clear","ambiguous",6.12555635643343,1.16335862313822,"none","none","none"
"TPL_009","TPL_009_STATE_001","irregular","boundary",TRUE,"ambiguous","clear",1.23896126430193,4.00575394519644,"none","none","none"
"TPL_009","TPL_009_STATE_003","intermediate","core",FALSE,"ambiguous","clear",1.23119183145969,4.58331470424335,"none","none","none"
"TPL_009","TPL_009_STATE_005","regular","deep",TRUE,"clear","recording_edge_unobservable",1.7419746711614,,"none","none","none"
"TPL_010","TPL_010_STATE_003","regular","core",FALSE,"clear","ambiguous",8.18301466401648,1.1694678001574,"none","none","none"
"TPL_010","TPL_010_STATE_004","intermediate","boundary",TRUE,"ambiguous","hard_cut_canonical_pause",1.5214035372494,1.85191394024601,"none","canonical_pause","TPL_010_REGIME_01"
"TPL_010","TPL_010_STATE_005","irregular","deep",TRUE,"hard_cut_canonical_pause","recording_edge_unobservable",2.83441272141392,,"canonical_pause","none","TPL_010_REGIME_01"
"TPL_011","TPL_011_STATE_001","intermediate","deep",TRUE,"clear","ambiguous",4.89405022105477,1.19596234253376,"none","none","none"
"TPL_011","TPL_011_STATE_002","regular","boundary",TRUE,"ambiguous","no_evidence",1.26353097822346,1.13304183215549,"none","none","none"
"TPL_011","TPL_011_STATE_004","irregular","core",FALSE,"clear","clear",2.09838788525532,3.29929211754491,"none","none","none"
"TPL_012","TPL_012_STATE_003","regular","deep",FALSE,"clear","ambiguous",1.71828014240063,1.42293190584289,"none","none","none"
"TPL_012","TPL_012_STATE_004","intermediate","core",TRUE,"no_evidence","hard_cut_canonical_pause",1.0901289713995,2.06467151479192,"none","canonical_pause","TPL_012_REGIME_01"
