"Split","HFS_Regime","Strength","N"
"development","intermediate","moderate",1
"holdout","intermediate","moderate",4
"development","irregular","moderate",1
"holdout","irregular","moderate",3
"development","regular","moderate",2
"holdout","regular","moderate",3
"development","intermediate","strong",1
"holdout","intermediate","strong",3
"development","irregular","strong",1
"holdout","irregular","strong",4
"development","regular","strong",1
"holdout","regular","strong",3
"development","intermediate","weak",1
"holdout","intermediate","weak",3
"development","irregular","weak",1
"holdout","irregular","weak",3
"development","regular","weak",1
"holdout","regular","weak",4
