"Split","Rate_Overlap_Stratum","Regularity","Contains_Injected_Burst","Start_Boundary_Observability","End_Boundary_Observability","Freq","Audit_Domain"
"development","boundary","intermediate","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","boundary","intermediate","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"development","core","intermediate","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","core","intermediate","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"development","deep","intermediate","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","deep","intermediate","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"development","boundary","irregular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","boundary","irregular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"development","core","irregular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","core","irregular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"development","deep","irregular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","deep","irregular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"development","boundary","regular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","boundary","regular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"development","core","regular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","core","regular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"development","deep","regular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","deep","regular","FALSE","ambiguous","ambiguous",0,"Broad_HFS"
"development","boundary","intermediate","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","boundary","intermediate","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"development","core","intermediate","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","core","intermediate","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"development","deep","intermediate","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","deep","intermediate","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"development","boundary","irregular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","boundary","irregular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"development","core","irregular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","core","irregular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"development","deep","irregular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","deep","irregular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"development","boundary","regular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","boundary","regular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"development","core","regular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","core","regular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"development","deep","regular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"holdout","deep","regular","TRUE","ambiguous","ambiguous",0,"Broad_HFS"
"development","boundary","intermediate","FALSE","clear","ambiguous",0,"Broad_HFS"
"holdout","boundary","intermediate","FALSE","clear","ambiguous",0,"Broad_HFS"
"development","core","intermediate","FALSE","clear","ambiguous",0,"Broad_HFS"
"holdout","core","intermediate","FALSE","clear","ambiguous",0,"Broad_HFS"
"development","deep","intermediate","FALSE","clear","ambiguous",0,"Broad_HFS"
"holdout","deep","intermediate","FALSE","clear","ambiguous",1,"Broad_HFS"
"development","boundary","irregular","FALSE","clear","ambiguous",0,"Broad_HFS"
"holdout","boundary","irregular","FALSE","clear","ambiguous",0,"Broad_HFS"
"development","core","irregular","FALSE","clear","ambiguous",1,"Broad_HFS"
"holdout","core","irregular","FALSE","clear","ambiguous",0,"Broad_HFS"
"development","deep","irregular","FALSE","clear","ambiguous",0,"Broad_HFS"
