"Split","Subtype","Rate_Overlap_Stratum","Intended_Difficulty","Realized_Phenotype","Freq","Audit_Domain"
"development","generic_stress","boundary","ambiguous","ambiguous",0,"Tonic"
"holdout","generic_stress","boundary","ambiguous","ambiguous",1,"Tonic"
"development","stn_like_empirical","boundary","ambiguous","ambiguous",0,"Tonic"
"holdout","stn_like_empirical","boundary","ambiguous","ambiguous",2,"Tonic"
"development","generic_stress","core","ambiguous","ambiguous",0,"Tonic"
"holdout","generic_stress","core","ambiguous","ambiguous",2,"Tonic"
"development","stn_like_empirical","core","ambiguous","ambiguous",0,"Tonic"
"holdout","stn_like_empirical","core","ambiguous","ambiguous",0,"Tonic"
"development","generic_stress","deep","ambiguous","ambiguous",0,"Tonic"
"holdout","generic_stress","deep","ambiguous","ambiguous",1,"Tonic"
"development","stn_like_empirical","deep","ambiguous","ambiguous",0,"Tonic"
"holdout","stn_like_empirical","deep","ambiguous","ambiguous",2,"Tonic"
"development","generic_stress","boundary","eligible","ambiguous",1,"Tonic"
"holdout","generic_stress","boundary","eligible","ambiguous",0,"Tonic"
"development","stn_like_empirical","boundary","eligible","ambiguous",0,"Tonic"
"holdout","stn_like_empirical","boundary","eligible","ambiguous",0,"Tonic"
"development","generic_stress","core","eligible","ambiguous",1,"Tonic"
"holdout","generic_stress","core","eligible","ambiguous",0,"Tonic"
"development","stn_like_empirical","core","eligible","ambiguous",0,"Tonic"
"holdout","stn_like_empirical","core","eligible","ambiguous",0,"Tonic"
"development","generic_stress","deep","eligible","ambiguous",1,"Tonic"
"holdout","generic_stress","deep","eligible","ambiguous",0,"Tonic"
"development","stn_like_empirical","deep","eligible","ambiguous",0,"Tonic"
"holdout","stn_like_empirical","deep","eligible","ambiguous",0,"Tonic"
"development","generic_stress","boundary","no_evidence","ambiguous",0,"Tonic"
"holdout","generic_stress","boundary","no_evidence","ambiguous",0,"Tonic"
"development","stn_like_empirical","boundary","no_evidence","ambiguous",0,"Tonic"
"holdout","stn_like_empirical","boundary","no_evidence","ambiguous",0,"Tonic"
"development","generic_stress","core","no_evidence","ambiguous",0,"Tonic"
"holdout","generic_stress","core","no_evidence","ambiguous",0,"Tonic"
"development","stn_like_empirical","core","no_evidence","ambiguous",0,"Tonic"
"holdout","stn_like_empirical","core","no_evidence","ambiguous",1,"Tonic"
"development","generic_stress","deep","no_evidence","ambiguous",0,"Tonic"
"holdout","generic_stress","deep","no_evidence","ambiguous",0,"Tonic"
"development","stn_like_empirical","deep","no_evidence","ambiguous",0,"Tonic"
"holdout","stn_like_empirical","deep","no_evidence","ambiguous",1,"Tonic"
"development","generic_stress","boundary","ambiguous","eligible",0,"Tonic"
"holdout","generic_stress","boundary","ambiguous","eligible",0,"Tonic"
"development","stn_like_empirical","boundary","ambiguous","eligible",0,"Tonic"
"holdout","stn_like_empirical","boundary","ambiguous","eligible",0,"Tonic"
"development","generic_stress","core","ambiguous","eligible",0,"Tonic"
"holdout","generic_stress","core","ambiguous","eligible",0,"Tonic"
"development","stn_like_empirical","core","ambiguous","eligible",0,"Tonic"
"holdout","stn_like_empirical","core","ambiguous","eligible",1,"Tonic"
"development","generic_stress","deep","ambiguous","eligible",0,"Tonic"
"holdout","generic_stress","deep","ambiguous","eligible",0,"Tonic"
