"Template_ID","Borderline_Gap_ID","Run_ID","Secondary_Label","Primary_Event_Label","Start_u","End_u","Duration_u","N_ISIs","N_Boundary_Spikes","Canonical_Pause_Truth","Secondary_Event_Subtype","Product_Level_Mapping","Secondary_Scoring_Role"
"TPL_001","TPL_001_BORDERLINE_001","TPL_001_RUN_012","Borderline_Gap","none",50.6430515835706,51.8847260243601,1.2416744407895,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_002","TPL_002_BORDERLINE_001","TPL_002_RUN_009","Borderline_Gap","none",47.3130818012021,48.6290048413365,1.31592304013437,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_003","TPL_003_BORDERLINE_001","TPL_003_RUN_017","Borderline_Gap","none",67.9460023974566,69.057993639592,1.11199124213541,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_004","TPL_004_BORDERLINE_001","TPL_004_RUN_004","Borderline_Gap","none",21.7122370693582,22.6448389862181,0.932601916859858,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_005","TPL_005_BORDERLINE_001","TPL_005_RUN_001","Borderline_Gap","none",0,0.969133212284651,0.969133212284651,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_006","TPL_006_BORDERLINE_001","TPL_006_RUN_006","Borderline_Gap","none",28.1958532098415,29.31878867607,1.12293546622852,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_007","TPL_007_BORDERLINE_001","TPL_007_RUN_011","Borderline_Gap","none",45.670092780288,46.8288088844187,1.15871610413073,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_008","TPL_008_BORDERLINE_001","TPL_008_RUN_004","Borderline_Gap","none",12.1475041751052,13.607368899989,1.45986472488381,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_009","TPL_009_BORDERLINE_001","TPL_009_RUN_001","Borderline_Gap","none",0,1.44042575463187,1.44042575463187,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_010","TPL_010_BORDERLINE_001","TPL_010_RUN_012","Borderline_Gap","none",52.0554981408734,52.930516302865,0.875018161991611,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_011","TPL_011_BORDERLINE_001","TPL_011_RUN_007","Borderline_Gap","none",25.9496040641254,26.9704938921932,1.02088982806774,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_012","TPL_012_BORDERLINE_001","TPL_012_RUN_016","Borderline_Gap","none",69.2065571389257,69.9645246639525,0.757967525026761,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_013","TPL_013_BORDERLINE_001","TPL_013_RUN_015","Borderline_Gap","none",59.5977124870422,60.4281340314628,0.830421544420533,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_014","TPL_014_BORDERLINE_001","TPL_014_RUN_005","Borderline_Gap","none",21.7080708501969,22.6978067593758,0.989735909178853,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_015","TPL_015_BORDERLINE_001","TPL_015_RUN_009","Borderline_Gap","none",37.1635766893758,37.9260860557521,0.762509366376325,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_016","TPL_016_BORDERLINE_001","TPL_016_RUN_008","Borderline_Gap","none",35.2716550384234,36.7607405076157,1.48908546919236,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_017","TPL_017_BORDERLINE_001","TPL_017_RUN_008","Borderline_Gap","none",17.9447367055298,18.8117391787868,0.867002473257016,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_018","TPL_018_BORDERLINE_001","TPL_018_RUN_015","Borderline_Gap","none",62.1942315553001,62.9956244897971,0.80139293449698,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_019","TPL_019_BORDERLINE_001","TPL_019_RUN_004","Borderline_Gap","none",14.2973448685188,15.6310216041193,1.33367673560046,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
"TPL_020","TPL_020_BORDERLINE_001","TPL_020_RUN_005","Borderline_Gap","none",8.60748561456471,10.0525115446271,1.4450259300624,1,2,FALSE,"tonic_tail_overlap_gap","Pause","secondary_target_excluded_from_primary_pause"
