"Template_ID","Composite_HFS_Regime_ID","Left_State_Envelope_ID","Canonical_Pause_Event_ID","Right_State_Envelope_ID","Start_u","End_u","Relationship","Continuous_HFS_State"
"TPL_001","TPL_001_REGIME_01","TPL_001_STATE_004","TPL_001_EVENT_007","TPL_001_STATE_005",51.8847260243601,73.7933070268073,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_003","TPL_003_REGIME_01","TPL_003_STATE_001","TPL_003_EVENT_002","TPL_003_STATE_002",0,22.0892248882414,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_006","TPL_006_REGIME_01","TPL_006_STATE_004","TPL_006_EVENT_007","TPL_006_STATE_005",51.2942374260685,71.885149173853,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_008","TPL_008_REGIME_01","TPL_008_STATE_002","TPL_008_EVENT_005","TPL_008_STATE_003",20.9928238329083,42.2299033255372,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_010","TPL_010_REGIME_01","TPL_010_STATE_004","TPL_010_EVENT_007","TPL_010_STATE_005",54.1666101861306,75.8046840275083,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_012","TPL_012_REGIME_01","TPL_012_STATE_004","TPL_012_EVENT_007","TPL_012_STATE_005",49.0082444953674,68.416547525898,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_014","TPL_014_REGIME_01","TPL_014_STATE_001","TPL_014_EVENT_002","TPL_014_STATE_002",0,20.8515070136778,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_016","TPL_016_REGIME_01","TPL_016_STATE_004","TPL_016_EVENT_007","TPL_016_STATE_005",45.1536870802649,64.8699245232805,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_018","TPL_018_REGIME_01","TPL_018_STATE_004","TPL_018_EVENT_007","TPL_018_STATE_005",39.1281359827203,61.5862430156376,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_020","TPL_020_REGIME_01","TPL_020_STATE_004","TPL_020_EVENT_007","TPL_020_STATE_005",47.5332016204769,64.4031889213139,"HFS_State--canonical_Pause--HFS_State",FALSE
