"Template_ID","Interval_Index","Left_Spike_Index","Right_Spike_Index","Start_u","End_u","ISI_u","Run_ID","State_Label","Event_Label","State_Envelope_ID","Event_ID","Pause_Subtype","Contextual_Separator_Label","Contextual_Separator_ID","Borderline_Gap_Label","Borderline_Gap_ID","Secondary_Event_Label","Secondary_Event_ID","Secondary_Event_Subtype","Secondary_Scoring_Role","Product_Level_Mapping","Generator_Provenance","Renewal_Family","Regularity_Regime","Tonic_Subtype","Burst_Role","HFS_Role","Direct_HFS_Support","HFS_Interruption_Role","HFS_Support_Contract_Version","Legacy_V2_2_Direct_HFS_Support_Audit","Composite_HFS_Regime_ID","Hard_Cut_Reason","Tonic_Intended_Stratum","Tonic_Rate_Overlap_Stratum","HFS_Rate_Overlap_Stratum","Latent_Pulse_ID","Burst_Strength_Stratum","Frozen_Burst_Target_Spikes","Burst_Quota_ID","Burst_Contrast_Target","Pulse_Refractory_Limited","Latent_Window_Truncated","Phenotype_Evidence_ID","Phenotype_Label","Phenotype_Evidence_Score","Phenotype_Candidate_Origin","Phenotype_Evaluation_Eligibility","Ambiguity_Reason","Tonic_Phenotype","Tonic_Phenotype_Evidence_Score","Tonic_Eligibility_Reason"
"TPL_001",1,1,2,0,1.45949318762263,1.45949318762263,"TPL_001_RUN_001","Tonic","none","TPL_001_STATE_001","none","none","none","none","none","none","none","none","none","none","none","tonic_shifted_gamma_generic_stress","shifted_gamma","generic_stress","generic_stress","none","none",FALSE,"none","not_applicable",FALSE,"none","none","eligible","core","not_applicable","none","none",,"none",,FALSE,FALSE,"none","no_burst_evidence",,"none","eligible","none","eligible",0.652548383680127,"pre_frozen_timestamp_evidence_contract_met"
"TPL_001",2,2,3,1.45949318762263,2.44241022712844,0.982917039505813,"TPL_001_RUN_001","Tonic","none","TPL_001_STATE_001","none","none","none","none","none","none","none","none","none","none","none","tonic_shifted_gamma_generic_stress","shifted_gamma","generic_stress","generic_stress","none","none",FALSE,"none","not_applicable",FALSE,"none","none","eligible","core","not_applicable","none","none",,"none",,FALSE,FALSE,"none","no_burst_evidence",,"none","eligible","none","eligible",0.652548383680127,"pre_frozen_timestamp_evidence_contract_met"
"TPL_001",3,3,4,2.44241022712844,3.54435267140608,1.10194244427763,"TPL_001_RUN_001","Tonic","none","TPL_001_STATE_001","none","none","none","none","none","none","none","none","none","none","none","tonic_shifted_gamma_generic_stress","shifted_gamma","generic_stress","generic_stress","none","none",FALSE,"none","not_applicable",FALSE,"none","none","eligible","core","not_applicable","none","none",,"none",,FALSE,FALSE,"none","no_burst_evidence",,"none","eligible","none","eligible",0.652548383680127,"pre_frozen_timestamp_evidence_contract_met"
"TPL_001",4,4,5,3.54435267140608,4.67419755581517,1.12984488440909,"TPL_001_RUN_001","Tonic","none","TPL_001_STATE_001","none","none","none","none","none","none","none","none","none","none","none","tonic_shifted_gamma_generic_stress","shifted_gamma","generic_stress","generic_stress","none","none",FALSE,"none","not_applicable",FALSE,"none","none","eligible","core","not_applicable","none","none",,"none",,FALSE,FALSE,"none","no_burst_evidence",,"none","eligible","none","eligible",0.652548383680127,"pre_frozen_timestamp_evidence_contract_met"
"TPL_001",5,5,6,4.67419755581517,5.44388703464149,0.769689478826322,"TPL_001_RUN_001","Tonic","none","TPL_001_STATE_001","none","none","none","none","none","none","none","none","none","none","none","tonic_shifted_gamma_generic_stress","shifted_gamma","generic_stress","generic_stress","none","none",FALSE,"none","not_applicable",FALSE,"none","none","eligible","core","not_applicable","none","none",,"none",,FALSE,FALSE,"none","no_burst_evidence",,"none","eligible","none","eligible",0.652548383680127,"pre_frozen_timestamp_evidence_contract_met"
"TPL_001",6,6,7,5.44388703464149,6.44666416772436,1.00277713308288,"TPL_001_RUN_001","Tonic","none","TPL_001_STATE_001","none","none","none","none","none","none","none","none","none","none","none","tonic_shifted_gamma_generic_stress","shifted_gamma","generic_stress","generic_stress","none","none",FALSE,"none","not_applicable",FALSE,"none","none","eligible","core","not_applicable","none","none",,"none",,FALSE,FALSE,"none","no_burst_evidence",,"none","eligible","none","eligible",0.652548383680127,"pre_frozen_timestamp_evidence_contract_met"
"TPL_001",7,7,8,6.44666416772436,7.7697198222472,1.32305565452283,"TPL_001_RUN_001","Tonic","none","TPL_001_STATE_001","none","none","none","none","none","none","none","none","none","none","none","tonic_shifted_gamma_generic_stress","shifted_gamma","generic_stress","generic_stress","none","none",FALSE,"none","not_applicable",FALSE,"none","none","eligible","core","not_applicable","none","none",,"none",,FALSE,FALSE,"none","no_burst_evidence",,"none","eligible","none","eligible",0.652548383680127,"pre_frozen_timestamp_evidence_contract_met"
"TPL_001",8,8,9,7.7697198222472,8.71891559175537,0.94919576950818,"TPL_001_RUN_001","Tonic","none","TPL_001_STATE_001","none","none","none","none","none","none","none","none","none","none","none","tonic_shifted_gamma_generic_stress","shifted_gamma","generic_stress","generic_stress","none","none",FALSE,"none","not_applicable",FALSE,"none","none","eligible","core","not_applicable","none","none",,"none",,FALSE,FALSE,"none","no_burst_evidence",,"none","eligible","none","eligible",0.652548383680127,"pre_frozen_timestamp_evidence_contract_met"
"TPL_001",9,9,10,8.71891559175537,9.37094189405822,0.652026302302843,"TPL_001_RUN_001","Tonic","none","TPL_001_STATE_001","none","none","none","none","none","none","none","none","none","none","none","tonic_shifted_gamma_generic_stress","shifted_gamma","generic_stress","generic_stress","none","none",FALSE,"none","not_applicable",FALSE,"none","none","eligible","core","not_applicable","none","none",,"none",,FALSE,FALSE,"none","no_burst_evidence",,"none","eligible","none","eligible",0.652548383680127,"pre_frozen_timestamp_evidence_contract_met"
"TPL_001",10,10,11,9.37094189405822,10.7474661462746,1.37652425221634,"TPL_001_RUN_001","Tonic","none","TPL_001_STATE_001","none","none","none","none","none","none","none","none","none","none","none","tonic_shifted_gamma_generic_stress","shifted_gamma","generic_stress","generic_stress","none","none",FALSE,"none","not_applicable",FALSE,"none","none","eligible","core","not_applicable","none","none",,"none",,FALSE,FALSE,"none","no_burst_evidence",,"none","eligible","none","eligible",0.652548383680127,"pre_frozen_timestamp_evidence_contract_met"
