"Phenotype_Evidence_ID","Template_ID","Candidate_Origin","Mechanism_Event_ID","State_Envelope_ID","Start_Interval_Index","End_Interval_Index","Start_u","End_u","N_ISIs","N_Spikes","Duration_u","Internal_Median_ISI_u","Flank_Median_ISI_u","Median_Contrast","Mean_Rate_Ratio","Internal_CV","Compactness","Evidence_Score","Left_Flank_N_Used","Right_Flank_N_Used","Flank_Pattern","Flank_Source_Contract","Phenotype_Label","Phenotype_Threshold_Set_ID","Phenotype_Threshold_Purpose","Phenotype_Null_Context","Phenotype_Null_Flank_Pattern","Phenotype_Null_Window_N_ISIs","Ambiguity_Reason","Mechanism_Estimand_Role","Phenotype_Estimand_Eligibility"
"PHENO_0001","TPL_001","injected_rate_pulse","TPL_001_EVENT_003","none",37,39,31.4356865764681,32.0471790575168,3,4,0.611492481048682,0.16922292985782,0.623574710739995,3.68493035349238,3.0187929229001,0.298965084760069,0.355543709265234,2.50534783694703,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N03","injected_support","standalone_burst","left_only",3,"none","injected_burst","eligible"
"PHENO_0002","TPL_001","injected_rate_pulse","TPL_001_EVENT_004","none",41,45,32.6704756078963,33.3696291170062,5,6,0.699153509109917,0.128755807675501,0.466979891360666,3.6268646812234,3.39449027252121,0.26674471966491,0.314342042194784,3.15974359012862,0,4,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N05","injected_support","standalone_burst","right_only",5,"none","injected_burst","eligible"
"PHENO_0003","TPL_001","injected_rate_pulse","TPL_001_EVENT_005","none",55,60,38.8540630535119,39.6641866719618,6,7,0.810123618449907,0.119539587665882,0.721632285463273,6.03676405075331,5.75957919408928,0.504288254134354,0.190821199952124,4.79114678549348,3,3,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N06","injected_support","standalone_burst","both_sides",6,"none","injected_burst","eligible"
"PHENO_0004","TPL_001","injected_rate_pulse","TPL_001_EVENT_006","TPL_001_STATE_004",96,101,54.4900157145063,55.1080732309628,6,7,0.618057516456519,0.100512726131489,0.340378080235807,3.38641775361391,3.1511920916189,0.348565561619922,0.360020154824022,3.23990925123614,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N06","injected_support","burst_in_hfs","both_sides",6,"none","injected_burst","eligible"
"PHENO_0005","TPL_001","injected_rate_pulse","TPL_001_EVENT_008","TPL_001_STATE_005",129,135,67.160719408907,67.8917296950478,7,8,0.731010286140774,0.0843604655344103,0.361927404965659,4.29024902450343,3.53174587578673,0.456807705568293,0.368143846474626,4.12289342041,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N07","injected_support","burst_in_hfs","both_sides",7,"none","injected_burst","eligible"
"PHENO_0006","TPL_002","injected_rate_pulse","TPL_002_EVENT_001","none",40,43,13.4857451056625,14.1767972691845,4,5,0.691052163522003,0.131810348099547,0.414570450291875,3.14520412296294,2.61890164261416,0.625524698841654,0.472458784223428,2.46989386650869,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N04","injected_support","standalone_burst","both_sides",4,"none","injected_burst","eligible"
"PHENO_0007","TPL_002","injected_rate_pulse","TPL_002_EVENT_002","TPL_002_STATE_002",59,66,19.8597725891105,20.3048842182746,8,9,0.445111629164099,0.052994941637561,0.213295894652519,4.0248349759733,4.30434104783495,0.593402404926363,0.308984390354402,4.24410503695754,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N08","injected_support","burst_in_hfs","both_sides",8,"none","injected_burst","eligible"
"PHENO_0008","TPL_002","injected_rate_pulse","TPL_002_EVENT_003","TPL_002_STATE_003",92,94,29.8793359893199,30.2298814668297,3,4,0.350545477509796,0.0988483119600656,0.4560975111351,4.61411532570593,3.76892669263149,0.396056349618743,0.294093910744488,2.94060572894772,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N03","injected_support","burst_in_hfs","both_sides",3,"none","injected_burst","eligible"
"PHENO_0009","TPL_002","injected_rate_pulse","TPL_002_EVENT_004","none",139,144,51.2165886370228,51.9804948037409,6,7,0.763906166718037,0.108729221205519,0.337360904170565,3.10276207656164,3.22669005209368,0.375881928938232,0.480435884821945,3.02881539433559,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N06","injected_support","standalone_burst","left_only",6,"none","injected_burst","eligible"
"PHENO_0010","TPL_002","injected_rate_pulse","TPL_002_EVENT_005","none",146,152,52.6053321355872,53.4214972455881,7,8,0.816165110000889,0.108659408262278,0.568179136706888,5.22899163352188,4.92946564511763,0.390522523402186,0.232811504889053,4.73640604270683,0,4,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N07","injected_support","standalone_burst","right_only",7,"none","injected_burst","eligible"
"PHENO_0011","TPL_003","injected_rate_pulse","TPL_003_EVENT_001","TPL_003_STATE_001",16,18,3.32782595521548,3.48641015853187,3,4,0.158584203316394,0.0634148209948537,0.202229587137118,3.18899563169199,4.2227768668059,0.431216892700061,0.326069422838393,2.32567129037235,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N03","injected_support","burst_in_hfs","both_sides",3,"none","injected_burst","eligible"
"PHENO_0012","TPL_003","injected_rate_pulse","TPL_003_EVENT_003","TPL_003_STATE_002",40,43,14.8469659551213,15.2199422399339,4,5,0.372976284812512,0.089341800158989,0.402931982811682,4.51000519459694,4.27304488310463,0.338605802057388,0.266327740413621,3.34181769553594,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N04","injected_support","burst_in_hfs","both_sides",4,"none","injected_burst","eligible"
"PHENO_0013","TPL_003","injected_rate_pulse","TPL_003_EVENT_004","none",67,74,25.8891126778028,26.740273832582,8,9,0.851161154779238,0.107311928700897,0.355750838948493,3.31510991606585,3.22537696408497,0.156327534383927,0.329691417507909,3.66697353611861,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N08","injected_support","standalone_burst","left_only",8,"none","injected_burst","eligible"
"PHENO_0014","TPL_003","injected_rate_pulse","TPL_003_EVENT_005","none",76,80,27.3552488342377,28.1481677894287,5,6,0.792918955190996,0.151019729134883,0.553598192361801,3.66573424236085,3.79783622834164,0.615450137169151,0.399041450972694,3.17677923465347,0,4,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N05","injected_support","standalone_burst","right_only",5,"none","injected_burst","eligible"
"PHENO_0015","TPL_003","injected_rate_pulse","TPL_003_EVENT_007","none",107,113,42.8293436692223,43.6097409219434,7,8,0.780397252721046,0.0921967113096516,0.65694960016827,7.12552097397315,5.34683663336839,0.418680682673168,0.221327934487584,5.57267466278839,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N07","injected_support","standalone_burst","both_sides",7,"none","injected_burst","eligible"
"PHENO_0016","TPL_004","injected_rate_pulse","TPL_004_EVENT_001","none",26,28,10.3329083234382,10.8175352791057,3,4,0.484626955667505,0.149355037874042,0.796281111432662,5.33146469491176,5.08170936299909,0.446195748756544,0.243816888443327,3.26059761771992,4,3,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N03","injected_support","standalone_burst","both_sides",3,"none","injected_burst","eligible"
"PHENO_0017","TPL_004","injected_rate_pulse","TPL_004_EVENT_002","TPL_004_STATE_002",42,48,16.9438154196507,17.7996727637816,7,8,0.855857344130916,0.111611220746667,0.373078963190651,3.34266537624796,2.98232828966027,0.830908284799111,0.371627033335048,3.38289460249632,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N07","injected_support","burst_in_hfs","both_sides",7,"none","injected_burst","eligible"
"PHENO_0018","TPL_004","injected_rate_pulse","TPL_004_EVENT_003","TPL_004_STATE_003",74,81,25.8124549480423,26.4468102965579,8,9,0.634355348515618,0.0728910660413333,0.182323993330016,2.50132153680711,2.40219710552535,0.195034277205332,0.510177004474029,2.79274883044976,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N08","injected_support","burst_in_hfs","both_sides",8,"none","injected_burst","eligible"
"PHENO_0019","TPL_004","injected_rate_pulse","TPL_004_EVENT_004","none",103,108,33.3657694147567,34.1567887628129,6,7,0.791019348056156,0.13198665996572,0.457602763263233,3.46703798233916,3.92500079702112,0.501981744419907,0.315173342446538,3.33709558499918,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N06","injected_support","standalone_burst","left_only",6,"none","injected_burst","eligible"
"PHENO_0020","TPL_004","injected_rate_pulse","TPL_004_EVENT_005","none",110,117,34.6843432653093,35.5041674814939,8,9,0.819824216184537,0.0715778262818196,0.32740729641421,4.57414416477425,3.33252654894024,0.777981233236524,0.393084278109858,4.52353063719555,0,4,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N08","injected_support","standalone_burst","right_only",8,"none","injected_burst","eligible"
"PHENO_0021","TPL_005","injected_rate_pulse","TPL_005_EVENT_001","TPL_005_STATE_001",15,18,5.57410156265868,5.99483747802317,4,5,0.420735915364497,0.106749419786795,0.387792160077755,3.63273318817348,3.22788494871289,0.265610265955564,0.308568325237267,2.84636636914539,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N04","injected_support","burst_in_hfs","both_sides",4,"none","injected_burst","eligible"
"PHENO_0022","TPL_005","injected_rate_pulse","TPL_005_EVENT_003","TPL_005_STATE_003",65,67,29.7588044585466,29.9977675671335,3,4,0.238963108586881,0.0812559067769221,0.432993414294209,5.32876231980204,5.54627673198965,0.217224476783134,0.204803008808025,3.30448638012202,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N03","injected_support","burst_in_hfs","both_sides",3,"none","injected_burst","eligible"
"PHENO_0023","TPL_005","injected_rate_pulse","TPL_005_EVENT_005","none",109,115,51.5807184288191,52.0506061578819,7,8,0.469887729062821,0.0643579341655487,0.334033738033126,5.19024953743679,5.59607138536393,0.275781791105976,0.220157240661789,4.75991306828209,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N07","injected_support","standalone_burst","both_sides",7,"none","injected_burst","eligible"
"PHENO_0024","TPL_005","injected_rate_pulse","TPL_005_EVENT_006","none",147,150,60.9074744425964,61.483233324128,4,5,0.575758881531567,0.149235105453133,0.527443457504589,3.53431222434612,4.19992053112459,0.367469370599279,0.332101116419815,2.84705690134024,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N04","injected_support","standalone_burst","left_only",4,"none","injected_burst","eligible"
"PHENO_0025","TPL_005","injected_rate_pulse","TPL_005_EVENT_007","none",152,155,62.0178884262343,62.6038763268003,4,5,0.585987900565934,0.15149510571297,0.506228359974866,3.34154927046944,6.7551393700126,0.286706540422397,0.353931202312976,2.86177435254079,0,3,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N04","injected_support","standalone_burst","right_only",4,"none","injected_burst","eligible"
"PHENO_0026","TPL_006","injected_rate_pulse","TPL_006_EVENT_003","none",74,76,40.3176854797519,40.728263203376,3,4,0.410577723624145,0.123583976640739,0.601203156850167,4.86473386916395,4.09516504242698,0.325747754166267,0.257944879060438,3.06000216077464,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N03","injected_support","standalone_burst","both_sides",3,"none","injected_burst","eligible"
"PHENO_0027","TPL_006","injected_rate_pulse","TPL_006_EVENT_004","none",90,94,47.1373803481184,47.7751620021166,5,6,0.637781653998274,0.118029312743615,0.465228950475662,3.94163906966263,3.81907611074034,0.41486279925455,0.26428863606103,3.36049918889478,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N05","injected_support","standalone_burst","left_only",5,"none","injected_burst","eligible"
"PHENO_0028","TPL_006","injected_rate_pulse","TPL_006_EVENT_005","none",96,103,48.2836406859553,49.0945391372763,8,9,0.810898451321091,0.0824555207756177,0.532003676428793,6.45200796046768,4.98863849342787,0.664113501918461,0.193304371405266,5.60867459629407,0,4,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N08","injected_support","standalone_burst","right_only",8,"none","injected_burst","eligible"
"PHENO_0029","TPL_006","injected_rate_pulse","TPL_006_EVENT_006","TPL_006_STATE_004",118,125,53.8839268701596,54.5948576776636,8,9,0.710930807504053,0.0758141542204123,0.255615763875848,3.37161004438174,3.5308051829435,0.600786084473142,0.417304267427684,3.69294601835927,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N08","injected_support","burst_in_hfs","both_sides",8,"none","injected_burst","eligible"
"PHENO_0030","TPL_006","injected_rate_pulse","TPL_006_EVENT_008","TPL_006_STATE_005",156,160,66.7372628779402,67.3206071714209,5,6,0.583344293480654,0.102059216300406,0.393761375606842,3.85816577748184,3.10656486045043,0.248505838500541,0.318652704218975,3.27764964232117,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N05","injected_support","burst_in_hfs","both_sides",5,"none","injected_burst","eligible"
"PHENO_0031","TPL_007","injected_rate_pulse","TPL_007_EVENT_001","TPL_007_STATE_002",18,21,7.66968980117927,8.45922576015319,4,5,0.789535958973919,0.196799265420034,0.446118593643816,2.26687123395331,2.40319366136298,0.587329404901776,0.603571333110872,1.79726783519069,4,4,"both_sides","same_generator_run_non_event_intervals_only","ambiguous_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N04","injected_support","burst_in_hfs","both_sides",4,"score_between_pre_frozen_gamma_null_guard_bands","injected_burst","exclude_primary_include_sensitivity"
"PHENO_0032","TPL_007","injected_rate_pulse","TPL_007_EVENT_002","none",40,45,18.1224293106373,18.8504535566849,6,7,0.728024246047623,0.106914508863088,0.574982889809875,5.37796877078849,4.44564878862002,0.400815661370728,0.286599723162131,4.45370281695187,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N06","injected_support","standalone_burst","both_sides",6,"none","injected_burst","eligible"
"PHENO_0033","TPL_007","injected_rate_pulse","TPL_007_EVENT_005","none",101,104,50.0885869353105,50.8328477990042,4,5,0.744260863693708,0.183679979358085,0.440546211088479,2.39844436300612,2.4307806357948,0.451511581232943,0.50361848845286,1.92654264586659,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N04","injected_support","standalone_burst","left_only",4,"none","injected_burst","eligible"
