"Template_ID","Event_ID","Run_ID","State_Envelope_ID","Event_Label","Pause_Subtype","Event_Context","Latent_Pulse_ID","Latent_Start_u","Latent_End_u","Latent_Duration_u","Realized_Start_u","Realized_End_u","Realized_Duration_u","Realized_Left_Spike_Index","Realized_Right_Spike_Index","N_Realized_Spikes","N_Realized_ISIs","Rate_Multiplier","Target_Mean_ISI_Contrast","Pulse_Refractory_Limited","Latent_Window_Truncated","Pulse_Strength_Stratum","Frozen_Target_Spikes","Burst_Quota_ID","Is_Four_Spike_Boundary","Observed_Left_Context_ISIs","Observed_Right_Context_ISIs","Composite_HFS_Regime_ID","Boundary_Definition","Phenotype_Evidence_ID","Phenotype_Label","Phenotype_Evidence_Score","Phenotype_Evaluation_Eligibility"
"TPL_001","TPL_001_EVENT_001","TPL_001_RUN_002","none","Pause","canonical","canonical","none",,,,12.8257610398382,15.9670527160205,3.1412916761823,13,14,2,1,,,FALSE,FALSE,"none",,"none",FALSE,0,0,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable"
"TPL_001","TPL_001_EVENT_002","TPL_001_RUN_005","none","Pause","complex_multi_gap","complex_multi_gap","none",,,,23.418889242705,28.6735463044755,5.25465706177056,30,32,3,2,,,FALSE,FALSE,"none",,"none",FALSE,0,0,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable"
"TPL_001","TPL_001_EVENT_003","TPL_001_RUN_006","none","Burst","none","standalone_burst","TPL_001_PULSE_001",31.3033173917476,32.0471790575168,0.743861665769131,31.4356865764681,32.0471790575168,0.611492481048682,37,40,4,3,3.05285792155489,2.88903102949262,FALSE,TRUE,"weak",4,"BQ_001",TRUE,5,0,"none","first_to_last_pulse_exposed_spike","PHENO_0001","clear_burst_like",2.50534783694703,"eligible"
"TPL_001","TPL_001_EVENT_004","TPL_001_RUN_008","none","Burst","none","standalone_burst","TPL_001_PULSE_002",32.6704756078963,33.45350662078,0.783031012883704,32.6704756078963,33.3696291170062,0.69915350910992,41,46,6,5,4.23015429372413,3.74765297677368,FALSE,TRUE,"moderate",6,"BQ_002",FALSE,0,6,"none","first_to_last_pulse_exposed_spike","PHENO_0002","clear_burst_like",3.15974359012862,"eligible"
"TPL_001","TPL_001_EVENT_005","TPL_001_RUN_009","none","Burst","none","standalone_burst","TPL_001_PULSE_003",38.8313727362422,39.7313727362422,0.900000000000006,38.8540630535119,39.6641866719618,0.810123618449907,55,61,7,6,5.58352512585138,5.00231299572624,FALSE,FALSE,"strong",7,"BQ_003",FALSE,3,3,"none","first_to_last_pulse_exposed_spike","PHENO_0003","clear_burst_like",4.79114678549348,"eligible"
"TPL_001","TPL_001_EVENT_006","TPL_001_RUN_013","TPL_001_STATE_004","Burst","none","burst_in_hfs","TPL_001_PULSE_004",54.4841408414889,55.1944671912156,0.710326349726692,54.4900157145063,55.1080732309628,0.618057516456517,96,102,7,6,2.76803778011067,2.45703908726573,FALSE,FALSE,"weak",7,"BQ_061",FALSE,8,15,"none","first_to_last_pulse_exposed_spike","PHENO_0004","clear_burst_like",3.23990925123614,"eligible"
"TPL_001","TPL_001_EVENT_007","TPL_001_RUN_014","none","Pause","canonical","canonical","none",,,,59.0914650309211,62.628301259953,3.53683622903191,117,118,2,1,,,FALSE,FALSE,"none",,"none",FALSE,0,0,"TPL_001_REGIME_01","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable"
"TPL_001","TPL_001_EVENT_008","TPL_001_RUN_015","TPL_001_STATE_005","Burst","none","burst_in_hfs","TPL_001_PULSE_005",67.1097068514965,67.9736432284639,0.863936376967402,67.160719408907,67.8917296950478,0.731010286140773,129,136,8,7,3.75150175740686,3.2499472538475,FALSE,FALSE,"moderate",8,"BQ_062",FALSE,11,16,"none","first_to_last_pulse_exposed_spike","PHENO_0005","clear_burst_like",4.12289342041,"eligible"
"TPL_002","TPL_002_EVENT_001","TPL_002_RUN_002","none","Burst","none","standalone_burst","TPL_002_PULSE_001",13.3834943372197,14.2834943372197,0.9,13.4857451056625,14.1767972691845,0.691052163522004,40,44,5,4,3.12650950882047,2.92428292613477,FALSE,FALSE,"weak",5,"BQ_004",FALSE,8,5,"none","first_to_last_pulse_exposed_spike","PHENO_0006","clear_burst_like",2.46989386650869,"eligible"
"TPL_002","TPL_002_EVENT_002","TPL_002_RUN_004","TPL_002_STATE_002","Burst","none","burst_in_hfs","TPL_002_PULSE_002",19.834318699412,20.3284938264669,0.494175127054945,19.8597725891105,20.3048842182746,0.445111629164099,59,67,9,8,5.95402737383056,4.18995228921995,FALSE,FALSE,"strong",9,"BQ_064",FALSE,9,16,"none","first_to_last_pulse_exposed_spike","PHENO_0007","clear_burst_like",4.24410503695754,"eligible"
"TPL_002","TPL_002_EVENT_003","TPL_002_RUN_006","TPL_002_STATE_003","Burst","none","burst_in_hfs","TPL_002_PULSE_003",29.818592538757,30.356923765341,0.538331226584081,29.8793359893199,30.2298814668297,0.350545477509794,92,95,4,3,2.69418630867327,2.48357351273298,FALSE,FALSE,"weak",4,"BQ_063",TRUE,7,23,"none","first_to_last_pulse_exposed_spike","PHENO_0008","clear_burst_like",2.94060572894772,"eligible"
"TPL_002","TPL_002_EVENT_004","TPL_002_RUN_010","none","Burst","none","standalone_burst","TPL_002_PULSE_004",51.0841183834397,51.9804948037409,0.896376420301166,51.2165886370228,51.9804948037409,0.763906166718037,139,145,7,6,4.43279534147167,3.98704726994038,FALSE,TRUE,"moderate",7,"BQ_005",FALSE,6,0,"none","first_to_last_pulse_exposed_spike","PHENO_0009","clear_burst_like",3.02881539433559,"eligible"
"TPL_002","TPL_002_EVENT_005","TPL_002_RUN_012","none","Burst","none","standalone_burst","TPL_002_PULSE_005",52.6053321355872,53.4360774321352,0.830745296548002,52.6053321355872,53.4214972455881,0.816165110000888,146,153,8,7,5.53301824967422,4.71560554555617,FALSE,TRUE,"strong",8,"BQ_006",FALSE,0,4,"none","first_to_last_pulse_exposed_spike","PHENO_0010","clear_burst_like",4.73640604270683,"eligible"
"TPL_002","TPL_002_EVENT_006","TPL_002_RUN_014","none","Pause","canonical","canonical","none",,,,56.0505425838668,60.2724390516903,4.22189646782353,158,159,2,1,,,FALSE,FALSE,"none",,"none",FALSE,0,0,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable"
"TPL_002","TPL_002_EVENT_007","TPL_002_RUN_017","none","Pause","canonical","canonical","none",,,,66.9755699529193,70.1331185742627,3.15754862134345,173,174,2,1,,,FALSE,FALSE,"none",,"none",FALSE,0,0,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable"
"TPL_003","TPL_003_EVENT_001","TPL_003_RUN_001","TPL_003_STATE_001","Burst","none","burst_in_hfs","TPL_003_PULSE_001",3.28659671688418,3.52792982861967,0.241333111735493,3.32782595521548,3.48641015853187,0.158584203316394,16,19,4,3,5.10706644759219,3.93286679382436,FALSE,FALSE,"moderate",4,"BQ_065",TRUE,15,11,"none","first_to_last_pulse_exposed_spike","PHENO_0011","clear_burst_like",2.32567129037235,"eligible"
"TPL_003","TPL_003_EVENT_002","TPL_003_RUN_002","none","Pause","canonical","canonical","none",,,,6.94657580329266,11.1081357124557,4.16155990916304,30,31,2,1,,,FALSE,FALSE,"none",,"none",FALSE,0,0,"TPL_003_REGIME_01","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable"
"TPL_003","TPL_003_EVENT_003","TPL_003_RUN_003","TPL_003_STATE_002","Burst","none","burst_in_hfs","TPL_003_PULSE_002",14.8327241295011,15.2701621544581,0.437438024957027,14.8469659551213,15.2199422399339,0.372976284812513,40,44,5,4,5.22543595150082,4.37931964697782,FALSE,FALSE,"strong",5,"BQ_066",FALSE,9,15,"none","first_to_last_pulse_exposed_spike","PHENO_0012","clear_burst_like",3.34181769553594,"eligible"
"TPL_003","TPL_003_EVENT_004","TPL_003_RUN_005","none","Burst","none","standalone_burst","TPL_003_PULSE_003",25.8423489953667,26.740273832582,0.897924837215342,25.8891126778028,26.740273832582,0.851161154779234,67,75,9,8,6.02458810342658,5.05530832556542,FALSE,TRUE,"strong",9,"BQ_009",FALSE,6,0,"none","first_to_last_pulse_exposed_spike","PHENO_0013","clear_burst_like",3.66697353611861,"eligible"
"TPL_003","TPL_003_EVENT_005","TPL_003_RUN_007","none","Burst","none","standalone_burst","TPL_003_PULSE_004",27.3552488342377,28.2367381619262,0.881489327688499,27.3552488342377,28.1481677894287,0.792918955190995,76,81,6,5,2.62892330233319,2.49414611514658,FALSE,TRUE,"weak",6,"BQ_007",FALSE,0,6,"none","first_to_last_pulse_exposed_spike","PHENO_0014","clear_burst_like",3.17677923465347,"eligible"
