"Template_ID","State_Envelope_ID","Run_ID","State_Label","Tonic_Subtype","Start_u","End_u","Duration_u","N_Boundary_Spikes","N_ISIs","Renewal_Family","Regularity_Regime","Mean_ISI_Parameter_u","Gamma_Shape","Refractory_u","Observed_Mean_ISI_u","CV","CV2","LV","Contains_Injected_Burst","Burst_Strength_Stratum","Tonic_Intended_Stratum","Tonic_Rate_Overlap_Stratum","HFS_Rate_Overlap_Stratum","HFS_Support_Contract_Version","Composite_HFS_Regime_ID","Boundary_Observability","Start_Boundary_Observability","End_Boundary_Observability","Start_Boundary_Contrast","End_Boundary_Contrast","Start_Hard_Cut_Reason","End_Hard_Cut_Reason","Tonic_Phenotype_Evidence_Score","Tonic_Phenotype","Eligibility_Reason"
"TPL_001","TPL_001_STATE_001","TPL_001_RUN_001","Tonic","generic_stress",0,12.8257610398382,12.8257610398382,13,12,"shifted_gamma","generic_stress",0.963091246765107,15.3015535734594,0.02,1.06881341998652,0.234500723674635,0.30509725072384,0.0937908613231705,FALSE,"none","eligible","core","not_applicable","not_applicable","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.652548383680127,"eligible","pre_frozen_timestamp_evidence_contract_met"
"TPL_001","TPL_001_STATE_002","TPL_001_RUN_004","Tonic","stn_like_empirical",16.5218306627834,23.418889242705,6.89705857992156,16,15,"shifted_gamma","stn_like_empirical",0.471605431428179,49.0355913806707,0.02,0.459803905328104,0.162327408125263,0.154382292523751,0.0285546806196312,FALSE,"none","eligible","boundary","not_applicable","not_applicable","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.875791398554017,"eligible","pre_frozen_timestamp_evidence_contract_met"
"TPL_001","TPL_001_STATE_003","TPL_001_RUN_010","Broad_HFS","none",42.0762141064265,49.6976331014678,7.62141899504136,23,22,"shifted_gamma","irregular",0.400550139686093,1.58736596780363,0.02,0.346428136138243,0.522841389835867,0.585480848421635,0.375656312143157,FALSE,"none","not_applicable","not_applicable","deep","v2.3_slow_overlap_direct_support_0.65B","none","clear_or_hard_cut","clear","clear",1.87388900193586,6.60895804943355,"none","none",,"not_applicable","not_applicable"
"TPL_001","TPL_001_STATE_004","TPL_001_RUN_013","Broad_HFS","none",51.8847260243601,59.0914650309211,7.20673900656092,30,29,"shifted_gamma","regular",0.279366957703605,9.38826837670058,0.02,0.248508241605549,0.457514159143588,0.427803995885316,0.236085210281045,TRUE,"weak","not_applicable","not_applicable","core","v2.3_slow_overlap_direct_support_0.65B","TPL_001_REGIME_01","clear_or_hard_cut","clear","hard_cut_canonical_pause",3.15883331124797,2.25608034469271,"none","canonical_pause",,"not_applicable","not_applicable"
"TPL_001","TPL_001_STATE_005","TPL_001_RUN_015","Broad_HFS","none",62.628301259953,73.7933070268073,11.1650057668544,35,34,"shifted_gamma","intermediate",0.35658081093803,3.5223484987393,0.02,0.32838252255454,0.561734907789286,0.528017581975603,0.314754863521814,TRUE,"moderate","not_applicable","not_applicable","boundary","v2.3_slow_overlap_direct_support_0.65B","TPL_001_REGIME_01","ambiguous_or_edge","hard_cut_canonical_pause","recording_edge_unobservable",0.443246625658717,,"canonical_pause","none",,"not_applicable","not_applicable"
"TPL_002","TPL_002_STATE_001","TPL_002_RUN_001","Broad_HFS","none",0,10.4036592234531,10.4036592234531,32,31,"shifted_gamma","regular",0.320242547718808,7.33812886616215,0.02,0.335601910433972,0.304726947156944,0.296748061343357,0.102399343024436,FALSE,"none","not_applicable","not_applicable","boundary","v2.3_slow_overlap_direct_support_0.65B","none","ambiguous_or_edge","recording_edge_unobservable","ambiguous",,1.27012245694448,"none","none",,"not_applicable","not_applicable"
"TPL_002","TPL_002_STATE_002","TPL_002_RUN_004","Broad_HFS","none",17.9738281537255,25.1195003960053,7.14567224227975,34,33,"shifted_gamma","irregular",0.235331687601283,1.59456288234796,0.02,0.216535522493326,0.601891085605093,0.455684283476491,0.211535273280537,TRUE,"strong","not_applicable","not_applicable","core","v2.3_slow_overlap_direct_support_0.65B","none","clear_or_hard_cut","clear","clear",3.38949038302501,1.80559859776041,"none","none",,"not_applicable","not_applicable"
"TPL_002","TPL_002_STATE_003","TPL_002_RUN_006","Broad_HFS","none",26.9749938740381,40.3944281286502,13.4194342546121,34,33,"shifted_gamma","intermediate",0.399561310894787,3.86346379253082,0.02,0.406649522867033,0.445899530526386,0.532120563186904,0.324617153999546,TRUE,"weak","not_applicable","not_applicable","deep","v2.3_slow_overlap_direct_support_0.65B","none","no_evidence_at_one_or_more_boundaries","no_evidence","ambiguous",1.1195227109906,1.30329698976227,"none","none",,"not_applicable","not_applicable"
"TPL_002","TPL_002_STATE_004","TPL_002_RUN_008","Tonic","generic_stress",41.4266013678866,47.3130818012021,5.8864804333155,14,13,"shifted_gamma","generic_stress",0.471658308180049,27.2313225218095,0.02,0.452806187178116,0.242620255735374,0.234711939915545,0.0582353331739269,FALSE,"none","eligible","boundary","not_applicable","not_applicable","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.56901465437654,"ambiguous","borderline_continuous_evidence_score"
"TPL_002","TPL_002_STATE_005","TPL_002_RUN_016","Tonic","stn_like_empirical",61.7157838292883,66.9755699529193,5.259786123631,13,12,"shifted_gamma","stn_like_empirical",0.43932096671313,67.1116274548694,0.02,0.438315510302583,0.0634524807700866,0.0965818322017883,0.00804075434608118,FALSE,"none","eligible","deep","not_applicable","not_applicable","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.803973378981963,"eligible","pre_frozen_timestamp_evidence_contract_met"
