"Phenotype_Evidence_ID","Template_ID","Candidate_Origin","Mechanism_Event_ID","State_Envelope_ID","Start_Interval_Index","End_Interval_Index","Start_u","End_u","N_ISIs","N_Spikes","Duration_u","Internal_Median_ISI_u","Flank_Median_ISI_u","Median_Contrast","Mean_Rate_Ratio","Internal_CV","Compactness","Evidence_Score","Left_Flank_N_Used","Right_Flank_N_Used","Flank_Pattern","Flank_Source_Contract","Phenotype_Label","Phenotype_Threshold_Set_ID","Phenotype_Threshold_Purpose","Phenotype_Null_Context","Phenotype_Null_Flank_Pattern","Phenotype_Null_Window_N_ISIs","Ambiguity_Reason","Mechanism_Estimand_Role","Phenotype_Estimand_Eligibility","Sample_ID","Scale_Factor","B_s","Split","Start_s","End_s","Duration_s","Internal_Median_ISI_s","Flank_Median_ISI_s","Scoring_Role","Primary_Observable_Burst_Positive"
"PHENO_0001","TPL_001","injected_rate_pulse","TPL_001_EVENT_003","none",37,39,31.4356865764681,32.0471790575168,3,4,0.611492481048682,0.16922292985782,0.623574710739995,3.68493035349238,3.0187929229001,0.298965084760069,0.355543709265234,2.50534783694703,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N03","injected_support","standalone_burst","left_only",3,"none","injected_burst","eligible","S0015",1,0.1,"development",3.14356865764681,3.20471790575168,0.0611492481048682,0.0169222929857821,0.0623574710739995,"observable_primary_positive",TRUE
"PHENO_0002","TPL_001","injected_rate_pulse","TPL_001_EVENT_004","none",41,45,32.6704756078963,33.3696291170062,5,6,0.699153509109917,0.128755807675501,0.466979891360666,3.6268646812234,3.39449027252121,0.26674471966491,0.314342042194784,3.15974359012862,0,4,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N05","injected_support","standalone_burst","right_only",5,"none","injected_burst","eligible","S0015",1,0.1,"development",3.26704756078963,3.33696291170062,0.0699153509109917,0.0128755807675501,0.0466979891360666,"observable_primary_positive",TRUE
"PHENO_0003","TPL_001","injected_rate_pulse","TPL_001_EVENT_005","none",55,60,38.8540630535119,39.6641866719618,6,7,0.810123618449907,0.119539587665882,0.721632285463273,6.03676405075331,5.75957919408928,0.504288254134354,0.190821199952124,4.79114678549348,3,3,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N06","injected_support","standalone_burst","both_sides",6,"none","injected_burst","eligible","S0015",1,0.1,"development",3.88540630535119,3.96641866719618,0.0810123618449907,0.0119539587665882,0.0721632285463273,"observable_primary_positive",TRUE
"PHENO_0004","TPL_001","injected_rate_pulse","TPL_001_EVENT_006","TPL_001_STATE_004",96,101,54.4900157145063,55.1080732309628,6,7,0.618057516456519,0.100512726131489,0.340378080235807,3.38641775361391,3.1511920916189,0.348565561619922,0.360020154824022,3.23990925123614,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N06","injected_support","burst_in_hfs","both_sides",6,"none","injected_burst","eligible","S0015",1,0.1,"development",5.44900157145063,5.51080732309628,0.0618057516456519,0.0100512726131489,0.0340378080235807,"observable_primary_positive",TRUE
"PHENO_0005","TPL_001","injected_rate_pulse","TPL_001_EVENT_008","TPL_001_STATE_005",129,135,67.160719408907,67.8917296950478,7,8,0.731010286140774,0.0843604655344103,0.361927404965659,4.29024902450343,3.53174587578673,0.456807705568293,0.368143846474626,4.12289342041,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N07","injected_support","burst_in_hfs","both_sides",7,"none","injected_burst","eligible","S0015",1,0.1,"development",6.7160719408907,6.78917296950478,0.0731010286140774,0.00843604655344104,0.0361927404965659,"observable_primary_positive",TRUE
"PHENO_0101","TPL_001","null_model_burst_like_excursion","none","TPL_001_STATE_003",83,85,49.0484452762753,49.6976331014678,3,4,0.649187825192547,0.143051064181572,0.411671621161796,2.87779488756037,1.69554899048041,0.922787972687365,0.711046559485188,1.87054270311308,4,0,"left_only","within_HFS_state_scan_window","no_burst_evidence","NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",3,"none","mechanism_negative_null_excursion_audit","eligible","S0015",1,0.1,"development",4.90484452762753,4.96976331014678,0.0649187825192547,0.0143051064181572,0.0411671621161796,"null_model_no_excursion",FALSE
"PHENO_0001","TPL_001","injected_rate_pulse","TPL_001_EVENT_003","none",37,39,31.4356865764681,32.0471790575168,3,4,0.611492481048682,0.16922292985782,0.623574710739995,3.68493035349238,3.0187929229001,0.298965084760069,0.355543709265234,2.50534783694703,4,0,"left_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_LEFT_ONLY_N03","injected_support","standalone_burst","left_only",3,"none","injected_burst","eligible","S0056",4,0.4,"development",12.5742746305872,12.8188716230067,0.244596992419473,0.0676891719431282,0.249429884295998,"observable_primary_positive",TRUE
"PHENO_0002","TPL_001","injected_rate_pulse","TPL_001_EVENT_004","none",41,45,32.6704756078963,33.3696291170062,5,6,0.699153509109917,0.128755807675501,0.466979891360666,3.6268646812234,3.39449027252121,0.26674471966491,0.314342042194784,3.15974359012862,0,4,"right_only","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_RIGHT_ONLY_N05","injected_support","standalone_burst","right_only",5,"none","injected_burst","eligible","S0056",4,0.4,"development",13.0681902431585,13.3478516468025,0.279661403643967,0.0515023230702003,0.186791956544266,"observable_primary_positive",TRUE
"PHENO_0003","TPL_001","injected_rate_pulse","TPL_001_EVENT_005","none",55,60,38.8540630535119,39.6641866719618,6,7,0.810123618449907,0.119539587665882,0.721632285463273,6.03676405075331,5.75957919408928,0.504288254134354,0.190821199952124,4.79114678549348,3,3,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_STANDALONE_BURST_BOTH_SIDES_N06","injected_support","standalone_burst","both_sides",6,"none","injected_burst","eligible","S0056",4,0.4,"development",15.5416252214048,15.8656746687847,0.324049447379963,0.047815835066353,0.288652914185309,"observable_primary_positive",TRUE
"PHENO_0004","TPL_001","injected_rate_pulse","TPL_001_EVENT_006","TPL_001_STATE_004",96,101,54.4900157145063,55.1080732309628,6,7,0.618057516456519,0.100512726131489,0.340378080235807,3.38641775361391,3.1511920916189,0.348565561619922,0.360020154824022,3.23990925123614,4,4,"both_sides","same_generator_run_non_event_intervals_only","clear_burst_like","INJECTED_BURST_IN_HFS_BOTH_SIDES_N06","injected_support","burst_in_hfs","both_sides",6,"none","injected_burst","eligible","S0056",4,0.4,"development",21.7960062858025,22.0432292923851,0.247223006582608,0.0402050904525956,0.136151232094323,"observable_primary_positive",TRUE
