"Template_ID","Composite_HFS_Regime_ID","Left_State_Envelope_ID","Canonical_Pause_Event_ID","Right_State_Envelope_ID","Start_u","End_u","Relationship","Continuous_HFS_State","Sample_ID","Scale_Factor","B_s","Split","Start_s","End_s"
"TPL_001","TPL_001_REGIME_01","TPL_001_STATE_004","TPL_001_EVENT_007","TPL_001_STATE_005",51.8847260243601,73.7933070268073,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0015",1,0.1,"development",5.18847260243601,7.37933070268073
"TPL_001","TPL_001_REGIME_01","TPL_001_STATE_004","TPL_001_EVENT_007","TPL_001_STATE_005",51.8847260243601,73.7933070268073,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0056",4,0.4,"development",20.7538904097441,29.5173228107229
"TPL_001","TPL_001_REGIME_01","TPL_001_STATE_004","TPL_001_EVENT_007","TPL_001_STATE_005",51.8847260243601,73.7933070268073,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0007",10,1,"development",51.8847260243601,73.7933070268073
"TPL_003","TPL_003_REGIME_01","TPL_003_STATE_001","TPL_003_EVENT_002","TPL_003_STATE_002",0,22.0892248882414,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0058",1,0.1,"development",0,2.20892248882414
"TPL_003","TPL_003_REGIME_01","TPL_003_STATE_001","TPL_003_EVENT_002","TPL_003_STATE_002",0,22.0892248882414,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0049",4,0.4,"development",0,8.83568995529654
"TPL_003","TPL_003_REGIME_01","TPL_003_STATE_001","TPL_003_EVENT_002","TPL_003_STATE_002",0,22.0892248882414,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0040",10,1,"development",0,22.0892248882414
"TPL_006","TPL_006_REGIME_01","TPL_006_STATE_004","TPL_006_EVENT_007","TPL_006_STATE_005",51.2942374260685,71.885149173853,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0045",1,0.1,"holdout",5.12942374260685,7.1885149173853
"TPL_006","TPL_006_REGIME_01","TPL_006_STATE_004","TPL_006_EVENT_007","TPL_006_STATE_005",51.2942374260685,71.885149173853,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0035",4,0.4,"holdout",20.5176949704274,28.7540596695412
"TPL_006","TPL_006_REGIME_01","TPL_006_STATE_004","TPL_006_EVENT_007","TPL_006_STATE_005",51.2942374260685,71.885149173853,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0004",10,1,"holdout",51.2942374260685,71.885149173853
"TPL_008","TPL_008_REGIME_01","TPL_008_STATE_002","TPL_008_EVENT_005","TPL_008_STATE_003",20.9928238329083,42.2299033255372,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0026",1,0.1,"holdout",2.09928238329083,4.22299033255372
"TPL_008","TPL_008_REGIME_01","TPL_008_STATE_002","TPL_008_EVENT_005","TPL_008_STATE_003",20.9928238329083,42.2299033255372,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0001",4,0.4,"holdout",8.39712953316334,16.8919613302149
"TPL_008","TPL_008_REGIME_01","TPL_008_STATE_002","TPL_008_EVENT_005","TPL_008_STATE_003",20.9928238329083,42.2299033255372,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0054",10,1,"holdout",20.9928238329083,42.2299033255372
"TPL_010","TPL_010_REGIME_01","TPL_010_STATE_004","TPL_010_EVENT_007","TPL_010_STATE_005",54.1666101861306,75.8046840275083,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0036",1,0.1,"holdout",5.41666101861306,7.58046840275084
"TPL_010","TPL_010_REGIME_01","TPL_010_STATE_004","TPL_010_EVENT_007","TPL_010_STATE_005",54.1666101861306,75.8046840275083,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0027",4,0.4,"holdout",21.6666440744523,30.3218736110033
"TPL_010","TPL_010_REGIME_01","TPL_010_STATE_004","TPL_010_EVENT_007","TPL_010_STATE_005",54.1666101861306,75.8046840275083,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0002",10,1,"holdout",54.1666101861306,75.8046840275083
"TPL_012","TPL_012_REGIME_01","TPL_012_STATE_004","TPL_012_EVENT_007","TPL_012_STATE_005",49.0082444953674,68.416547525898,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0016",1,0.1,"holdout",4.90082444953674,6.84165475258981
"TPL_012","TPL_012_REGIME_01","TPL_012_STATE_004","TPL_012_EVENT_007","TPL_012_STATE_005",49.0082444953674,68.416547525898,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0031",4,0.4,"holdout",19.6032977981469,27.3666190103592
"TPL_012","TPL_012_REGIME_01","TPL_012_STATE_004","TPL_012_EVENT_007","TPL_012_STATE_005",49.0082444953674,68.416547525898,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0057",10,1,"holdout",49.0082444953674,68.416547525898
"TPL_014","TPL_014_REGIME_01","TPL_014_STATE_001","TPL_014_EVENT_002","TPL_014_STATE_002",0,20.8515070136778,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0033",1,0.1,"holdout",0,2.08515070136778
"TPL_014","TPL_014_REGIME_01","TPL_014_STATE_001","TPL_014_EVENT_002","TPL_014_STATE_002",0,20.8515070136778,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0051",4,0.4,"holdout",0,8.3406028054711
"TPL_014","TPL_014_REGIME_01","TPL_014_STATE_001","TPL_014_EVENT_002","TPL_014_STATE_002",0,20.8515070136778,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0019",10,1,"holdout",0,20.8515070136778
"TPL_016","TPL_016_REGIME_01","TPL_016_STATE_004","TPL_016_EVENT_007","TPL_016_STATE_005",45.1536870802649,64.8699245232805,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0010",1,0.1,"holdout",4.51536870802649,6.48699245232805
"TPL_016","TPL_016_REGIME_01","TPL_016_STATE_004","TPL_016_EVENT_007","TPL_016_STATE_005",45.1536870802649,64.8699245232805,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0024",4,0.4,"holdout",18.061474832106,25.9479698093122
"TPL_016","TPL_016_REGIME_01","TPL_016_STATE_004","TPL_016_EVENT_007","TPL_016_STATE_005",45.1536870802649,64.8699245232805,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0060",10,1,"holdout",45.1536870802649,64.8699245232805
"TPL_018","TPL_018_REGIME_01","TPL_018_STATE_004","TPL_018_EVENT_007","TPL_018_STATE_005",39.1281359827203,61.5862430156376,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0023",1,0.1,"holdout",3.91281359827203,6.15862430156376
"TPL_018","TPL_018_REGIME_01","TPL_018_STATE_004","TPL_018_EVENT_007","TPL_018_STATE_005",39.1281359827203,61.5862430156376,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0017",4,0.4,"holdout",15.6512543930881,24.634497206255
"TPL_018","TPL_018_REGIME_01","TPL_018_STATE_004","TPL_018_EVENT_007","TPL_018_STATE_005",39.1281359827203,61.5862430156376,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0032",10,1,"holdout",39.1281359827203,61.5862430156376
"TPL_020","TPL_020_REGIME_01","TPL_020_STATE_004","TPL_020_EVENT_007","TPL_020_STATE_005",47.5332016204769,64.4031889213139,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0021",1,0.1,"holdout",4.75332016204769,6.44031889213139
"TPL_020","TPL_020_REGIME_01","TPL_020_STATE_004","TPL_020_EVENT_007","TPL_020_STATE_005",47.5332016204769,64.4031889213139,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0020",4,0.4,"holdout",19.0132806481908,25.7612755685256
"TPL_020","TPL_020_REGIME_01","TPL_020_STATE_004","TPL_020_EVENT_007","TPL_020_STATE_005",47.5332016204769,64.4031889213139,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0003",10,1,"holdout",47.5332016204769,64.4031889213139
