"Template_ID","Left_Burst_Event_ID","Contextual_Separator_ID","Right_Burst_Event_ID","Left_Local_Median_ISI_u","Right_Local_Median_ISI_u","Separator_ISI_u","Primary_Pause_Truth","Secondary_Scoring_Target","Sample_ID","Scale_Factor","B_s","Split","Left_Local_Median_ISI_s","Right_Local_Median_ISI_s","Separator_ISI_s"
"TPL_001","TPL_001_EVENT_003","TPL_001_SEPARATOR_001","TPL_001_EVENT_004",0.16922292985782,0.128755807675501,0.623296550379503,FALSE,TRUE,"S0015",1,0.1,"development",0.0169222929857821,0.0128755807675501,0.0623296550379503
"TPL_001","TPL_001_EVENT_003","TPL_001_SEPARATOR_001","TPL_001_EVENT_004",0.16922292985782,0.128755807675501,0.623296550379503,FALSE,TRUE,"S0056",4,0.4,"development",0.0676891719431282,0.0515023230702003,0.249318620151801
"TPL_001","TPL_001_EVENT_003","TPL_001_SEPARATOR_001","TPL_001_EVENT_004",0.16922292985782,0.128755807675501,0.623296550379503,FALSE,TRUE,"S0007",10,1,"development",0.16922292985782,0.128755807675501,0.623296550379503
"TPL_002","TPL_002_EVENT_004","TPL_002_SEPARATOR_001","TPL_002_EVENT_005",0.108729221205519,0.108659408262278,0.624837331846356,FALSE,TRUE,"S0030",1,0.1,"development",0.0108729221205519,0.0108659408262278,0.0624837331846356
"TPL_002","TPL_002_EVENT_004","TPL_002_SEPARATOR_001","TPL_002_EVENT_005",0.108729221205519,0.108659408262278,0.624837331846356,FALSE,TRUE,"S0006",4,0.4,"development",0.0434916884822075,0.043463763304911,0.249934932738543
"TPL_002","TPL_002_EVENT_004","TPL_002_SEPARATOR_001","TPL_002_EVENT_005",0.108729221205519,0.108659408262278,0.624837331846356,FALSE,TRUE,"S0044",10,1,"development",0.108729221205519,0.108659408262278,0.624837331846356
"TPL_003","TPL_003_EVENT_004","TPL_003_SEPARATOR_001","TPL_003_EVENT_005",0.107311928700897,0.151019729134883,0.614975001655649,FALSE,TRUE,"S0058",1,0.1,"development",0.0107311928700897,0.0151019729134883,0.0614975001655649
"TPL_003","TPL_003_EVENT_004","TPL_003_SEPARATOR_001","TPL_003_EVENT_005",0.107311928700897,0.151019729134883,0.614975001655649,FALSE,TRUE,"S0049",4,0.4,"development",0.0429247714803586,0.0604078916539532,0.24599000066226
"TPL_003","TPL_003_EVENT_004","TPL_003_SEPARATOR_001","TPL_003_EVENT_005",0.107311928700897,0.151019729134883,0.614975001655649,FALSE,TRUE,"S0040",10,1,"development",0.107311928700897,0.151019729134883,0.614975001655649
"TPL_004","TPL_004_EVENT_004","TPL_004_SEPARATOR_001","TPL_004_EVENT_005",0.13198665996572,0.0715778262818196,0.527554502496441,FALSE,TRUE,"S0011",1,0.1,"development",0.013198665996572,0.00715778262818196,0.0527554502496441
"TPL_004","TPL_004_EVENT_004","TPL_004_SEPARATOR_001","TPL_004_EVENT_005",0.13198665996572,0.0715778262818196,0.527554502496441,FALSE,TRUE,"S0014",4,0.4,"development",0.0527946639862878,0.0286311305127279,0.211021800998576
"TPL_004","TPL_004_EVENT_004","TPL_004_SEPARATOR_001","TPL_004_EVENT_005",0.13198665996572,0.0715778262818196,0.527554502496441,FALSE,TRUE,"S0055",10,1,"development",0.13198665996572,0.0715778262818196,0.527554502496441
"TPL_005","TPL_005_EVENT_006","TPL_005_SEPARATOR_001","TPL_005_EVENT_007",0.149235105453133,0.15149510571297,0.53465510210634,FALSE,TRUE,"S0028",1,0.1,"development",0.0149235105453133,0.015149510571297,0.053465510210634
"TPL_005","TPL_005_EVENT_006","TPL_005_SEPARATOR_001","TPL_005_EVENT_007",0.149235105453133,0.15149510571297,0.53465510210634,FALSE,TRUE,"S0052",4,0.4,"development",0.0596940421812531,0.0605980422851881,0.213862040842536
"TPL_005","TPL_005_EVENT_006","TPL_005_SEPARATOR_001","TPL_005_EVENT_007",0.149235105453133,0.15149510571297,0.53465510210634,FALSE,TRUE,"S0009",10,1,"development",0.149235105453133,0.15149510571297,0.53465510210634
"TPL_006","TPL_006_EVENT_004","TPL_006_SEPARATOR_001","TPL_006_EVENT_005",0.118029312743615,0.0824555207756177,0.508478683838621,FALSE,TRUE,"S0045",1,0.1,"holdout",0.0118029312743615,0.00824555207756177,0.0508478683838621
"TPL_006","TPL_006_EVENT_004","TPL_006_SEPARATOR_001","TPL_006_EVENT_005",0.118029312743615,0.0824555207756177,0.508478683838621,FALSE,TRUE,"S0035",4,0.4,"holdout",0.047211725097446,0.0329822083102471,0.203391473535448
"TPL_006","TPL_006_EVENT_004","TPL_006_SEPARATOR_001","TPL_006_EVENT_005",0.118029312743615,0.0824555207756177,0.508478683838621,FALSE,TRUE,"S0004",10,1,"holdout",0.118029312743615,0.0824555207756177,0.508478683838621
