"Phenotype_Evidence_ID","Template_ID","Candidate_Origin","Mechanism_Event_ID","State_Envelope_ID","Start_Interval_Index","End_Interval_Index","Start_u","End_u","N_ISIs","N_Spikes","Duration_u","Internal_Median_ISI_u","Flank_Median_ISI_u","Median_Contrast","Mean_Rate_Ratio","Internal_CV","Compactness","Evidence_Score","Left_Flank_N_Used","Right_Flank_N_Used","Flank_Pattern","Flank_Source_Contract","Phenotype_Label","Phenotype_Threshold_Set_ID","Phenotype_Threshold_Purpose","Phenotype_Null_Context","Phenotype_Null_Flank_Pattern","Phenotype_Null_Window_N_ISIs","Ambiguity_Reason","Mechanism_Estimand_Role","Phenotype_Estimand_Eligibility","Sample_ID","Scale_Factor","B_s","Split","Start_s","End_s","Duration_s","Internal_Median_ISI_s","Flank_Median_ISI_s","Scoring_Role","Primary_Observable_Burst_Positive"
"PHENO_0101","TPL_001","null_model_burst_like_excursion","none","TPL_001_STATE_003",83,85,49.0484452762753,49.6976331014678,3,4,0.649187825192547,0.143051064181572,0.411671621161796,2.87779488756037,1.69554899048041,0.922787972687365,0.711046559485188,1.87054270311308,4,0,"left_only","within_HFS_state_scan_window","no_burst_evidence","NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",3,"none","mechanism_negative_null_excursion_audit","eligible","S0015",1,0.1,"development",4.90484452762753,4.96976331014678,0.0649187825192547,0.0143051064181572,0.0411671621161796,"null_model_no_excursion",FALSE
"PHENO_0101","TPL_001","null_model_burst_like_excursion","none","TPL_001_STATE_003",83,85,49.0484452762753,49.6976331014678,3,4,0.649187825192547,0.143051064181572,0.411671621161796,2.87779488756037,1.69554899048041,0.922787972687365,0.711046559485188,1.87054270311308,4,0,"left_only","within_HFS_state_scan_window","no_burst_evidence","NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",3,"none","mechanism_negative_null_excursion_audit","eligible","S0056",4,0.4,"development",19.6193781105101,19.8790532405871,0.259675130077019,0.0572204256726286,0.164668648464719,"null_model_no_excursion",FALSE
"PHENO_0101","TPL_001","null_model_burst_like_excursion","none","TPL_001_STATE_003",83,85,49.0484452762753,49.6976331014678,3,4,0.649187825192547,0.143051064181572,0.411671621161796,2.87779488756037,1.69554899048041,0.922787972687365,0.711046559485188,1.87054270311308,4,0,"left_only","within_HFS_state_scan_window","no_burst_evidence","NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",3,"none","mechanism_negative_null_excursion_audit","eligible","S0007",10,1,"development",49.0484452762753,49.6976331014678,0.649187825192547,0.143051064181572,0.411671621161796,"null_model_no_excursion",FALSE
"PHENO_0102","TPL_002","null_model_burst_like_excursion","none","TPL_002_STATE_001",18,24,5.90899792930922,7.64511324303056,7,8,1.73611531372135,0.224984617183035,0.416073951397836,1.84934399785805,1.64897783999049,0.259693587594576,0.681247736913792,1.72575941511801,4,4,"both_sides","within_HFS_state_scan_window","no_burst_evidence","NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",7,"none","mechanism_negative_null_excursion_audit","eligible","S0030",1,0.1,"development",0.590899792930922,0.764511324303056,0.173611531372135,0.0224984617183035,0.0416073951397836,"null_model_no_excursion",FALSE
"PHENO_0102","TPL_002","null_model_burst_like_excursion","none","TPL_002_STATE_001",18,24,5.90899792930922,7.64511324303056,7,8,1.73611531372135,0.224984617183035,0.416073951397836,1.84934399785805,1.64897783999049,0.259693587594576,0.681247736913792,1.72575941511801,4,4,"both_sides","within_HFS_state_scan_window","no_burst_evidence","NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",7,"none","mechanism_negative_null_excursion_audit","eligible","S0006",4,0.4,"development",2.36359917172369,3.05804529721222,0.694446125488538,0.0899938468732138,0.166429580559134,"null_model_no_excursion",FALSE
"PHENO_0102","TPL_002","null_model_burst_like_excursion","none","TPL_002_STATE_001",18,24,5.90899792930922,7.64511324303056,7,8,1.73611531372135,0.224984617183035,0.416073951397836,1.84934399785805,1.64897783999049,0.259693587594576,0.681247736913792,1.72575941511801,4,4,"both_sides","within_HFS_state_scan_window","no_burst_evidence","NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",7,"none","mechanism_negative_null_excursion_audit","eligible","S0044",10,1,"development",5.90899792930922,7.64511324303056,1.73611531372135,0.224984617183035,0.416073951397836,"null_model_no_excursion",FALSE
"PHENO_0103","TPL_003","null_model_burst_like_excursion","none","TPL_003_STATE_004",129,136,48.7488920412386,49.9283235716675,8,9,1.17943153042882,0.163331714564406,0.269890732139481,1.6524086143298,1.76546437147953,0.399843808318728,0.70529847289862,1.52265129768863,4,4,"both_sides","within_HFS_state_scan_window","no_burst_evidence","NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",8,"none","mechanism_negative_null_excursion_audit","eligible","S0058",1,0.1,"development",4.87488920412386,4.99283235716675,0.117943153042882,0.0163331714564406,0.0269890732139481,"null_model_no_excursion",FALSE
"PHENO_0103","TPL_003","null_model_burst_like_excursion","none","TPL_003_STATE_004",129,136,48.7488920412386,49.9283235716675,8,9,1.17943153042882,0.163331714564406,0.269890732139481,1.6524086143298,1.76546437147953,0.399843808318728,0.70529847289862,1.52265129768863,4,4,"both_sides","within_HFS_state_scan_window","no_burst_evidence","NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",8,"none","mechanism_negative_null_excursion_audit","eligible","S0049",4,0.4,"development",19.4995568164955,19.971329428667,0.471772612171528,0.0653326858257625,0.107956292855793,"null_model_no_excursion",FALSE
"PHENO_0103","TPL_003","null_model_burst_like_excursion","none","TPL_003_STATE_004",129,136,48.7488920412386,49.9283235716675,8,9,1.17943153042882,0.163331714564406,0.269890732139481,1.6524086143298,1.76546437147953,0.399843808318728,0.70529847289862,1.52265129768863,4,4,"both_sides","within_HFS_state_scan_window","no_burst_evidence","NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",8,"none","mechanism_negative_null_excursion_audit","eligible","S0040",10,1,"development",48.7488920412386,49.9283235716675,1.17943153042882,0.163331714564406,0.269890732139481,"null_model_no_excursion",FALSE
"PHENO_0104","TPL_004","null_model_burst_like_excursion","none","TPL_004_STATE_001",1,7,0,2.17082380269657,7,8,2.17082380269657,0.254701823443232,0.409588769703699,1.60811086535071,1.3501378150983,0.377668243976748,0.869236621406417,1.29417576448309,0,4,"right_only","within_HFS_state_scan_window","no_burst_evidence","NULL_SCAN_BROAD_HFS","null_scan","broad_hfs","scan_both_sides",7,"none","mechanism_negative_null_excursion_audit","eligible","S0011",1,0.1,"development",0,0.217082380269657,0.217082380269657,0.0254701823443232,0.0409588769703699,"null_model_no_excursion",FALSE
