"Template_ID","State_Envelope_ID","Run_ID","State_Label","Tonic_Subtype","Start_u","End_u","Duration_u","N_Boundary_Spikes","N_ISIs","Renewal_Family","Regularity_Regime","Mean_ISI_Parameter_u","Gamma_Shape","Refractory_u","Observed_Mean_ISI_u","CV","CV2","LV","Contains_Injected_Burst","Burst_Strength_Stratum","Tonic_Intended_Stratum","Tonic_Rate_Overlap_Stratum","HFS_Rate_Overlap_Stratum","HFS_Support_Contract_Version","Composite_HFS_Regime_ID","Boundary_Observability","Start_Boundary_Observability","End_Boundary_Observability","Start_Boundary_Contrast","End_Boundary_Contrast","Start_Hard_Cut_Reason","End_Hard_Cut_Reason","Tonic_Phenotype_Evidence_Score","Tonic_Phenotype","Eligibility_Reason","Sample_ID","Scale_Factor","B_s","Split","Start_s","End_s","Duration_s","Mean_ISI_Parameter_s","Refractory_s","Observed_Mean_ISI_s"
"TPL_001","TPL_001_STATE_001","TPL_001_RUN_001","Tonic","generic_stress",0,12.8257610398382,12.8257610398382,13,12,"shifted_gamma","generic_stress",0.963091246765107,15.3015535734594,0.02,1.06881341998652,0.234500723674635,0.30509725072384,0.0937908613231705,FALSE,"none","eligible","core","not_applicable","not_applicable","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.652548383680127,"eligible","pre_frozen_timestamp_evidence_contract_met","S0015",1,0.1,"development",0,1.28257610398382,1.28257610398382,0.0963091246765107,0.002,0.106881341998652
"TPL_001","TPL_001_STATE_002","TPL_001_RUN_004","Tonic","stn_like_empirical",16.5218306627834,23.418889242705,6.89705857992156,16,15,"shifted_gamma","stn_like_empirical",0.471605431428179,49.0355913806707,0.02,0.459803905328104,0.162327408125263,0.154382292523751,0.0285546806196312,FALSE,"none","eligible","boundary","not_applicable","not_applicable","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.875791398554017,"eligible","pre_frozen_timestamp_evidence_contract_met","S0015",1,0.1,"development",1.65218306627834,2.3418889242705,0.689705857992156,0.0471605431428179,0.002,0.0459803905328104
"TPL_001","TPL_001_STATE_003","TPL_001_RUN_010","Broad_HFS","none",42.0762141064265,49.6976331014678,7.62141899504136,23,22,"shifted_gamma","irregular",0.400550139686093,1.58736596780363,0.02,0.346428136138243,0.522841389835867,0.585480848421635,0.375656312143157,FALSE,"none","not_applicable","not_applicable","deep","v2.3_slow_overlap_direct_support_0.65B","none","clear_or_hard_cut","clear","clear",1.87388900193586,6.60895804943355,"none","none",,"not_applicable","not_applicable","S0015",1,0.1,"development",4.20762141064265,4.96976331014678,0.762141899504136,0.0400550139686093,0.002,0.0346428136138243
"TPL_001","TPL_001_STATE_004","TPL_001_RUN_013","Broad_HFS","none",51.8847260243601,59.0914650309211,7.20673900656092,30,29,"shifted_gamma","regular",0.279366957703605,9.38826837670058,0.02,0.248508241605549,0.457514159143588,0.427803995885316,0.236085210281045,TRUE,"weak","not_applicable","not_applicable","core","v2.3_slow_overlap_direct_support_0.65B","TPL_001_REGIME_01","clear_or_hard_cut","clear","hard_cut_canonical_pause",3.15883331124797,2.25608034469271,"none","canonical_pause",,"not_applicable","not_applicable","S0015",1,0.1,"development",5.18847260243601,5.90914650309211,0.720673900656092,0.0279366957703605,0.002,0.0248508241605549
"TPL_001","TPL_001_STATE_005","TPL_001_RUN_015","Broad_HFS","none",62.628301259953,73.7933070268073,11.1650057668544,35,34,"shifted_gamma","intermediate",0.35658081093803,3.5223484987393,0.02,0.32838252255454,0.561734907789286,0.528017581975603,0.314754863521814,TRUE,"moderate","not_applicable","not_applicable","boundary","v2.3_slow_overlap_direct_support_0.65B","TPL_001_REGIME_01","ambiguous_or_edge","hard_cut_canonical_pause","recording_edge_unobservable",0.443246625658717,,"canonical_pause","none",,"not_applicable","not_applicable","S0015",1,0.1,"development",6.2628301259953,7.37933070268073,1.11650057668544,0.035658081093803,0.002,0.032838252255454
"TPL_001","TPL_001_STATE_001","TPL_001_RUN_001","Tonic","generic_stress",0,12.8257610398382,12.8257610398382,13,12,"shifted_gamma","generic_stress",0.963091246765107,15.3015535734594,0.02,1.06881341998652,0.234500723674635,0.30509725072384,0.0937908613231705,FALSE,"none","eligible","core","not_applicable","not_applicable","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.652548383680127,"eligible","pre_frozen_timestamp_evidence_contract_met","S0056",4,0.4,"development",0,5.13030441593528,5.13030441593528,0.385236498706043,0.008,0.427525367994607
"TPL_001","TPL_001_STATE_002","TPL_001_RUN_004","Tonic","stn_like_empirical",16.5218306627834,23.418889242705,6.89705857992156,16,15,"shifted_gamma","stn_like_empirical",0.471605431428179,49.0355913806707,0.02,0.459803905328104,0.162327408125263,0.154382292523751,0.0285546806196312,FALSE,"none","eligible","boundary","not_applicable","not_applicable","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.875791398554017,"eligible","pre_frozen_timestamp_evidence_contract_met","S0056",4,0.4,"development",6.60873226511336,9.36755569708199,2.75882343196863,0.188642172571272,0.008,0.183921562131242
"TPL_001","TPL_001_STATE_003","TPL_001_RUN_010","Broad_HFS","none",42.0762141064265,49.6976331014678,7.62141899504136,23,22,"shifted_gamma","irregular",0.400550139686093,1.58736596780363,0.02,0.346428136138243,0.522841389835867,0.585480848421635,0.375656312143157,FALSE,"none","not_applicable","not_applicable","deep","v2.3_slow_overlap_direct_support_0.65B","none","clear_or_hard_cut","clear","clear",1.87388900193586,6.60895804943355,"none","none",,"not_applicable","not_applicable","S0056",4,0.4,"development",16.8304856425706,19.8790532405871,3.04856759801654,0.160220055874437,0.008,0.138571254455297
"TPL_001","TPL_001_STATE_004","TPL_001_RUN_013","Broad_HFS","none",51.8847260243601,59.0914650309211,7.20673900656092,30,29,"shifted_gamma","regular",0.279366957703605,9.38826837670058,0.02,0.248508241605549,0.457514159143588,0.427803995885316,0.236085210281045,TRUE,"weak","not_applicable","not_applicable","core","v2.3_slow_overlap_direct_support_0.65B","TPL_001_REGIME_01","clear_or_hard_cut","clear","hard_cut_canonical_pause",3.15883331124797,2.25608034469271,"none","canonical_pause",,"not_applicable","not_applicable","S0056",4,0.4,"development",20.7538904097441,23.6365860123684,2.88269560262437,0.111746783081442,0.008,0.0994032966422195
"TPL_001","TPL_001_STATE_005","TPL_001_RUN_015","Broad_HFS","none",62.628301259953,73.7933070268073,11.1650057668544,35,34,"shifted_gamma","intermediate",0.35658081093803,3.5223484987393,0.02,0.32838252255454,0.561734907789286,0.528017581975603,0.314754863521814,TRUE,"moderate","not_applicable","not_applicable","boundary","v2.3_slow_overlap_direct_support_0.65B","TPL_001_REGIME_01","ambiguous_or_edge","hard_cut_canonical_pause","recording_edge_unobservable",0.443246625658717,,"canonical_pause","none",,"not_applicable","not_applicable","S0056",4,0.4,"development",25.0513205039812,29.5173228107229,4.46600230674174,0.142632324375212,0.008,0.131353009021816
