"Template_ID","Transition_ID","Boundary_u","Left_Run_ID","Right_Run_ID","Left_Descriptor","Right_Descriptor","Direct_Target_Boundary","Transition_Type","Sample_ID","Scale_Factor","B_s","Split","Boundary_s"
"TPL_001","TPL_001_TRANS_001",12.8257610398382,"TPL_001_RUN_001","TPL_001_RUN_002","Tonic:generic_stress","Pause:canonical",TRUE,"Tonic:generic_stress -> Pause:canonical","S0015",1,0.1,"development",1.28257610398382
"TPL_001","TPL_001_TRANS_002",15.9670527160205,"TPL_001_RUN_002","TPL_001_RUN_003","Pause:canonical","Background",FALSE,"Pause:canonical -> Background","S0015",1,0.1,"development",1.59670527160205
"TPL_001","TPL_001_TRANS_003",16.5218306627834,"TPL_001_RUN_003","TPL_001_RUN_004","Background","Tonic:stn_like_empirical",FALSE,"Background -> Tonic:stn_like_empirical","S0015",1,0.1,"development",1.65218306627834
"TPL_001","TPL_001_TRANS_004",23.418889242705,"TPL_001_RUN_004","TPL_001_RUN_005","Tonic:stn_like_empirical","Pause:complex_multi_gap",TRUE,"Tonic:stn_like_empirical -> Pause:complex_multi_gap","S0015",1,0.1,"development",2.3418889242705
"TPL_001","TPL_001_TRANS_005",28.6735463044755,"TPL_001_RUN_005","TPL_001_RUN_006","Pause:complex_multi_gap","Burst",TRUE,"Pause:complex_multi_gap -> Burst","S0015",1,0.1,"development",2.86735463044755
"TPL_001","TPL_001_TRANS_006",32.0471790575168,"TPL_001_RUN_006","TPL_001_RUN_007","Burst","Contextual_Separator",TRUE,"Burst -> Contextual_Separator","S0015",1,0.1,"development",3.20471790575168
"TPL_001","TPL_001_TRANS_007",32.6704756078963,"TPL_001_RUN_007","TPL_001_RUN_008","Contextual_Separator","Burst",TRUE,"Contextual_Separator -> Burst","S0015",1,0.1,"development",3.26704756078963
"TPL_001","TPL_001_TRANS_008",36.6001193505121,"TPL_001_RUN_008","TPL_001_RUN_009","Burst","Burst",TRUE,"Burst -> Burst","S0015",1,0.1,"development",3.66001193505121
"TPL_001","TPL_001_TRANS_009",42.0762141064265,"TPL_001_RUN_009","TPL_001_RUN_010","Burst","Broad_HFS",TRUE,"Burst -> Broad_HFS","S0015",1,0.1,"development",4.20762141064265
"TPL_001","TPL_001_TRANS_010",49.6976331014678,"TPL_001_RUN_010","TPL_001_RUN_011","Broad_HFS","Background",FALSE,"Broad_HFS -> Background","S0015",1,0.1,"development",4.96976331014678
"TPL_001","TPL_001_TRANS_011",50.6430515835706,"TPL_001_RUN_011","TPL_001_RUN_012","Background","Borderline_Gap",FALSE,"Background -> Borderline_Gap","S0015",1,0.1,"development",5.06430515835707
"TPL_001","TPL_001_TRANS_012",51.8847260243601,"TPL_001_RUN_012","TPL_001_RUN_013","Borderline_Gap","Burst",TRUE,"Borderline_Gap -> Burst","S0015",1,0.1,"development",5.18847260243601
"TPL_001","TPL_001_TRANS_013",59.0914650309211,"TPL_001_RUN_013","TPL_001_RUN_014","Burst","Pause:canonical",TRUE,"Burst -> Pause:canonical","S0015",1,0.1,"development",5.90914650309211
"TPL_001","TPL_001_TRANS_014",62.628301259953,"TPL_001_RUN_014","TPL_001_RUN_015","Pause:canonical","Burst",TRUE,"Pause:canonical -> Burst","S0015",1,0.1,"development",6.2628301259953
"TPL_001","TPL_001_TRANS_001",12.8257610398382,"TPL_001_RUN_001","TPL_001_RUN_002","Tonic:generic_stress","Pause:canonical",TRUE,"Tonic:generic_stress -> Pause:canonical","S0056",4,0.4,"development",5.13030441593528
"TPL_001","TPL_001_TRANS_002",15.9670527160205,"TPL_001_RUN_002","TPL_001_RUN_003","Pause:canonical","Background",FALSE,"Pause:canonical -> Background","S0056",4,0.4,"development",6.3868210864082
"TPL_001","TPL_001_TRANS_003",16.5218306627834,"TPL_001_RUN_003","TPL_001_RUN_004","Background","Tonic:stn_like_empirical",FALSE,"Background -> Tonic:stn_like_empirical","S0056",4,0.4,"development",6.60873226511336
"TPL_001","TPL_001_TRANS_004",23.418889242705,"TPL_001_RUN_004","TPL_001_RUN_005","Tonic:stn_like_empirical","Pause:complex_multi_gap",TRUE,"Tonic:stn_like_empirical -> Pause:complex_multi_gap","S0056",4,0.4,"development",9.36755569708199
