LT1D00.83_fon1_1_nw_minus_7_08_minus_1_1,LT1D00.83_fon1_2_nw_minus_7_08_minus_1_2,LT1D01.96_fon_nw_minus_7_08_minus_1_1,LT1D01.96_fon_nw_minus_7_08_minus_1_2
0.000945,30.036069,7.091929,7.069415
0.052792,30.044696,7.264561,7.103596
0.058379,30.10854,7.274996,7.112142
0.06409,30.123494,7.415583,7.122536
0.146873,30.133025,7.425074,7.15228
0.153241,30.145063,7.433372,7.163373
0.15776,30.154347,7.516155,7.16896
0.16154,30.220985,7.520387,7.206058
0.165402,30.234213,7.551199,7.22623
0.169551,30.284664,7.672026,7.273723
0.175919,30.2921,7.681639,7.279474
0.181095,30.29781,7.710397,7.298455
0.184916,30.304384,7.716683,7.331732
0.232984,30.311368,7.901887,7.339168
0.244405,30.31675,7.9115,7.351206
0.251594,30.324145,7.926167,7.355889
0.336062,30.331376,8.050937,7.48522
0.34206,30.379361,8.06092,7.588873
0.353276,30.398054,8.068315,7.594542
0.363382,30.463869,8.073903,7.603499
0.427678,30.469087,8.078504,7.651484
0.433922,30.474263,8.083064,7.674819
0.44218,30.479234,8.086803,7.812654
0.451095,30.485356,8.245385,7.834551
0.512925,30.528411,8.253766,7.838783
0.519252,30.545502,8.273034,7.845479
0.525086,30.555855,8.285852,7.981054
0.530139,30.605566,8.292261,8.021521
0.535727,30.609838,8.323813,8.062851
0.54115,30.612961,8.434861,8.07078
0.594805,30.618918,8.448254,8.16975
0.600803,30.624053,8.46099,8.211121
0.619126,30.628819,8.648207,8.260134
0.69246,30.633913,8.719199,8.357953
0.766122,30.643445,8.725567,8.372743
0.837525,30.694881,8.847872,8.373893
0.84418,30.71078,8.859087,8.429027
0.851165,30.731199,8.869933,8.437203
0.860696,30.775938,8.886531,8.477588
0.872158,30.787154,8.891872,8.519698
0.927004,30.789742,8.977654,8.609753
0.934071,30.791057,9.03402,8.626884
0.940562,30.798657,9.104232,8.63165
1.013403,30.806669,9.12465,8.636046
1.019976,30.810531,9.297734,8.63732
1.025399,30.885672,9.304595,8.690728
1.029795,30.895614,9.312072,8.695863
1.035013,30.904858,9.526568,8.70371
1.041504,30.960361,9.538236,8.708517
1.046269,30.966401,9.572459,8.713406
1.10506,30.979095,9.594109,8.722321
1.114057,30.986573,9.603066,8.723636
1.119357,30.999596,9.608776,8.72988
1.124122,31.007073,9.615062,8.804488
1.198606,31.049964,9.625374,8.822893
1.208097,31.057359,9.630181,8.832465
1.21656,31.063357,9.636631,8.871988
1.228679,31.072807,9.795993,8.877904
1.291537,31.077942,9.934567,8.88271
1.340549,31.146181,9.972364,8.884272
1.352176,31.15448,10.060529,8.888873
1.359078,31.159451,10.131849,8.898979
1.363104,31.203657,10.146804,8.953949
1.368732,31.204684,10.153213,8.965329
1.376579,31.212202,10.396179,8.97104
1.467538,31.224733,10.412818,8.972806
1.507635,31.231511,10.60554,8.985337
1.534873,31.237633,10.612565,8.992197
1.560551,31.289973,10.618974,9.040553
1.615643,31.299135,10.625342,9.047331
1.629694,31.309693,10.710344,9.052467
1.634829,31.314048,10.712562,9.071981
1.647524,31.324031,10.721436,9.149177
1.686183,31.364375,10.72953,9.179866
1.719872,31.37025,10.869213,9.21565
1.725295,31.377193,10.881374,9.223414
1.765146,31.382041,10.888686,9.240094
1.770158,31.392887,10.968306,9.258294
1.773896,31.397447,10.972702,9.26421
1.779155,31.402665,10.97907,9.272673
1.796862,31.410512,11.044557,9.274645
1.801997,31.492144,11.101621,9.291407
1.809023,31.500936,11.110208,9.296009
1.850558,31.560959,11.118466,9.306773
1.85709,31.566176,11.123806,9.31121
1.861445,31.571435,11.127833,9.425175
1.865635,31.577844,11.132475,9.443868
1.86921,31.739877,11.136789,9.456686
1.874715,31.796079,11.148374,9.462478
1.880302,31.807459,11.157864,9.473612
1.884452,31.813539,11.201125,9.487046
1.888889,31.819126,11.215628,9.596492
1.94546,31.821263,11.219489,9.60627
1.954334,31.826809,11.413526,9.610995
2.010865,31.876684,11.424906,9.643492
2.028531,31.887941,11.433945,9.777957
2.096195,31.89813,11.451775,9.824258
2.107329,31.91481,11.464716,9.926309
2.190851,31.91974,11.469564,9.927254
2.196644,31.946156,11.470509,9.94529
2.203094,31.951743,11.551813,9.965133
2.209421,31.958851,11.602386,10.061761
2.226018,31.978817,11.652426,10.069649
2.243808,31.98576,11.660355,10.075236
2.260118,32.040853,11.669557,10.14023
2.265417,32.07561,11.692893,10.156828
2.269978,32.1291,11.74207,10.162292
2.275565,32.254938,11.929861,10.236447
2.294833,32.273672,11.94724,10.241911
2.335136,32.283861,12.106972,10.244212
2.3588,32.302965,12.163708,10.25021
2.393597,32.312455,12.17743,10.253415
2.419809,32.330943,12.253311,10.331103
2.427532,32.373341,12.259021,10.388086
2.434681,32.390308,12.265759,10.394125
2.489445,32.439567,12.280179,10.405053
2.503454,32.463601,12.289341,10.457024
2.515122,32.471365,12.295133,10.468322
2.52416,32.477651,12.460288,10.574276
2.533815,32.517009,12.76829,10.576453
