"train","pattern","n_isi"
"Train_1_Time_s","blank",13
"Train_1_Time_s","burst",38
"Train_1_Time_s","pause",5
"Train_1_Time_s","tonic",30
"Train_2_Time_s","blank",11
"Train_2_Time_s","burst",38
"Train_2_Time_s","pause",1
"Train_2_Time_s","tonic",40
"Train_3_Time_s","blank",35
"Train_3_Time_s","burst",39
"Train_3_Time_s","pause",4
"Train_3_Time_s","possible_burst",2
"Train_3_Time_s","tonic",22
"Train_4_Time_s","blank",17
"Train_4_Time_s","burst",29
"Train_4_Time_s","pause",6
"Train_4_Time_s","tonic",25
"Train_5_Time_s","blank",22
"Train_5_Time_s","burst",34
"Train_5_Time_s","pause",9
"Train_5_Time_s","possible_burst",4
"Train_5_Time_s","tonic",15
"Train_6_Time_s","blank",9
"Train_6_Time_s","burst",36
"Train_6_Time_s","pause",5
"Train_6_Time_s","tonic",29
