"train","pattern","start_isi","end_isi","n_isi","n_spikes"
"Train_1_Time_s","pause",3,3,1,2
"Train_1_Time_s","tonic",4,15,12,13
"Train_1_Time_s","pause",16,16,1,2
"Train_1_Time_s","pause",36,37,2,3
"Train_1_Time_s","tonic",47,53,7,8
"Train_1_Time_s","tonic",58,61,4,5
"Train_1_Time_s","pause",62,62,1,2
"Train_1_Time_s","tonic",63,69,7,8
"Train_2_Time_s","tonic",11,22,12,13
"Train_2_Time_s","tonic",29,50,22,23
"Train_2_Time_s","pause",51,51,1,2
"Train_2_Time_s","tonic",63,68,6,7
"Train_3_Time_s","pause",8,8,1,2
"Train_3_Time_s","tonic",13,17,5,6
"Train_3_Time_s","tonic",22,31,10,11
"Train_3_Time_s","pause",56,56,1,2
"Train_3_Time_s","pause",72,72,1,2
"Train_3_Time_s","pause",92,92,1,2
"Train_3_Time_s","tonic",96,102,7,8
"Train_4_Time_s","tonic",2,11,10,11
"Train_4_Time_s","pause",26,26,1,2
"Train_4_Time_s","pause",35,36,2,3
"Train_4_Time_s","tonic",37,40,4,5
"Train_4_Time_s","tonic",44,49,6,7
"Train_4_Time_s","pause",56,56,1,2
"Train_4_Time_s","pause",71,71,1,2
"Train_4_Time_s","tonic",72,76,5,6
"Train_4_Time_s","pause",77,77,1,2
"Train_5_Time_s","tonic",2,11,10,11
"Train_5_Time_s","tonic",13,17,5,6
"Train_5_Time_s","pause",23,23,1,2
"Train_5_Time_s","pause",33,34,2,3
"Train_5_Time_s","pause",40,41,2,3
"Train_5_Time_s","pause",44,44,1,2
"Train_5_Time_s","pause",64,66,3,4
"Train_6_Time_s","tonic",2,30,29,30
"Train_6_Time_s","pause",34,34,1,2
"Train_6_Time_s","pause",45,46,2,3
"Train_6_Time_s","pause",50,50,1,2
"Train_6_Time_s","pause",75,75,1,2
