"dataset","region","estimand","scale","variant","method","metric","observed","bootstrap_mean","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","article_default","Mean-ISI","precision",0.329277566539924,0.328996428881447,0.312212696664052,0.345181509754029,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","article_default","Mean-ISI","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","article_default","Mean-ISI","f1",0.495423340961098,0.495049192904664,0.475856844422711,0.513211796266757,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","article_default","LogISI/newBD","precision",0.428571428571429,0.431615490088793,0.356538807817834,0.516591234684932,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","article_default","LogISI/newBD","recall",0.928406466512702,0.926644524234067,0.869567793117659,0.972219241773963,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","article_default","LogISI/newBD","f1",0.586433260393873,0.587921454110943,0.509053784581533,0.667662072485962,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","harmonized_4_spikes","Mean-ISI","precision",0.338545738858483,0.338746928054871,0.322711678935403,0.354420113544201,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","harmonized_4_spikes","Mean-ISI","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","harmonized_4_spikes","Mean-ISI","f1",0.505841121495327,0.506009507025057,0.487954682692584,0.523353293413174,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","harmonized_4_spikes","LogISI/newBD","precision",0.445161290322581,0.446696119378172,0.386015677822853,0.515373427968974,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","harmonized_4_spikes","LogISI/newBD","recall",0.956120092378753,0.956006354609214,0.919073849878935,0.984475463424555,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","harmonized_4_spikes","LogISI/newBD","f1",0.607483492296405,0.608248941645761,0.548959061246869,0.67387727131676,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","article_default","Mean-ISI","precision",0.327399380804954,0.32751883197204,0.304773050830813,0.34716890998678,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","article_default","Mean-ISI","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","article_default","Mean-ISI","f1",0.493294460641399,0.493331583432623,0.467166378650434,0.515405169159862,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","article_default","LogISI/newBD","precision",0.426868905742145,0.427678961178767,0.367620490620491,0.506272827916304,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","article_default","LogISI/newBD","recall",0.931442080378251,0.931676795721348,0.878426921545201,0.973855042016807,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","article_default","LogISI/newBD","f1",0.585438335809807,0.58552465146183,0.522846216803545,0.658383277033163,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","harmonized_4_spikes","Mean-ISI","precision",0.336783439490446,0.336836482669808,0.316868868621631,0.35595062150815,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","harmonized_4_spikes","Mean-ISI","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","harmonized_4_spikes","Mean-ISI","f1",0.503871351995235,0.503846424519827,0.481245889101338,0.525020033012242,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","harmonized_4_spikes","LogISI/newBD","precision",0.443956043956044,0.446308232028451,0.390600307879596,0.508997809650176,1000,"Template_ID"
