"dataset","region","estimand","scale","method","variant","iou_threshold","train_n","cluster_n","tp","fp","fn","truth_event_n","predicted_event_n","precision","recall","f1","mean_matched_iou","fragmentation_rate","merge_rate"
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.1,13,13,91,100,308,399,191,0.476439790575916,0.228070175438596,0.308474576271186,0.683649286282153,0,0.256544502617801
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.25,13,13,67,124,332,399,191,0.350785340314136,0.167919799498747,0.227118644067797,0.874137048506524,0,0.256544502617801
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.5,13,13,58,133,341,399,191,0.303664921465969,0.145363408521303,0.196610169491525,0.95617816091954,0,0.256544502617801
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.1,13,13,91,106,308,399,197,0.461928934010152,0.228070175438596,0.305369127516778,0.683649286282153,0,0.248730964467005
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.25,13,13,67,130,332,399,197,0.34010152284264,0.167919799498747,0.224832214765101,0.874137048506524,0,0.248730964467005
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.5,13,13,58,139,341,399,197,0.294416243654822,0.145363408521303,0.194630872483221,0.95617816091954,0,0.248730964467005
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","article_default",0.1,13,13,216,1037,183,399,1253,0.172386272944932,0.541353383458647,0.261501210653753,0.767401047637039,0.0100250626566416,0.019952114924182
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","article_default",0.25,13,13,209,1044,190,399,1253,0.166799680766161,0.523809523809524,0.253026634382567,0.787159120552609,0.0100250626566416,0.019952114924182
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","article_default",0.5,13,13,176,1077,223,399,1253,0.140462889066241,0.441102756892231,0.213075060532688,0.865913497802702,0.0100250626566416,0.019952114924182
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",0.1,13,13,150,711,249,399,861,0.174216027874564,0.37593984962406,0.238095238095238,0.768327349867177,0,0.0290360046457607
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",0.25,13,13,143,718,256,399,861,0.166085946573751,0.358395989974937,0.226984126984127,0.797249876824975,0,0.0290360046457607
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",0.5,13,13,123,738,276,399,861,0.142857142857143,0.308270676691729,0.195238095238095,0.866401969755628,0,0.0290360046457607
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.1,21,21,385,228,742,1127,613,0.628058727569331,0.341614906832298,0.442528735632184,0.808029801662829,0.00177462289263532,0.146818923327896
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.25,21,21,352,261,775,1127,613,0.574225122349103,0.312333629103815,0.404597701149425,0.868508957452655,0.00177462289263532,0.146818923327896
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.5,21,21,317,296,810,1127,613,0.517128874388255,0.281277728482697,0.364367816091954,0.922123224048039,0.00177462289263532,0.146818923327896
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.1,21,21,386,231,741,1127,617,0.625607779578606,0.342502218278616,0.442660550458716,0.809246765331521,0.00177462289263532,0.145867098865478
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.25,21,21,354,263,773,1127,617,0.573743922204214,0.314108251996451,0.405963302752294,0.867839415320155,0.00177462289263532,0.145867098865478
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.5,21,21,319,298,808,1127,617,0.517017828200972,0.283052351375333,0.365825688073394,0.921044081577518,0.00177462289263532,0.145867098865478
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","article_default",0.1,21,21,546,591,581,1127,1137,0.480211081794195,0.484472049689441,0.482332155477032,0.773429630109955,0.0266193433895297,0.0228671943711522
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","article_default",0.25,21,21,527,610,600,1127,1137,0.463500439753738,0.467613132209405,0.465547703180212,0.793824419240958,0.0266193433895297,0.0228671943711522
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","article_default",0.5,21,21,446,691,681,1127,1137,0.392260334212841,0.395740905057675,0.393992932862191,0.873396930742062,0.0266193433895297,0.0228671943711522
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",0.1,21,21,372,384,755,1127,756,0.492063492063492,0.330079858030169,0.395114179500797,0.807831217636211,0.00709849157054126,0.0343915343915344
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",0.25,21,21,369,387,758,1127,756,0.488095238095238,0.327417923691216,0.391927774827403,0.812976493449437,0.00709849157054126,0.0343915343915344
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",0.5,21,21,325,431,802,1127,756,0.42989417989418,0.288376220053239,0.345193839617631,0.870877018802954,0.00709849157054126,0.0343915343915344
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.1,23,23,1117,391,728,1845,1508,0.740716180371353,0.605420054200542,0.666269012824336,0.721354439257385,0.0233062330623306,0.200928381962865
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.25,23,23,1067,441,778,1845,1508,0.707559681697613,0.578319783197832,0.636444974649568,0.746249316282387,0.0233062330623306,0.200928381962865
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.5,23,23,855,653,990,1845,1508,0.566976127320955,0.463414634146341,0.509991052788548,0.841888772642747,0.0233062330623306,0.200928381962865
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.1,23,23,1147,393,698,1845,1540,0.744805194805195,0.621680216802168,0.677695716395864,0.728560471692634,0.024390243902439,0.196753246753247
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.25,23,23,1097,443,748,1845,1540,0.712337662337662,0.594579945799458,0.648153618906942,0.75310298345876,0.024390243902439,0.196753246753247
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",0.5,23,23,886,654,959,1845,1540,0.575324675324675,0.480216802168022,0.523485967503693,0.846367457422365,0.024390243902439,0.196753246753247
