"dataset","region","estimand","scale","variant","f1_difference_meanisi_minus_logisi","ci_low","ci_high","probability_meanisi_f1_greater","bootstrap_n","bootstrap_unit"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","article_default",-0.0928722612062783,-0.162842591054577,-0.0269769264765165,0.002,1000,"template_or_train"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","harmonized_4_spikes",-0.102239434620704,-0.159111819153599,-0.0498102093912359,0,1000,"template_or_train"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","article_default",-0.0921930680292064,-0.166023412685285,-0.0290640107678009,0.003,1000,"template_or_train"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","harmonized_4_spikes",-0.103934903338608,-0.164751793267884,-0.052365370750472,0,1000,"template_or_train"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","article_default",0.174248779144865,0.0789906283827834,0.28046510660277,1,1000,"template_or_train"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","harmonized_4_spikes",0.0525065227242623,-0.0165582424347862,0.125448208805272,0.917,1000,"template_or_train"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","article_default",0.149060464984468,0.0644923376428892,0.250850116181858,1,1000,"template_or_train"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","harmonized_4_spikes",0.0298314030161781,-0.0229795049794775,0.0823386508113522,0.853,1000,"template_or_train"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","article_default",0.172522072795848,0.153260264738082,0.19211206844774,1,1000,"template_or_train"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","harmonized_4_spikes",0.183720252260442,0.164044792031546,0.202509786894133,1,1000,"template_or_train"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","article_default",0.17403573652992,0.154663310565609,0.192690912795523,1,1000,"template_or_train"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","harmonized_4_spikes",0.185001235641149,0.167659829748611,0.201683181254687,1,1000,"template_or_train"
"real_GPe","GPe","reviewed_manual_reference","observed","article_default",0.0147405652100303,-0.0331993753190649,0.0655037037300564,0.688,1000,"template_or_train"
"real_GPe","GPe","reviewed_manual_reference","observed","harmonized_4_spikes",0.00198016359094003,-0.0470589670943994,0.0499664352377468,0.542,1000,"template_or_train"
"real_STN","STN","reviewed_manual_reference","observed","article_default",0.0411741942690295,-0.0171828159352067,0.101535818064031,0.908,1000,"template_or_train"
"real_STN","STN","reviewed_manual_reference","observed","harmonized_4_spikes",-0.0341817268934458,-0.105967311753215,0.0366336775730375,0.164,1000,"template_or_train"
"real_GPi","GPi","reviewed_manual_reference","observed","article_default",-0.0675374130344711,-0.112932515940903,-0.0146860947001279,0.011,1000,"template_or_train"
"real_GPi","GPi","reviewed_manual_reference","observed","harmonized_4_spikes",-0.111063061823333,-0.163257589650835,-0.0481135144492117,0,1000,"template_or_train"
