"dataset","region","train","isi_n","reviewed_isi_n","reviewed_fraction","event_reference_isi_n","burst_reference_isi_n","reference_eligible"
"real_GPe","GPe","LT1D10.651_SPK 01a",1090,1078,0.988990825688073,66,42,TRUE
"real_GPe","GPe","LT1D11.372_SPK 01a",2068,1964,0.949709864603482,188,134,TRUE
"real_GPe","GPe","LT1D11.711_SPK 01a",1387,1365,0.984138428262437,262,244,TRUE
"real_GPe","GPe","LT1D12.665_SPK 01b",2503,2503,1,76,66,TRUE
"real_GPe","GPe","LT1D13.086_SPK 01a",797,797,1,1,0,FALSE
"real_GPe","GPe","LT1D13.519_SPK 01a",471,469,0.995753715498938,32,19,TRUE
"real_GPe","GPe","RT1D10.682_SPK 01a",1430,1430,1,13,0,TRUE
"real_GPe","GPe","RT1D10.861_SPK 01a",1273,1261,0.99057344854674,19,0,TRUE
"real_GPe","GPe","RT1D11.282_SPK 01a",1767,1719,0.972835314091681,988,850,TRUE
"real_GPe","GPe","RT1D12.391_SPK 01a",3230,3230,1,6,0,FALSE
"real_GPe","GPe","RT1D12.415_SPK 01a",925,889,0.961081081081081,178,162,TRUE
"real_GPe","GPe","RT1D12.621_SPK 01a",360,339,0.941666666666667,181,137,TRUE
"real_GPe","GPe","RT1D13.043_SPK 01a",4239,4238,0.999764095305497,16,0,TRUE
"real_GPe","GPe","RT1D13.250_SPK 01a",1080,1080,1,2,0,FALSE
"real_GPe","GPe","RT1D13.657_SPK 01a",3499,3499,1,22,0,TRUE
"real_GPe","GPe","RT1D13.825_SPK 01a",2516,2516,1,33,9,TRUE
"real_STN","STN","LT1D-1.77_Fon_nw_minus_7_08_minus_1_1",522,494,0.946360153256705,494,381,TRUE
"real_STN","STN","LT1D-1.77_Fon_nw_minus_7_08_minus_1_2",353,305,0.864022662889518,303,190,TRUE
"real_STN","STN","LT1D00.83_fon1_1_nw_minus_7_08_minus_1_1",753,570,0.756972111553785,555,343,TRUE
"real_STN","STN","LT1D00.83_fon1_2_nw_minus_7_08_minus_1_2",1133,1026,0.905560458958517,956,792,TRUE
"real_STN","STN","LT1D01.96_fon_nw_minus_7_08_minus_1_1",385,322,0.836363636363636,322,210,TRUE
"real_STN","STN","LT1D01.96_fon_nw_minus_7_08_minus_1_2",439,303,0.690205011389522,303,212,TRUE
"real_STN","STN","LT1D03.44_fon1_1_nw_minus_7_09_minus_1_1",921,821,0.8914223669924,821,626,TRUE
"real_STN","STN","LT1D03.44_fon_nw_minus_7_09_minus_1_2",804,603,0.75,600,414,TRUE
"real_STN","STN","LT1D04.16_fon1_1_nw_minus_7_08_minus_1_1",730,624,0.854794520547945,622,488,TRUE
"real_STN","STN","LT1D04.16_fon1_3_nw_minus_7_08_minus_1_3",725,643,0.886896551724138,636,437,TRUE
"real_STN","STN","RT1D-0.15_fon1_1_nw_minus_7_08_minus_1_1",1382,1341,0.970332850940666,14,7,TRUE
"real_STN","STN","RT1D-0.15_fon1_2_nw_minus_7_08_minus_1_2",1435,1393,0.970731707317073,99,92,TRUE
"real_STN","STN","RT1D00.82_fon_nw_minus_7_08_minus_1_2",842,683,0.811163895486936,208,132,TRUE
