"dataset","region","scale","train","method","variant","min_spikes","threshold_sec","threshold_status","method_warning","detected_event_n","elapsed_sec"
"synthetic_v2.3_holdout","synthetic","4x","S0001","Mean-ISI","article_default",3,0.089210359124355,"resolved","complete",7,0.0180000000000007
"synthetic_v2.3_holdout","synthetic","10x","S0002","Mean-ISI","article_default",3,0.219939416449277,"resolved","complete",7,0.0149999999999997
"synthetic_v2.3_holdout","synthetic","10x","S0003","Mean-ISI","article_default",3,0.205763551418024,"resolved","complete",5,0.0129999999999999
"synthetic_v2.3_holdout","synthetic","10x","S0004","Mean-ISI","article_default",3,0.189503621159659,"resolved","complete",6,0.016
"synthetic_v2.3_holdout","synthetic","1x","S0005","Mean-ISI","article_default",3,0.0190077308892252,"resolved","complete",7,0.016
"synthetic_v2.3_holdout","synthetic","10x","S0008","Mean-ISI","article_default",3,0.202620116779544,"resolved","complete",6,0.0140000000000002
"synthetic_v2.3_holdout","synthetic","1x","S0010","Mean-ISI","article_default",3,0.0219126155298088,"resolved","complete",11,0.0220000000000002
"synthetic_v2.3_holdout","synthetic","1x","S0012","Mean-ISI","article_default",3,0.0216533158345016,"resolved","complete",6,0.0140000000000002
"synthetic_v2.3_holdout","synthetic","1x","S0013","Mean-ISI","article_default",3,0.0182112006942325,"resolved","complete",7,0.0149999999999997
"synthetic_v2.3_holdout","synthetic","1x","S0016","Mean-ISI","article_default",3,0.0218666229556723,"resolved","complete",5,0.016
"synthetic_v2.3_holdout","synthetic","4x","S0017","Mean-ISI","article_default",3,0.082988193475054,"resolved","complete",9,0.0179999999999998
"synthetic_v2.3_holdout","synthetic","10x","S0018","Mean-ISI","article_default",3,0.182112006942325,"resolved","complete",7,0.0149999999999997
"synthetic_v2.3_holdout","synthetic","10x","S0019","Mean-ISI","article_default",3,0.20976925117126,"resolved","complete",5,0.016
"synthetic_v2.3_holdout","synthetic","4x","S0020","Mean-ISI","article_default",3,0.0823054205672088,"resolved","complete",5,0.0140000000000002
"synthetic_v2.3_holdout","synthetic","1x","S0021","Mean-ISI","article_default",3,0.0205763551418024,"resolved","complete",5,0.0129999999999999
"synthetic_v2.3_holdout","synthetic","4x","S0022","Mean-ISI","article_default",3,0.0866132633380053,"resolved","complete",6,0.016
"synthetic_v2.3_holdout","synthetic","1x","S0023","Mean-ISI","article_default",3,0.0207470483687639,"resolved","complete",9,0.0190000000000001
"synthetic_v2.3_holdout","synthetic","4x","S0024","Mean-ISI","article_default",3,0.0876504621192369,"resolved","complete",11,0.0199999999999996
"synthetic_v2.3_holdout","synthetic","10x","S0025","Mean-ISI","article_default",3,0.197602453571645,"resolved","complete",8,0.0179999999999998
"synthetic_v2.3_holdout","synthetic","1x","S0026","Mean-ISI","article_default",3,0.0223025897810877,"resolved","complete",7,0.0179999999999998
