"dataset","region","estimand","scale","method","variant","train_n","cluster_n","tp","fp","fn","tn","scored_isi_n","truth_burst_isi_n","predicted_burst_isi_n","precision","recall","specificity","f1","accuracy","balanced_accuracy","mcc"
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","article_default",13,13,1659,21462,4,145,23270,1663,23121,0.0717529518619437,0.997594708358388,0.0067107881705003,0.133876694641704,0.0775247099269446,0.502152748264444,0.0139049734176612
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",13,13,1659,21475,4,132,23270,1663,23134,0.0717126307599205,0.997594708358388,0.00610913130004165,0.133806508851877,0.0769660507090675,0.501851919829215,0.0125170134327996
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","article_default",13,13,1034,10987,629,10620,23270,1663,12021,0.0860161384244239,0.621767889356584,0.491507381866988,0.15112540192926,0.50081650193382,0.556637635611786,0.0583917127677333
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",13,13,894,10343,769,11264,23270,1663,11237,0.0795586010501023,0.53758268190018,0.521312537603554,0.138604651162791,0.522475290073055,0.529447609751867,0.0303606633719656
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","article_default",21,21,4769,10987,10,276,16042,4779,15756,0.302678344757553,0.997907512031806,0.0245050164254639,0.464475286096908,0.314486971699289,0.511206264228635,0.0774605200996912
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",21,21,4772,10989,7,274,16042,4779,15761,0.302772666708965,0.998535258422264,0.0243274438426707,0.464654333008763,0.314549308066326,0.511431351132467,0.0797036249147317
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","article_default",21,21,2378,4807,2401,6456,16042,4779,7185,0.330967292971468,0.497593638836577,0.573204297256504,0.397525911066533,0.550679466400698,0.53539896804654,0.0651117617018405
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",21,21,1982,4444,2797,6819,16042,4779,6426,0.308434484905073,0.414731115296087,0.605433721033472,0.353770638107987,0.548622366288493,0.51008241816478,0.0188201322422488
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","article_default",23,23,7222,5575,264,778,13839,7486,12797,0.564351019770259,0.96473417045151,0.122461829057138,0.712123453138096,0.578076450610593,0.543597999754324,0.164673211331499
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","harmonized_4_spikes",23,23,7313,5561,173,792,13839,7486,12874,0.568044119931645,0.976890195030724,0.124665512356367,0.718369351669941,0.585663704024857,0.550777853693546,0.198700182308845
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI","article_default",23,23,5711,1990,1775,4363,13839,7486,7701,0.741592001038826,0.762890729361475,0.686762159609633,0.752090603805887,0.72794277043139,0.724826444485554,0.451029266464092
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI","harmonized_4_spikes",23,23,4834,1833,2652,4520,13839,7486,6667,0.725063746812659,0.645738712262891,0.711474893750984,0.683106055253303,0.675915889876436,0.678606803006937,0.356251714860631
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD","article_default",15,15,89,5,334,1940,2368,423,94,0.946808510638298,0.210401891252955,0.997429305912596,0.344294003868472,0.856841216216216,0.603915598582776,0.407738357225425
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD","harmonized_4_spikes",15,15,136,15,287,1930,2368,423,151,0.900662251655629,0.321513002364066,0.992287917737789,0.473867595818815,0.872466216216216,0.656900460050928,0.491940840687104
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","article_default",15,15,423,869,0,1076,2368,423,1292,0.327399380804954,1,0.553213367609255,0.493294460641399,0.633023648648649,0.776606683804627,0.425583968222833
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","harmonized_4_spikes",15,15,423,833,0,1112,2368,423,1256,0.336783439490446,1,0.57172236503856,0.503871351995235,0.648226351351351,0.78586118251928,0.438801349737325
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","article_default",15,15,423,1804,0,141,2368,423,2227,0.189941625505164,1,0.0724935732647815,0.319245283018868,0.238175675675676,0.536246786632391,0.117343713698648
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","harmonized_4_spikes",15,15,423,1808,0,137,2368,423,2231,0.189601075750784,1,0.0704370179948586,0.318764129615674,0.236486486486486,0.535218508997429,0.115563551280248
