"region","method_a","method_b","iou_threshold","train_n","group_n","a_event_n","b_event_n","matched_event_n","a_event_recovery","b_event_recovery","event_f1","mean_matched_iou","a_isi_n","b_isi_n","overlapping_isi_n","union_isi_n","a_isi_coverage","b_isi_coverage","isi_jaccard","isi_dice"
"GPE","LogISI/newBD","STPD",0.1,13,13,125,569,69,0.552,0.121265377855888,0.198847262247839,0.454091561233828,23358,4213,4199,23372,0.179767103347889,0.996676952290529,0.179659421530036,0.304595408218781
"GPE","LogISI/newBD","STPD",0.25,13,13,125,569,45,0.36,0.0790861159929701,0.129682997118156,0.615072773127282,23358,4213,4199,23372,0.179767103347889,0.996676952290529,0.179659421530036,0.304595408218781
"GPE","LogISI/newBD","STPD",0.5,13,13,125,569,27,0.216,0.0474516695957821,0.0778097982708934,0.791652132983402,23358,4213,4199,23372,0.179767103347889,0.996676952290529,0.179659421530036,0.304595408218781
"GPE","Mean-ISI","LogISI/newBD",0.1,13,13,1253,125,91,0.0726256983240224,0.728,0.132075471698113,0.328957839693305,12035,23358,12035,23358,1,0.515241030910181,0.515241030910181,0.68007798152177
"GPE","Mean-ISI","LogISI/newBD",0.25,13,13,1253,125,50,0.0399042298483639,0.4,0.0725689404934688,0.466342482686069,12035,23358,12035,23358,1,0.515241030910181,0.515241030910181,0.68007798152177
"GPE","Mean-ISI","LogISI/newBD",0.5,13,13,1253,125,17,0.0135674381484437,0.136,0.0246734397677794,0.672644084913168,12035,23358,12035,23358,1,0.515241030910181,0.515241030910181,0.68007798152177
"GPE","Mean-ISI","STPD",0.1,13,13,1253,569,291,0.232242617717478,0.511423550087873,0.319429198682766,0.558640456989194,12035,4213,1648,14600,0.136933942667221,0.391170187514835,0.112876712328767,0.202855736090596
"GPE","Mean-ISI","STPD",0.25,13,13,1253,569,255,0.203511572226656,0.448154657293497,0.279912184412733,0.613289320228562,12035,4213,1648,14600,0.136933942667221,0.391170187514835,0.112876712328767,0.202855736090596
"GPE","Mean-ISI","STPD",0.5,13,13,1253,569,151,0.120510774142059,0.265377855887522,0.165751920965971,0.80025454532687,12035,4213,1648,14600,0.136933942667221,0.391170187514835,0.112876712328767,0.202855736090596
"GPI","LogISI/newBD","STPD",0.1,21,13,216,735,135,0.625,0.183673469387755,0.28391167192429,0.386944979998633,17155,5074,5061,17168,0.295016030311862,0.997437918801734,0.294792637465051,0.455351117909038
"GPI","LogISI/newBD","STPD",0.25,21,13,216,735,80,0.37037037037037,0.108843537414966,0.168243953732913,0.543576158651916,17155,5074,5061,17168,0.295016030311862,0.997437918801734,0.294792637465051,0.455351117909038
"GPI","LogISI/newBD","STPD",0.5,21,13,216,735,39,0.180555555555556,0.0530612244897959,0.082018927444795,0.75726408944859,17155,5074,5061,17168,0.295016030311862,0.997437918801734,0.294792637465051,0.455351117909038
"GPI","Mean-ISI","LogISI/newBD",0.1,21,13,1128,216,147,0.13031914893617,0.680555555555556,0.21875,0.423619588057864,7631,17155,7622,17164,0.998820600183462,0.444301952783445,0.444068981589373,0.615024610667312
"GPI","Mean-ISI","LogISI/newBD",0.25,21,13,1128,216,99,0.0877659574468085,0.458333333333333,0.147321428571429,0.548869890795716,7631,17155,7622,17164,0.998820600183462,0.444301952783445,0.444068981589373,0.615024610667312
"GPI","Mean-ISI","LogISI/newBD",0.5,21,13,1128,216,54,0.0478723404255319,0.25,0.0803571428571429,0.700987075259082,7631,17155,7622,17164,0.998820600183462,0.444301952783445,0.444068981589373,0.615024610667312
