"region","method_a","method_b","metric","bootstrap_mean","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"GPE","Mean-ISI","LogISI/newBD","event_f1",0.0739257765760943,0.0336200718605199,0.126422578012343,1000,"recording_group"
"GPE","Mean-ISI","LogISI/newBD","mean_matched_iou",0.466190672878201,0.430759317855095,0.508446523831212,1000,"recording_group"
"GPE","Mean-ISI","LogISI/newBD","isi_jaccard",0.51537117003854,0.477833901300435,0.548796323477607,1000,"recording_group"
"GPE","Mean-ISI","LogISI/newBD","isi_dice",0.680005453674573,0.646667920883692,0.708674620493461,1000,"recording_group"
"GPE","Mean-ISI","STPD","event_f1",0.278503293947851,0.145594892565943,0.449040959676254,1000,"recording_group"
"GPE","Mean-ISI","STPD","mean_matched_iou",0.597860080508027,0.504371876176896,0.677695599485531,1000,"recording_group"
"GPE","Mean-ISI","STPD","isi_jaccard",0.115777429976252,0.0495505401453379,0.213077722457885,1000,"recording_group"
"GPE","Mean-ISI","STPD","isi_dice",0.205146375588911,0.0944223907960675,0.351300969198061,1000,"recording_group"
"GPE","LogISI/newBD","STPD","event_f1",0.126419443546908,0.0445240206269618,0.217741078160001,1000,"recording_group"
"GPE","LogISI/newBD","STPD","mean_matched_iou",0.616343689750294,0.488702314019221,0.761389444935626,1000,"recording_group"
"GPE","LogISI/newBD","STPD","isi_jaccard",0.182940001206074,0.110964140458159,0.289085430453908,1000,"recording_group"
"GPE","LogISI/newBD","STPD","isi_dice",0.306969410232638,0.199761868662583,0.448512428411103,1000,"recording_group"
"STN","Mean-ISI","LogISI/newBD","event_f1",0.225755724604983,0.132964990457712,0.348740040252543,1000,"recording_group"
"STN","Mean-ISI","LogISI/newBD","mean_matched_iou",0.563937898549429,0.48207832244971,0.653262920230283,1000,"recording_group"
"STN","Mean-ISI","LogISI/newBD","isi_jaccard",0.510581845943349,0.489022393281457,0.53998203746814,1000,"recording_group"
"STN","Mean-ISI","LogISI/newBD","isi_dice",0.675917071937671,0.656836855468086,0.701283547641197,1000,"recording_group"
"STN","Mean-ISI","STPD","event_f1",0.748542290739413,0.662635442412259,0.802520431207316,1000,"recording_group"
"STN","Mean-ISI","STPD","mean_matched_iou",0.834539797722448,0.779109627091985,0.870451973725639,1000,"recording_group"
"STN","Mean-ISI","STPD","isi_jaccard",0.57630729952029,0.402779398591628,0.696156573396426,1000,"recording_group"
"STN","Mean-ISI","STPD","isi_dice",0.727461426968041,0.574258882435053,0.820863572069862,1000,"recording_group"
"STN","LogISI/newBD","STPD","event_f1",0.18523015423616,0.113512933224505,0.295149921927649,1000,"recording_group"
"STN","LogISI/newBD","STPD","mean_matched_iou",0.591820110948717,0.47828639625911,0.758484324920479,1000,"recording_group"
"STN","LogISI/newBD","STPD","isi_jaccard",0.509765620815818,0.432374903979925,0.57177624476749,1000,"recording_group"
"STN","LogISI/newBD","STPD","isi_dice",0.674493424098178,0.603717503950079,0.727554251651461,1000,"recording_group"
"GPI","Mean-ISI","LogISI/newBD","event_f1",0.14742263419811,0.0749019936639306,0.238827149778871,1000,"recording_group"
"GPI","Mean-ISI","LogISI/newBD","mean_matched_iou",0.543085229421673,0.457578016249865,0.609242850226706,1000,"recording_group"
"GPI","Mean-ISI","LogISI/newBD","isi_jaccard",0.44283224711876,0.415447985459221,0.46741710305131,1000,"recording_group"
"GPI","Mean-ISI","LogISI/newBD","isi_dice",0.61372092846149,0.587019781486324,0.637060999206508,1000,"recording_group"
"GPI","Mean-ISI","STPD","event_f1",0.392992633602468,0.289193235516085,0.507375040401544,1000,"recording_group"
"GPI","Mean-ISI","STPD","mean_matched_iou",0.648556584371531,0.598852236320216,0.692536506170529,1000,"recording_group"
"GPI","Mean-ISI","STPD","isi_jaccard",0.20093137712252,0.146156024716787,0.267546554225945,1000,"recording_group"
"GPI","Mean-ISI","STPD","isi_dice",0.333592521386124,0.255036873556565,0.42214867624908,1000,"recording_group"
"GPI","LogISI/newBD","STPD","event_f1",0.164943580340626,0.0981506344592837,0.228312787235285,1000,"recording_group"
"GPI","LogISI/newBD","STPD","mean_matched_iou",0.538623101037809,0.484637796126942,0.581322306636028,1000,"recording_group"
"GPI","LogISI/newBD","STPD","isi_jaccard",0.296646635757986,0.201914347587264,0.400384461476944,1000,"recording_group"
"GPI","LogISI/newBD","STPD","isi_dice",0.455244452335391,0.335987908702513,0.571820769293892,1000,"recording_group"
