"dataset","region","estimand","scale","method","metric","observed","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","precision",0.0717529518619437,0.0191697508367576,0.167306129842562,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","recall",0.997594708358388,0.995359807935214,1,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","f1",0.133876694641704,0.037618365490091,0.286573017027183,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","precision",0.0860161384244239,0.0177903218461422,0.223182641989054,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","recall",0.621767889356584,0.343266496341213,0.756911843399283,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","f1",0.15112540192926,0.0341865884677839,0.340685297232133,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","STPD","precision",0.302859936445857,0.0983408732610014,0.509844343030202,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","STPD","recall",0.745039085989176,0.636006886517944,0.79956398907263,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","STPD","f1",0.430656934306569,0.174161200048146,0.61237521991293,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","precision",0.302678344757553,0.206999712999954,0.445184819489567,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","recall",0.997907512031806,0.995620748636967,0.999707548002837,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","f1",0.464475286096908,0.342990606946035,0.615725422801137,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","precision",0.330967292971468,0.203440613567256,0.529244768143607,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","recall",0.497593638836577,0.418310830883098,0.581848122113702,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","f1",0.397525911066533,0.277063049491985,0.546046375088769,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD","precision",0.642089423903697,0.557004035926952,0.754364830590077,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD","recall",0.625026156099602,0.545301646686935,0.713869938906568,1000,"train"
"real_GPi","GPi","reviewed_manual_reference","observed","STPD","f1",0.633442901070936,0.575375164061396,0.696638889546658,1000,"train"
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","precision",0.564351019770259,0.365580910377559,0.74626004570618,1000,"train"
