"dataset","region","estimand","scale","method","configuration","iou_threshold","train_n","cluster_n","tp","fp","fn","truth_event_n","predicted_event_n","precision","recall","f1","mean_matched_iou","fragmentation_rate","merge_rate"
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.1,13,13,91,100,308,399,191,0.476439790575916,0.228070175438596,0.308474576271186,0.683649286282152,0,0.256544502617801
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.25,13,13,67,124,332,399,191,0.350785340314136,0.167919799498747,0.227118644067797,0.874137048506524,0,0.256544502617801
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.5,13,13,58,133,341,399,191,0.303664921465969,0.145363408521303,0.196610169491525,0.95617816091954,0,0.256544502617801
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","article_default",0.1,13,13,216,1037,183,399,1253,0.172386272944932,0.541353383458647,0.261501210653753,0.767401047637037,0.0100250626566416,0.019952114924182
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","article_default",0.25,13,13,209,1044,190,399,1253,0.166799680766161,0.523809523809524,0.253026634382567,0.787159120552611,0.0100250626566416,0.019952114924182
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","article_default",0.5,13,13,176,1077,223,399,1253,0.140462889066241,0.441102756892231,0.213075060532688,0.8659134978027,0.0100250626566416,0.019952114924182
"real_GPe","GPe","reviewed_manual_reference","observed","STPD","current_automatic",0.1,13,13,254,316,145,399,570,0.445614035087719,0.636591478696742,0.524251805985552,0.804019879752279,0,0.0807017543859649
"real_GPe","GPe","reviewed_manual_reference","observed","STPD","current_automatic",0.25,13,13,252,318,147,399,570,0.442105263157895,0.631578947368421,0.520123839009288,0.808863291496345,0,0.0807017543859649
"real_GPe","GPe","reviewed_manual_reference","observed","STPD","current_automatic",0.5,13,13,209,361,190,399,570,0.366666666666667,0.523809523809524,0.431372549019608,0.901180318883668,0,0.0807017543859649
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.1,21,21,385,228,742,1127,613,0.628058727569331,0.341614906832298,0.442528735632184,0.808029801662829,0.00177462289263532,0.146818923327896
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.25,21,21,352,261,775,1127,613,0.574225122349103,0.312333629103815,0.404597701149425,0.868508957452655,0.00177462289263532,0.146818923327896
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","article_default",0.5,21,21,317,296,810,1127,613,0.517128874388255,0.281277728482697,0.364367816091954,0.922123224048039,0.00177462289263532,0.146818923327896
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","article_default",0.1,21,21,546,591,581,1127,1137,0.480211081794195,0.484472049689441,0.482332155477032,0.773429630109955,0.0266193433895297,0.0228671943711522
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","article_default",0.25,21,21,527,610,600,1127,1137,0.463500439753738,0.467613132209405,0.465547703180212,0.793824419240958,0.0266193433895297,0.0228671943711522
