"dataset","region","estimand","scale","method","configuration","train_n","cluster_n","tp","fp","fn","tn","scored_isi_n","truth_burst_isi_n","predicted_burst_isi_n","precision","recall","f1"
"real_GPe","GPe","reviewed_manual_reference","observed","LogISI/newBD","article_default",13,13,1659,21462,4,145,23270,1663,23121,0.0717529518619437,0.997594708358388,0.133876694641704
"real_GPe","GPe","reviewed_manual_reference","observed","Mean-ISI","article_default",13,13,1034,10987,629,10620,23270,1663,12021,0.0860161384244239,0.621767889356584,0.15112540192926
"real_GPe","GPe","reviewed_manual_reference","observed","STPD","current_automatic",13,13,1239,2852,424,18755,23270,1663,4091,0.302859936445857,0.745039085989176,0.430656934306569
"real_GPi","GPi","reviewed_manual_reference","observed","LogISI/newBD","article_default",21,13,4769,10987,10,276,16042,4779,15756,0.302678344757553,0.997907512031806,0.464475286096908
"real_GPi","GPi","reviewed_manual_reference","observed","Mean-ISI","article_default",21,13,2378,4807,2401,6456,16042,4779,7185,0.330967292971468,0.497593638836577,0.397525911066533
"real_GPi","GPi","reviewed_manual_reference","observed","STPD","current_automatic",21,13,2987,1665,1792,9598,16042,4779,4652,0.642089423903697,0.625026156099602,0.633442901070936
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD","article_default",23,13,7222,5575,264,778,13839,7486,12797,0.564351019770259,0.96473417045151,0.712123453138096
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI","article_default",23,13,5711,1990,1775,4363,13839,7486,7701,0.741592001038826,0.762890729361475,0.752090603805887
"real_STN","STN","reviewed_manual_reference","observed","STPD","current_automatic",23,13,6418,1342,1068,5011,13839,7486,7760,0.827061855670103,0.857333689553834,0.84192575101666
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","LogISI/newBD","article_default",15,15,89,5,334,1940,2368,423,94,0.946808510638298,0.210401891252955,0.344294003868472
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","Mean-ISI","article_default",15,15,423,869,0,1076,2368,423,1292,0.327399380804954,1,0.493294460641399
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","10x","STPD","current_automatic",15,15,387,373,36,1572,2368,423,760,0.509210526315789,0.914893617021277,0.654268808114962
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","article_default",15,15,423,1804,0,141,2368,423,2227,0.189941625505164,1,0.319245283018868
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI","article_default",15,15,423,869,0,1076,2368,423,1292,0.327399380804954,1,0.493294460641399
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","STPD","current_automatic",15,15,385,375,38,1570,2368,423,760,0.506578947368421,0.91016548463357,0.650887573964497
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD","article_default",15,15,394,529,29,1416,2368,423,923,0.426868905742145,0.931442080378251,0.585438335809807
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI","article_default",15,15,423,869,0,1076,2368,423,1292,0.327399380804954,1,0.493294460641399
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD","current_automatic",15,15,385,375,38,1570,2368,423,760,0.506578947368421,0.91016548463357,0.650887573964497
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","article_default",15,15,85,9,348,1949,2391,433,94,0.904255319148936,0.196304849884527,0.32258064516129
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","article_default",15,15,433,882,0,1076,2391,433,1315,0.329277566539924,1,0.495423340961098
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","STPD","current_automatic",15,15,397,382,36,1576,2391,433,779,0.509627727856226,0.916859122401848,0.655115511551155
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","article_default",15,15,433,1817,0,141,2391,433,2250,0.192444444444444,1,0.322773015281401
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","article_default",15,15,433,882,0,1076,2391,433,1315,0.329277566539924,1,0.495423340961098
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","STPD","current_automatic",15,15,395,384,38,1574,2391,433,779,0.507060333761232,0.912240184757506,0.651815181518152
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","article_default",15,15,402,536,31,1422,2391,433,938,0.428571428571429,0.928406466512702,0.586433260393873
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","article_default",15,15,433,882,0,1076,2391,433,1315,0.329277566539924,1,0.495423340961098
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","STPD","current_automatic",15,15,395,384,38,1574,2391,433,779,0.507060333761232,0.912240184757506,0.651815181518152
