"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test_candidate_universe_root_audit.R","candidate_universe_root_audit","root audit distinguishes terminal non-applicability from truncation",5,0,FALSE,FALSE,0,0.044,0.003,0.0459999999999998,5
"test_candidate_universe_root_audit.R","candidate_universe_root_audit","resource audit binds every active candidate cap and fails closed",7,0,FALSE,FALSE,0,0.161,0.002,0.163,7
"test_candidate_universe_root_audit.R","candidate_universe_root_audit","root audit rejects early stop and observer-side capture caps",3,0,FALSE,FALSE,0,0.00999999999999979,0.002,0.0110000000000001,3
"test_collect_diagnostics_core_products.R","collect_diagnostics_core_products","collect_diagnostics FALSE retains the core public candidate chain",26,0,FALSE,FALSE,0,5.265,0.038,5.351,26
"test_duplicate_collapse.R","duplicate_collapse","duplicate timestamp collapse keeps first occurrence and recomputes ISI",6,0,FALSE,FALSE,0,0.00499999999999989,0.001,0.00600000000000023,6
"test_duplicate_collapse.R","duplicate_collapse","duplicate timestamp collapse reports duplicate timestamp groups, not duplicate rows",3,0,FALSE,FALSE,0,0.0270000000000001,0.001,0.0280000000000005,3
"test_event_core_candidate_value.R","event_core_candidate_value","event core candidate value has one formal entry and named historical implementations",2,0,FALSE,FALSE,0,0.00300000000000011,0.001,0.00300000000000011,2
"test_event_core_candidate_value.R","event_core_candidate_value","event core candidate value preserves HF-protected priority semantics",7,0,FALSE,FALSE,0,0.00499999999999989,0,0.00600000000000023,7
"test_event_core_candidate_value.R","event_core_candidate_value","weighted interval selection uses the HF-protected candidate value",2,0,FALSE,FALSE,0,0.00300000000000011,0.001,0.00300000000000011,2
"test_event_core_candidate_value.R","event_core_candidate_value","compact Burst kernels are subordinate while Pause remains independent",5,0,FALSE,FALSE,0,0.104,0.001,0.106,5
"test_event_core_candidate_value.R","event_core_candidate_value","burst-dominated HF spiking remains a State with descriptive packet evidence",6,0,FALSE,FALSE,0,0.0259999999999998,0.002,0.0280000000000005,6
"test_event_core_candidate_value.R","event_core_candidate_value","burst-packet-like HF spiking is retained with a descriptive subtype",4,0,FALSE,FALSE,0,0.00500000000000078,0.001,0.00600000000000023,4
"test_event_core_candidate_value.R","event_core_candidate_value","compact pure HF spiking states suppress only tiny embedded burst kernels",3,0,FALSE,FALSE,0,0.00300000000000011,0,0.00399999999999956,3
"test_event_core_candidate_value.R","event_core_candidate_value","manual Burst labels do not split the Broad HFS parent State",9,0,FALSE,FALSE,0,3.078,0.016,3.093,9
"test_event_core_candidate_value.R","event_core_candidate_value","HF spiking support can bridge a transparent sub-threshold artifact gap",5,0,FALSE,FALSE,0,0.525,0.005,0.530000000000001,5
"test_export_safe.R","export_safe","CSV safe conversion handles list columns",2,0,FALSE,FALSE,0,0.00300000000000011,0.001,0.00399999999999956,2
"test_export_safe.R","export_safe","CSV safe conversion escapes spreadsheet formulas in text columns",6,0,FALSE,FALSE,0,0.00999999999999979,0,0.0109999999999992,6
"test_export_safe.R","export_safe","wide labeled CSV export can drop columns with no data below the header",2,0,FALSE,FALSE,0,0.00799999999999912,0.001,0.00899999999999856,2
"test_export_safe.R","export_safe","HTML escaping protects Plotly hover text fields",1,0,FALSE,FALSE,0,0.000999999999999446,0.001,0.00100000000000122,1
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","Gate B v3 phase-1 bundle is self-hashed and structurally complete",19,0,FALSE,FALSE,0,1.911,0.00800000000000001,1.919,19
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","all 59 table prototypes and populated examples obey exact schemas",177,0,FALSE,FALSE,0,15.914,0.087,16,177
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","complete products enforce coordinated candidate and relationship closure",3,0,FALSE,FALSE,0,46.726,0.11,46.837,3
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","provenance lineage and manifest semantics fail closed",9,0,FALSE,FALSE,0,39.265,0.092,39.358,9
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","schema validators reject PK, enum, type, ID, sort and FK attacks",10,0,FALSE,FALSE,0,11.974,0.027,12.025,10
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","RFC 8785 serialization is deterministic across Unicode and process",6,0,FALSE,FALSE,0,11.828,0.039,26.562,6
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","canonical table bytes match an independently frozen literal digest",3,0,FALSE,FALSE,0,1.68599999999998,0.00700000000000001,1.69300000000001,3
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","State, Pause and cross-track scientific rules are explicit",28,0,FALSE,FALSE,0,0.0490000000000066,0.003,0.0519999999999925,28
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","label-blind reconstruction excludes labels and validates provenance",9,0,FALSE,FALSE,0,42.175,0.107,42.284,9
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","active registry rows are complete content-addressed semantics",468,0,FALSE,FALSE,0,11.727,0.0479999999999999,11.775,468
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","Gate B v3 phase-1 executable fixture matrix",236,0,FALSE,FALSE,0,264.845,0.651,265.516,236
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","resource budgets fail closed without truncation",48,0,FALSE,FALSE,0,0.04200000000003,0.006,0.047999999999945,48
"test_gate_b_v3_phase1_contract.R","gate_b_v3_phase1_contract","table-specific enums and status permissions are exact",16,0,FALSE,FALSE,0,0.897999999999968,0.00499999999999989,0.902000000000044,16
